energy_ev,total_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.92142434,0.70119654,0.45359251,1.37025226,0.67687229,0.01713358,0.73470763,1.09563472,0.00000000
-5.99399700,2.90403214,0.70672719,0.45169821,1.38394481,0.66592083,0.01764237,0.72863102,1.08893360,0.00000000
-5.98799400,2.88275702,0.71062166,0.44898699,1.39690818,0.65465994,0.01807424,0.72229253,1.08036950,0.00000000
-5.98199100,2.85778105,0.71284295,0.44551235,1.40904471,0.64312568,0.01841973,0.71566341,1.07011988,0.00000000
-5.97598799,2.82932820,0.71337073,0.44132715,1.42026356,0.63136344,0.01867058,0.70873256,1.05836030,0.00000000
-5.96998499,2.79767540,0.71220587,0.43648582,1.43048781,0.61943066,0.01882006,0.70151053,1.04526640,0.00000000
-5.96398199,2.76316313,0.70937501,0.43104707,1.43966150,0.60739894,0.01886324,0.69403222,1.03101731,0.00000000
-5.95797899,2.72620452,0.70493470,0.42507697,1.44775613,0.59535541,0.01879716,0.68635833,1.01579985,0.00000000
-5.95197599,2.68729238,0.69897491,0.41865223,1.45477637,0.58340332,0.01862103,0.67857544,0.99981318,0.00000000
-5.94597299,2.64700329,0.69162152,0.41186313,1.46076460,0.57166180,0.01833627,0.67079485,0.98327333,0.00000000
-5.93996998,2.60599826,0.68303753,0.40481618,1.46580402,0.56026483,0.01794650,0.66315018,0.96641703,0.00000000
-5.93396698,2.56501941,0.67342283,0.39763591,1.47002014,0.54935941,0.01745749,0.65579402,0.94950443,0.00000000
-5.92796398,2.52488238,0.66301227,0.39046581,1.47358040,0.53910298,0.01687696,0.64889364,0.93282018,0.00000000
-5.92196098,2.48646445,0.65207208,0.38346814,1.47669192,0.52966032,0.01621441,0.64262605,0.91667261,0.00000000
-5.91595798,2.45068831,0.64089458,0.37682249,1.47959711,0.52119967,0.01548076,0.63717262,0.90139076,0.00000000
-5.90995498,2.41850174,0.62979120,0.37072311,1.48256747,0.51388863,0.01468807,0.63271336,0.88731905,0.00000000
-5.90395198,2.39085373,0.61908420,0.36537494,1.48589529,0.50788948,0.01384917,0.62942109,0.87480979,0.00000000
-5.89794897,2.36866745,0.60909703,0.36098849,1.48988376,0.50335439,0.01297726,0.62745569,0.86421363,0.00000000
-5.89194597,2.35281100,0.60014393,0.35777375,1.49483545,0.50042037,0.01208557,0.62695846,0.85586812,0.00000000
-5.88594297,2.34406670,0.59251900,0.35593321,1.50103956,0.49920429,0.01118697,0.62804676,0.85008507,0.00000000
-5.87993997,2.34309998,0.58648511,0.35565442,1.50875839,0.49979787,0.01029365,0.63080911,0.84713702,0.00000000
-5.87393697,2.35042896,0.58226327,0.35710223,1.51821338,0.50226298,0.00941686,0.63530064,0.84724351,0.00000000
-5.86793397,2.36639603,0.58002279,0.36041117,1.52957137,0.50662720,0.00856663,0.64153922,0.85055796,0.00000000
-5.86193097,2.39114247,0.57987275,0.36567817,1.54293155,0.51287998,0.00775163,0.64950214,0.85715561,0.00000000
-5.85592796,2.42458751,0.58185515,0.37295613,1.55831394,0.52096946,0.00697905,0.65912363,0.86702349,0.00000000
-5.84992496,2.46641301,0.58594028,0.38224849,1.57564979,0.53080004,0.00625452,0.67029327,0.88005296,0.00000000
-5.84392196,2.51605483,0.59202450,0.39350520,1.59477483,0.54223112,0.00558210,0.68285535,0.89603535,0.00000000
-5.83791896,2.57270177,0.59993066,0.40662037,1.61542574,0.55507696,0.00496438,0.69660939,0.91466138,0.00000000
-5.83191596,2.63530296,0.60941143,0.42143168,1.63724044,0.56910781,0.00440252,0.71131197,0.93552441,0.00000000
-5.82591296,2.70258395,0.62015548,0.43772182,1.65976253,0.58405260,0.00389639,0.72667987,0.95812793,0.00000000
-5.81990995,2.77307169,0.63179628,0.45522196,1.68245009,0.59960308,0.00344475,0.74239463,0.98189706,0.00000000
-5.81390695,2.84512808,0.64392353,0.47361719,1.70468876,0.61541945,0.00304539,0.75810863,1.00619393,0.00000000
-5.80790395,2.91699136,0.65609662,0.49255393,1.72580891,0.63113753,0.00269536,0.77345246,1.03033642,0.00000000
-5.80190095,2.98682426,0.66785975,0.51164898,1.74510643,0.64637714,0.00239109,0.78804368,1.05361965,0.00000000
-5.79589795,3.05276737,0.67875805,0.53050009,1.76186640,0.66075173,0.00212862,0.80149662,1.07533934,0.00000000
-5.78989495,3.11299586,0.68835414,0.54869754,1.77538872,0.67387868,0.00190376,0.81343303,1.09481615,0.00000000
-5.78389195,3.16577747,0.69624430,0.56583642,1.78501474,0.68539025,0.00171223,0.82349317,1.11141997,0.00000000
-5.77788894,3.20952945,0.70207362,0.58152912,1.79015358,0.69494444,0.00154980,0.83134705,1.12459301,0.00000000
-5.77188594,3.24287197,0.70554948,0.59541758,1.79030705,0.70223568,0.00141240,0.83670529,1.13387059,0.00000000
-5.76588294,3.26467583,0.70645254,0.60718464,1.78509185,0.70700458,0.00129619,0.83932914,1.13889885,0.00000000
-5.75987994,3.27410223,0.70464510,0.61656433,1.77425801,0.70904659,0.00119767,0.83903935,1.13944826,0.00000000
-5.75387694,3.27063274,0.70007601,0.62335031,1.75770257,0.70821896,0.00111370,0.83572323,1.13542241,0.00000000
