energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,5.68146978,0.01201587,1.07732294,0.51819868,0.23301327,3.17960910,2.60331621,1.75664329,0.00000000
-5.99399700,5.65742265,0.01168683,1.07029307,0.51844154,0.23271174,3.16381140,2.58880722,1.75067209,0.00000000
-5.98799400,5.63478348,0.01141338,1.06344043,0.51914141,0.23273840,3.14571191,2.57512703,1.74514019,0.00000000
-5.98199100,5.61316198,0.01119897,1.05667690,0.52025452,0.23308877,3.12514011,2.56201462,1.73994413,0.00000000
-5.97598799,5.59229113,0.01104635,1.04993351,0.52174442,0.23375796,3.10204542,2.54926424,1.73502239,0.00000000
-5.96998499,5.57203578,0.01095748,1.04316230,0.52358373,0.23474119,3.07650108,2.53673186,1.73035836,0.00000000
-5.96398199,5.55239479,0.01093356,1.03633690,0.52575544,0.23603437,3.04870288,2.52433843,1.72598141,0.00000000
-5.95797899,5.53349753,0.01097498,1.02945198,0.52825379,0.23763458,3.01896321,2.51207023,1.72196623,0.00000000
-5.95197599,5.51559532,0.01108139,1.02252181,0.53108472,0.23954045,2.98770072,2.49997662,1.71843062,0.00000000
-5.94597299,5.49904875,0.01125166,1.01557801,0.53426596,0.24175249,2.95542662,2.48816555,1.71553185,0.00000000
-5.93996998,5.48431187,0.01148398,1.00866684,0.53782668,0.24427325,2.92272810,2.47679737,1.71346180,0.00000000
-5.93396698,5.47191411,0.01177590,1.00184613,0.54180679,0.24710742,2.89024996,2.46607726,1.71244128,0.00000000
-5.92796398,5.46244093,0.01212440,0.99518218,0.54625597,0.25026171,2.85867512,2.45624678,1.71271352,0.00000000
-5.92196098,5.45651386,0.01252596,0.98874665,0.55123235,0.25374467,2.82870488,2.44757489,1.71453729,0.00000000
-5.91595798,5.45477057,0.01297668,0.98261375,0.55680100,0.25756635,2.80103954,2.44034863,1.71817967,0.00000000
-5.90995498,5.45784550,0.01347233,0.97685763,0.56303213,0.26173774,2.77635996,2.43486381,1.72390869,0.00000000
-5.90395198,5.46635112,0.01400844,0.97155014,0.56999915,0.26627018,2.75531053,2.43141576,1.73198598,0.00000000
-5.89794897,5.48086023,0.01458042,0.96675889,0.57777648,0.27117457,2.73848367,2.43029029,1.74265953,0.00000000
