energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down
-6.00000000,6.06769985,-3.62672354,0.11965374,-0.04126769,0.66305743,-0.23611017,1.35638131,-0.88641029,1.15123191,-0.28910290,0.06127359,-0.03585740,2.43353997,-1.84736880,0.79530475,-0.66920951,0.16792543,-0.12243055
-5.99399700,6.03225343,-3.65638744,0.12087969,-0.04351981,0.65743037,-0.24015204,1.37509813,-0.87683774,1.15077228,-0.29695217,0.05902814,-0.03664600,2.42165230,-1.85892728,0.79509416,-0.67647072,0.16342120,-0.12395952
-5.98799400,6.00741675,-3.68641558,0.12209765,-0.04572930,0.65171649,-0.24502155,1.39988786,-0.86624512,1.15048270,-0.30529719,0.05688876,-0.03754680,2.41631744,-1.86948717,0.79714120,-0.68234336,0.15927134,-0.12562629
-5.98199100,5.99594210,-3.71642602,0.12331344,-0.04788371,0.64619271,-0.25077685,1.43131732,-0.85480125,1.15070599,-0.31412456,0.05492096,-0.03854949,2.41872286,-1.87875830,0.80170413,-0.68679325,0.15562678,-0.12740018
-5.97598799,6.00017742,-3.74614454,0.12452492,-0.04997462,0.64110841,-0.25747368,1.46985325,-0.84271485,1.15172542,-0.32342813,0.05318655,-0.03964332,2.42986795,-1.88651841,0.80897205,-0.68982862,0.15262727,-0.12925101
-5.96998499,6.02201124,-3.77543494,0.12572192,-0.05199820,0.63667820,-0.26516462,1.51585243,-0.83023792,1.15375671,-0.33321076,0.05174237,-0.04081751,2.45054283,-1.89263190,0.81905990,-0.69150386,0.15039798,-0.13115040
-5.96398199,6.06283506,-3.80432526,0.12688649,-0.05395553,0.63307637,-0.27389815,1.56955418,-0.81766820,1.15694329,-0.34348568,0.05063907,-0.04206159,2.48131439,-1.89706648,0.83200571,-0.69192181,0.14904666,-0.13307318
-5.95797899,6.12352313,-3.83302859,0.12799362,-0.05585283,0.63043315,-0.28371756,1.63107489,-0.80535061,1.16135487,-0.35427725,0.04992022,-0.04336590,2.52251924,-1.89990687,0.84777027,-0.69123448,0.14866129,-0.13499860
-5.95197599,6.20442813,-3.86195714,0.12901227,-0.05770150,0.62883270,-0.29465959,1.70040427,-0.79367761,1.16698906,-0.36562126,0.04962155,-0.04472181,2.57426292,-1.90136480,0.86623885,-0.68964190,0.14930824,-0.13691142
-5.94597299,6.30539113,-3.89172898,0.12990670,-0.05951800,0.62831276,-0.30675300,1.77740290,-0.78308833,1.17377572,-0.37756444,0.04977042,-0.04612209,2.63642438,-1.90178486,0.88722475,-0.68738943,0.15103095,-0.13880278
