energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.28087953,-5.10643493,0.02117756,-0.04705777,0.44432820,-0.66081033,0.41352073,-0.41724969,0.14494556,-0.34887396,1.24416649,-1.16698421,0.54788377,-0.61305487,0.07430428,-0.18123024,1.21575210,-2.05141217
-5.99399700,3.37407636,-5.02580852,0.02279628,-0.04489773,0.46960410,-0.65632444,0.43915859,-0.42297569,0.14699556,-0.34033216,1.30313340,-1.17897755,0.57479331,-0.60129148,0.07072007,-0.17582167,1.23756529,-2.01730230
-5.98799400,3.48323210,-4.93350155,0.02458859,-0.04261092,0.49676664,-0.65064925,0.46571549,-0.42885350,0.15001820,-0.33076164,1.36392145,-1.18968315,0.60606471,-0.58815930,0.06770081,-0.16972421,1.26494532,-1.97839668
-5.98199100,3.60690763,-4.83216607,0.02653753,-0.04023763,0.52547278,-0.64401615,0.49299629,-0.43496624,0.15398545,-0.32038692,1.42586018,-1.19922754,0.64130301,-0.57400025,0.06525388,-0.16306312,1.29759843,-1.93583370
-5.97598799,3.74347700,-4.72442984,0.02862364,-0.03781753,0.55535089,-0.63664349,0.52081856,-0.44138050,0.15885616,-0.30943428,1.48828625,-1.20771264,0.68004335,-0.55914848,0.06337538,-0.15596624,1.33518115,-1.89075157
-5.96998499,3.89115835,-4.61282092,0.03082500,-0.03538877,0.58600602,-0.62873056,0.54901720,-0.44814519,0.16457617,-0.29812550,1.55055740,-1.21521510,0.72175640,-0.54392036,0.06205061,-0.14856024,1.37730947,-1.84425590
-5.96398199,4.04804618,-4.49970644,0.03311736,-0.03298722,0.61702602,-0.62045355,0.57744798,-0.45529195,0.17107847,-0.28667245,1.61206477,-1.22178939,0.76585577,-0.52860653,0.06125477,-0.14096724,1.42356741,-1.79739261
-5.95797899,4.21214409,-4.38724751,0.03547436,-0.03064585,0.64798821,-0.61196394,0.60598991,-0.46283727,0.17828357,-0.27527277,1.67224294,-1.22747416,0.81170723,-0.51346597,0.06095385,-0.13330197,1.47351440,-1.75112715
-5.95197599,4.38139732,-4.27737094,0.03786778,-0.02839438,0.67846657,-0.60338881,0.63454617,-0.47078593,0.18609999,-0.26410651,1.73057745,-1.23230159,0.85863981,-0.49872250,0.06110569,-0.12566955,1.52669131,-1.70633035
-5.94597299,4.55372430,-4.17175743,0.04026805,-0.02625903,0.70803939,-0.59483329,0.66304363,-0.47913567,0.19442497,-0.25333401,1.78660976,-1.23630876,0.90595865,-0.48456341,0.06166116,-0.11816383,1.58262475,-1.66377093
