energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,3.83053794,0.09066429,0.00000000,0.00745150,2.65450776,2.08045050,1.47828442
-5.99399700,3.94559002,0.09510304,0.00000000,0.00736523,2.73212393,2.17829784,1.51272558
-5.98799400,4.07062503,0.09999117,0.00000000,0.00726939,2.81685655,2.28128707,1.54980941
-5.98199100,4.20439522,0.10527945,0.00000000,0.00716774,2.90775590,2.38857601,1.58904900
-5.97598799,4.34536097,0.11091231,0.00000000,0.00706367,3.00367409,2.49915504,1.62986536
-5.96998499,4.49170801,0.11682818,0.00000000,0.00696003,3.10328151,2.61185477,1.67159839
-5.96398199,4.64137431,0.12296015,0.00000000,0.00685903,3.20508932,2.72535946,1.71352061
-5.95797899,4.79208618,0.12923657,0.00000000,0.00676219,3.30747734,2.83822619,1.75485338
-5.95197599,4.94140321,0.13558202,0.00000000,0.00667030,3.40872693,2.94890980,1.79478512
-5.94597299,5.08677101,0.14191831,0.00000000,0.00658346,3.50705812,3.05579302,1.83249101
-5.93996998,5.22558055,0.14816575,0.00000000,0.00650112,3.60067011,3.15722135,1.86715378
-5.93396698,5.35523265,0.15424456,0.00000000,0.00642219,3.68778406,3.25154181,1.89798486
-5.92796398,5.47320575,0.16007641,0.00000000,0.00634512,3.76668724,3.33714444,1.92424538
-5.92196098,5.57712497,0.16558609,0.00000000,0.00626806,3.83577711,3.41250554,1.94526641
-5.91595798,5.66483023,0.17070325,0.00000000,0.00618903,3.89360415,3.47623095,1.96046774
-5.90995498,5.73444119,0.17536407,0.00000000,0.00610605,3.93891211,3.52709817,1.96937477
-5.90395198,5.78441650,0.17951297,0.00000000,0.00601731,3.97067417,3.56409564,1.97163280
-5.89794897,5.81360519,0.18310399,0.00000000,0.00592128,3.98812393,3.58645756,1.96701825
-5.89194597,5.82128806,0.18610211,0.00000000,0.00581689,3.99077979,3.59369294,1.95544651
-5.88594297,5.80720706,0.18848415,0.00000000,0.00570358,3.97846178,3.58560746,1.93697591
-5.87993997,5.77158128,0.19023933,0.00000000,0.00558137,3.95129995,3.56231699,1.91180767
-5.87393697,5.71510836,0.19136937,0.00000000,0.00545094,3.90973368,3.52425210,1.88028171
-5.86793397,5.63895089,0.19188818,0.00000000,0.00531356,3.85450171,3.47215281,1.84286842
-5.86193097,5.54470774,0.19182103,0.00000000,0.00517114,3.78662290,3.40705374,1.80015642
-5.85592796,5.43437103,0.19120331,0.00000000,0.00502613,3.70736813,3.33025965,1.75283688
-5.84992496,5.31027007,0.19007889,0.00000000,0.00488140,3.61822421,3.24331228,1.70168457
-5.84392196,5.17500395,0.18849809,0.00000000,0.00474020,3.52085101,3.14794936,1.64753657
-5.83791896,5.03136539,0.18651547,0.00000000,0.00460597,3.41703316,3.04605733,1.59126910
-5.83191596,4.88225843,0.18418748,0.00000000,0.00448224,3.30862818,2.93961928,1.53377341
-5.82591296,4.73061316,0.18157008,0.00000000,0.00437246,3.19751296,2.83066030,1.47593153
-5.81990995,4.57930073,0.17871650,0.00000000,0.00427986,3.08553059,2.72119187,1.41859279
-5.81390695,4.43105174,0.17567516,0.00000000,0.00420731,2.97443955,2.61315781,1.36255184
-5.80790395,4.28838127,0.17248806,0.00000000,0.00415722,2.86586720,2.50838338,1.30852911
-5.80190095,4.15352318,0.16918945,0.00000000,0.00413140,2.76126925,2.40852972,1.25715421
-5.79589795,4.02837608,0.16580511,0.00000000,0.00413100,2.66189668,2.31505501,1.20895299
-5.78989495,3.91446279,0.16235203,0.00000000,0.00415642,2.56877117,2.22918386,1.16433838
-5.78389195,3.81290429,0.15883871,0.00000000,0.00420731,2.48266964,2.15188564,1.12360561
-5.77788894,3.72440899,0.15526591,0.00000000,0.00428256,2.40411826,2.08386262,1.08693137
-5.77188594,3.64927683,0.15162779,0.00000000,0.00438030,2.33339562,2.02554772,1.05437718
-5.76588294,3.58741767,0.14791344,0.00000000,0.00449797,2.27054464,1.97711179,1.02589640
-5.75987994,3.53838244,0.14410863,0.00000000,0.00463242,2.21539206,1.93847977,1.00134444
-5.75387694,3.50140536,0.14019772,0.00000000,0.00477995,2.16757450,1.90935461,0.98049175
-5.74787394,3.47545482,0.13616554,0.00000000,0.00493652,2.12656949,1.88924772,0.96303878
-5.74187094,3.45929059,0.13199920,0.00000000,0.00509780,2.09172989,1.87751442,0.94863217
-5.73586793,3.45152458,0.12768967,0.00000000,0.00525940,2.06232022,1.87339277,0.93688165
-5.72986493,3.45068266,0.12323311,0.00000000,0.00541694,2.03755302,1.87604390,0.92737670
-5.72386193,3.45526491,0.11863185,0.00000000,0.00556627,2.01662406,1.88459224,0.91970255
-5.71785893,3.46380207,0.11389496,0.00000000,0.00570359,1.99874480,1.89816386,0.91345471
-5.71185593,3.47490601,0.10903843,0.00000000,0.00582559,1.98317112,1.91592149,0.90825185
-5.70585293,3.48731280,0.10408494,0.00000000,0.00592953,1.96922741,1.93709475,0.90374633
-5.69984992,3.49991691,0.09906336,0.00000000,0.00601340,1.95632544,1.96100466,0.89963246
-5.69384692,3.51179590,0.09400778,0.00000000,0.00607592,1.94397760,1.98708144,0.89565218
-5.68784392,3.52222511,0.08895647,0.00000000,0.00611659,1.93180443,2.01487521,0.89159812
-5.68184092,3.53068243,0.08395049,0.00000000,0.00613574,1.91953672,2.04405938,0.88731440
-5.67583792,3.53684370,0.07903231,0.00000000,0.00613441,1.90701230,2.07442683,0.88269492
-5.66983492,3.54056939,0.07424438,0.00000000,0.00611437,1.89416827,2.10587930,0.87767993
-5.66383192,3.54188378,0.06962766,0.00000000,0.00607798,1.88102921,2.13841078,0.87225067
-5.65782891,3.54094797,0.06522031,0.00000000,0.00602808,1.86769218,2.17208583,0.86642291
-5.65182591,3.53802826,0.06105654,0.00000000,0.00596785,1.85430938,2.20701396,0.86023945
-5.64582291,3.53346152,0.05716552,0.00000000,0.00590066,1.84106930,2.24332152,0.85376210
-5.63981991,3.52761926,0.05357067,0.00000000,0.00582991,1.82817727,2.28112239,0.84706353
-5.63381691,3.52087211,0.05028901,0.00000000,0.00575885,1.81583626,2.32048911,0.84021933
-5.62781391,3.51355623,0.04733083,0.00000000,0.00569046,1.80422870,2.36142580,0.83330061
-5.62181091,3.50594314,0.04469956,0.00000000,0.00562725,1.79350014,2.40384425,0.82636738
-5.61580790,3.49821419,0.04239188,0.00000000,0.00557120,1.78374523,2.44754450,0.81946308
-5.60980490,3.49044083,0.04039797,0.00000000,0.00552364,1.77499672,2.49220086,0.81261024
-5.60380190,3.48257119,0.03870196,0.00000000,0.00548520,1.76721773,2.53735422,0.80580761
-5.59779890,3.47442364,0.03728264,0.00000000,0.00545577,1.76029767,2.58241114,0.79902866
-5.59179590,3.46568748,0.03611409,0.00000000,0.00543451,1.75405186,2.62664995,0.79222159
-5.58579290,3.45593041,0.03516663,0.00000000,0.00541992,1.74822477,2.66923374,0.78531062
-5.57978989,3.44461260,0.03440769,0.00000000,0.00540989,1.74249686,2.70922984,0.77819869
-5.57378689,3.43110640,0.03380282,0.00000000,0.00540182,1.73649448,2.74563494,0.77077119
-5.56778389,3.41472086,0.03331666,0.00000000,0.00539273,1.72980257,2.77740501,0.76290068
-5.56178089,3.39472982,0.03291393,0.00000000,0.00537942,1.72197946,2.80348861,0.75445227
-5.55577789,3.37040219,0.03256035,0.00000000,0.00535864,1.71257306,2.82286228,0.74528947
-5.54977489,3.34103313,0.03222357,0.00000000,0.00532720,1.70113792,2.83456635,0.73528013
-5.54377189,3.30597458,0.03187387,0.00000000,0.00528215,1.68725212,2.83773972,0.72430238
-5.53776888,3.26466368,0.03148494,0.00000000,0.00522093,1.67053348,2.83165197,0.71225005
-5.53176588,3.21664807,0.03103432,0.00000000,0.00514143,1.65065416,2.81573139,0.69903755
-5.52576288,3.16160657,0.03050388,0.00000000,0.00504213,1.62735321,2.78958771,0.68460386
-5.51975988,3.09936468,0.02988006,0.00000000,0.00492215,1.60044635,2.75302853,0.66891557
-5.51375688,3.02990418,0.02915394,0.00000000,0.00478127,1.56983278,2.70606878,0.65196869
-5.50775388,2.95336646,0.02832122,0.00000000,0.00461994,1.53549867,2.64893274,0.63378937
-5.50175088,2.87004978,0.02738204,0.00000000,0.00443924,1.49751729,2.58204883,0.61443341
-5.49574787,2.78040059,0.02634064,0.00000000,0.00424086,1.45604593,2.50603730,0.59398462
-5.48974487,2.68499971,0.02520495,0.00000000,0.00402697,1.41131993,2.42169165,0.57255222
-5.48374187,2.58454405,0.02398607,0.00000000,0.00380018,1.36364407,2.32995466,0.55026745
-5.47773887,2.47982510,0.02269772,0.00000000,0.00356339,1.31338204,2.23189024,0.52727942
-5.47173587,2.37170523,0.02135563,0.00000000,0.00331970,1.26094454,2.12865246,0.50375074
-5.46573287,2.26109310,0.01997691,0.00000000,0.00307229,1.20677655,2.02145315,0.47985284
-5.45972986,2.14891929,0.01857949,0.00000000,0.00282433,1.15134462,1.91152954,0.45576147
-5.45372686,2.03611343,0.01718155,0.00000000,0.00257882,1.09512461,1.80011317,0.43165241
-5.44772386,1.92358357,0.01580101,0.00000000,0.00233858,1.03859049,1.68840147,0.40769770
-5.44172086,1.81219868,0.01445518,0.00000000,0.00210614,0.98220463,1.57753281,0.38406251
-5.43571786,1.70277480,0.01316036,0.00000000,0.00188368,0.92640988,1.46856583,0.36090258
-5.42971486,1.59606498,0.01193165,0.00000000,0.00167300,0.87162354,1.36246353,0.33836262
-5.42371186,1.49275318,0.01078279,0.00000000,0.00147552,0.81823339,1.26008239,0.31657529
-5.41770885,1.39345174,0.00972610,0.00000000,0.00129226,0.76659556,1.16216627,0.29566092
-5.41170585,1.29870221,0.00877252,0.00000000,0.00112386,0.71703407,1.06934488,0.27572785
-5.40570285,1.20897862,0.00793165,0.00000000,0.00097059,0.66984177,0.98213637,0.25687323
-5.39969985,1.12469292,0.00721192,0.00000000,0.00083241,0.62528225,0.90095314,0.23918410
-5.39369685,1.04620138,0.00662073,0.00000000,0.00070899,0.58359244,0.82611031,0.22273868
-5.38769385,0.97381156,0.00616463,0.00000000,0.00059978,0.54498536,0.75783578,0.20760761
-5.38169085,0.90778881,0.00584946,0.00000000,0.00050404,0.50965266,0.69628124,0.19385507
-5.37568784,0.84836192,0.00568049,0.00000000,0.00042087,0.47776672,0.64153316,0.18153958
-5.36968484,0.79572710,0.00566250,0.00000000,0.00034930,0.44948187,0.59362307,0.17071444
