energy_ev,total_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.23380827,0.00060858,0.03636764,0.05118358,0.00297052,0.08674860,0.19639306,0.00887870
-5.99399700,0.24487160,0.00048105,0.03820011,0.05384017,0.00312631,0.09152962,0.20640209,0.00823600
-5.98799400,0.25567090,0.00037752,0.03989226,0.05632764,0.00327225,0.09614929,0.21584682,0.00782644
-5.98199100,0.26608219,0.00029415,0.04142602,0.05862696,0.00340711,0.10057450,0.22462787,0.00762540
-5.97598799,0.27601158,0.00022754,0.04278723,0.06072555,0.00353000,0.10478101,0.23266594,0.00761314
-5.96998499,0.28539731,0.00017476,0.04396622,0.06261788,0.00364041,0.10875415,0.23990358,0.00777489
-5.96398199,0.29421067,0.00013325,0.04495802,0.06430585,0.00373828,0.11248892,0.24630600,0.00810065
-5.95797899,0.30245558,0.00010088,0.04576249,0.06579878,0.00382395,0.11598977,0.25186077,0.00858509
-5.95197599,0.31016693,0.00007583,0.04638425,0.06711310,0.00389821,0.11926985,0.25657658,0.00922735
-5.94597299,0.31740798,0.00005660,0.04683239,0.06827170,0.00396227,0.12234996,0.26048093,0.01003075
-5.93996998,0.32426664,0.00004195,0.04711998,0.06930298,0.00401773,0.12525706,0.26361708,0.01100260
-5.93396698,0.33085128,0.00003088,0.04726356,0.07023961,0.00406656,0.12802265,0.26604033,0.01215400
-5.92796398,0.33728597,0.00002259,0.04728240,0.07111714,0.00411103,0.13068101,0.26781386,0.01349959
-5.92196098,0.34370574,0.00001643,0.04719776,0.07197240,0.00415368,0.13326740,0.26900453,0.01505742
-5.91595798,0.35025203,0.00001191,0.04703211,0.07284188,0.00419729,0.13581647,0.26967870,0.01684881
-5.90995498,0.35706866,0.00000862,0.04680844,0.07376017,0.00424478,0.13836087,0.26989848,0.01889828
-5.90395198,0.36429851,0.00000628,0.04654951,0.07475844,0.00429923,0.14093027,0.26971863,0.02123341
-5.89794897,0.37208124,0.00000465,0.04627738,0.07586314,0.00436379,0.14355071,0.26918419,0.02388486
-5.89194597,0.38055204,0.00000357,0.04601287,0.07709500,0.00444169,0.14624459,0.26832915,0.02688630
-5.88594297,0.38984155,0.00000291,0.04577534,0.07846828,0.00453619,0.14903106,0.26717602,0.03027436
-5.87993997,0.40007679,0.00000261,0.04558248,0.07999039,0.00465060,0.15192690,0.26573645,0.03408858
-5.87393697,0.41138319,0.00000261,0.04545030,0.08166193,0.00478822,0.15494785,0.26401277,0.03837128
