energy_ev,total_up,Al_p_up,Al_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,1.33160301,0.35972847,0.00000000,0.83779644,0.56081055,0.35677382,0.00000000
-5.99399700,1.29164411,0.34171581,0.00000000,0.80482782,0.55836220,0.34307931,0.00000000
-5.98799400,1.25450048,0.32366790,0.00000000,0.77457152,0.55579073,0.33074211,0.00000000
-5.98199100,1.22118398,0.30581957,0.00000000,0.74786720,0.55344636,0.32002939,0.00000000
-5.97598799,1.19264585,0.28839006,0.00000000,0.72548034,0.55169900,0.31117926,0.00000000
-5.96998499,1.16975001,0.27157908,0.00000000,0.70808470,0.55092625,0.30439321,0.00000000
-5.96398199,1.15324745,0.25556348,0.00000000,0.69624687,0.55150008,0.29982924,0.00000000
-5.95797899,1.14375241,0.24049458,0.00000000,0.69041315,0.55377279,0.29759598,0.00000000
-5.95197599,1.14172113,0.22649622,0.00000000,0.69089893,0.55806266,0.29774783,0.00000000
-5.94597299,1.14743380,0.21366341,0.00000000,0.69788079,0.56464002,0.30028143,0.00000000
-5.93996998,1.16098062,0.20206179,0.00000000,0.71139152,0.57371431,0.30513347,0.00000000
-5.93396698,1.18225248,0.19172771,0.00000000,0.73131816,0.58542278,0.31218015,0.00000000
-5.92796398,1.21093714,0.18266915,0.00000000,0.75740327,0.59982156,0.32123826,0.00000000
-5.92196098,1.24652123,0.17486721,0.00000000,0.78924951,0.61687945,0.33206801,0.00000000
-5.91595798,1.28829858,0.16827849,0.00000000,0.82632759,0.63647500,0.34437771,0.00000000
-5.90995498,1.33538492,0.16283797,0.00000000,0.86798744,0.65839709,0.35783008,0.00000000
-5.90395198,1.38673882,0.15846256,0.00000000,0.91347269,0.68234919,0.37205029,0.00000000
-5.89794897,1.44118853,0.15505523,0.00000000,0.96193791,0.70795714,0.38663542,0.00000000
-5.89194597,1.49746393,0.15250943,0.00000000,1.01246848,0.73478034,0.40116514,0.00000000
-5.88594297,1.55423263,0.15071388,0.00000000,1.06410234,0.76232571,0.41521325,0.00000000
-5.87993997,1.61013897,0.14955747,0.00000000,1.11585325,0.79006413,0.42835981,0.00000000
-5.87393697,1.66384447,0.14893398,0.00000000,1.16673461,0.81744833,0.44020317,0.00000000
-5.86793397,1.71406809,0.14874671,0.00000000,1.21578311,0.84393165,0.45037180,0.00000000
-5.86193097,1.75962470,0.14891252,0.00000000,1.26208150,0.86898669,0.45853512,0.00000000
-5.85592796,1.79946015,0.14936528,0.00000000,1.30477960,0.89212300,0.46441311,0.00000000
-5.84992496,1.83268135,0.15005848,0.00000000,1.34311275,0.91290306,0.46778420,0.00000000
-5.84392196,1.85858018,0.15096689,0.00000000,1.37641730,0.93095576,0.46849111,0.00000000
-5.83791896,1.87665021,0.15208713,0.00000000,1.40414239,0.94598676,0.46644446,0.00000000
-5.83191596,1.88659554,0.15343705,0.00000000,1.42585797,0.95778541,0.46162400,0.00000000
-5.82591296,1.88833153,0.15505399,0.00000000,1.44125870,0.96622798,0.45407736,0.00000000
-5.81990995,1.88197756,0.15699188,0.00000000,1.45016408,0.97127702,0.44391655,0.00000000
-5.81390695,1.86784236,0.15931736,0.00000000,1.45251475,0.97297721,0.43131227,0.00000000
-5.80790395,1.84640280,0.16210489,0.00000000,1.44836571,0.97144795,0.41648652,0.00000000
-5.80190095,1.81827726,0.16543133,0.00000000,1.43787664,0.96687312,0.39970363,0.00000000
-5.79589795,1.78419516,0.16937000,0.00000000,1.42130032,0.95948884,0.38126042,0.00000000
-5.78989495,1.74496403,0.17398458,0.00000000,1.39896951,0.94956970,0.36147573,0.00000000
