energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.62171194,0.54896969,0.49482713,0.00663627,0.60491358,0.00858320,1.06463711,0.44458269,0.58639650
-5.99399700,2.66527113,0.56281014,0.50225702,0.00682497,0.61018222,0.00877792,1.08823866,0.45407971,0.59360159
-5.98799400,2.70990933,0.57873287,0.50916556,0.00700270,0.61467952,0.00894496,1.11387991,0.46443371,0.60048144
-5.98199100,2.75597987,0.59688122,0.51559876,0.00716884,0.61846710,0.00908230,1.14177532,0.47568491,0.60711953
-5.97598799,2.80380069,0.61736383,0.52161310,0.00732309,0.62160938,0.00918847,1.17210466,0.48785200,0.61359243
-5.96998499,2.85362456,0.64024390,0.52727046,0.00746541,0.62416969,0.00926250,1.20499566,0.50092730,0.61996481
-5.96398199,2.90561086,0.66552950,0.53263289,0.00759596,0.62620679,0.00930399,1.24050773,0.51487273,0.62628484
-5.95797899,2.95980064,0.69316541,0.53775742,0.00771499,0.62777154,0.00931301,1.27861748,0.52961692,0.63258028
-5.95197599,3.01609631,0.72302704,0.54269122,0.00782273,0.62890422,0.00929010,1.31920720,0.54505349,0.63885552
-5.94597299,3.07424719,0.75491684,0.54746752,0.00791937,0.62963242,0.00923627,1.36205674,0.56104084,0.64508964
-5.93996998,3.13384208,0.78856346,0.55210235,0.00800494,0.62996967,0.00915296,1.40683970,0.57740334,0.65123559
-5.93396698,3.19430935,0.82362402,0.55659242,0.00807926,0.62991480,0.00904200,1.45312414,0.59393419,0.65722072
-5.92796398,3.25492514,0.85968944,0.56091423,0.00814192,0.62945221,0.00890563,1.50037818,0.61039966,0.66294842
-5.92196098,3.31482948,0.89629282,0.56502444,0.00819224,0.62855291,0.00874642,1.54798057,0.62654476,0.66830113
-5.91595798,3.37304993,0.93292065,0.56886158,0.00822929,0.62717629,0.00856728,1.59523568,0.64210008,0.67314432
-5.90995498,3.42853189,0.96902653,0.57234889,0.00825191,0.62527265,0.00837142,1.64139279,0.65678970,0.67733160
-5.90395198,3.48017439,1.00404677,0.57539824,0.00825872,0.62278632,0.00816234,1.68566860,0.67033964,0.68071044
-5.89794897,3.52686962,1.03741742,0.57791483,0.00824826,0.61965917,0.00794371,1.72727228,0.68248672,0.68312854
-5.89194597,3.56754460,1.06859176,0.57980241,0.00821896,0.61583447,0.00771940,1.76543176,0.69298743,0.68444032
-5.88594297,3.60120277,1.09705775,0.58096878,0.00816931,0.61126073,0.00749340,1.79942005,0.70162631,0.68451346
-5.87993997,3.62696346,1.12235434,0.58133111,0.00809790,0.60589555,0.00726970,1.82858048,0.70822365,0.68323491
