energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,2.81102027,0.00003420,0.80974684,0.82540456,1.83215952,0.02785125,0.27369757
-5.99399700,2.74625761,0.00003754,0.79769811,0.81368464,1.79815174,0.02696164,0.25968693
-5.98799400,2.67953760,0.00004229,0.78430429,0.80335090,1.76094437,0.02605969,0.24656061
-5.98199100,2.61122349,0.00004876,0.76962822,0.79455782,1.72070882,0.02515249,0.23440205
-5.97598799,2.54173384,0.00005726,0.75376417,0.78743274,1.67769480,0.02424690,0.22327921
-5.96998499,2.47154094,0.00006817,0.73683548,0.78207388,1.63222692,0.02334956,0.21324682
-5.96398199,2.40116384,0.00008190,0.71899029,0.77854779,1.58469684,0.02246678,0.20434863
-5.95797899,2.33115636,0.00009891,0.70039562,0.77688664,1.53555131,0.02160445,0.19661941
-5.95197599,2.26209095,0.00011969,0.68123014,0.77708542,1.48527696,0.02076793,0.19008680
-5.94597299,2.19453973,0.00014480,0.66167620,0.77909966,1.43438266,0.01996187,0.18477275
-5.93996998,2.12905396,0.00017481,0.64191159,0.78284392,1.38338073,0.01919007,0.18069476
-5.93396698,2.06614360,0.00021035,0.62210159,0.78819153,1.33276799,0.01845540,0.17786672
-5.92796398,2.00625853,0.00025205,0.60239190,0.79497588,1.28300803,0.01775961,0.17629952
-5.92196098,1.94977263,0.00030056,0.58290286,0.80299354,1.23451555,0.01710337,0.17600140
-5.91595798,1.89697199,0.00035653,0.56372535,0.81200935,1.18764380,0.01648617,0.17697805
-5.90995498,1.84804793,0.00042058,0.54491868,0.82176332,1.14267563,0.01590640,0.17923256
-5.90395198,1.80309525,0.00049329,0.52651045,0.83197933,1.09981872,0.01536146,0.18276509
-5.89794897,1.76211566,0.00057517,0.50849854,0.84237516,1.05920478,0.01484786,0.18757246
-5.89194597,1.72502594,0.00066664,0.49085484,0.85267338,1.02089279,0.01436148,0.19364749
-5.88594297,1.69167014,0.00076801,0.47353061,0.86261260,0.98487572,0.01389774,0.20097814
-5.87993997,1.66183475,0.00087945,0.45646302,0.87195844,0.95109007,0.01345188,0.20954654
-5.87393697,1.63526571,0.00100095,0.43958234,0.88051349,0.91942751,0.01301926,0.21932771
-5.86793397,1.61168599,0.00113231,0.42281950,0.88812588,0.88974768,0.01259556,0.23028823
-5.86193097,1.59081259,0.00127314,0.40611334,0.89469576,0.86189147,0.01217705,0.24238476
-5.85592796,1.57237203,0.00142279,0.38941722,0.90017949,0.83569372,0.01176082,0.25556251
-5.84992496,1.55611335,0.00158042,0.37270468,0.90459136,0.81099487,0.01134493,0.26975382
-5.84392196,1.54181831,0.00174490,0.35597376,0.90800270,0.78765103,0.01092856,0.28487685
-5.83791896,1.52930839,0.00191490,0.33924983,0.91053878,0.76554190,0.01051207,0.30083474
-5.83191596,1.51844885,0.00208889,0.32258699,0.91237365,0.74457663,0.01009703,0.31751511
-5.82591296,1.50915011,0.00226511,0.30606788,0.91372352,0.72469752,0.00968622,0.33479032
-5.81990995,1.50136694,0.00244168,0.28980219,0.91483920,0.70588166,0.00928357,0.35251849
-5.81390695,1.49509628,0.00261658,0.27392393,0.91599821,0.68814093,0.00889403,0.37054532
-5.80790395,1.49037439,0.00278776,0.25858782,0.91749723,0.67152057,0.00852352,0.38870701
-5.80190095,1.48727389,0.00295315,0.24396499,0.91964532,0.65609682,0.00817871,0.40683396
-5.79589795,1.48590147,0.00311075,0.23023826,0.92275832,0.64197394,0.00786693,0.42475551
-5.78989495,1.48639651,0.00325872,0.21759736,0.92715482,0.62928095,0.00759598,0.44230534
-5.78389195,1.48893077,0.00339539,0.20623415,0.93315360,0.61816834,0.00737401,0.45932745
-5.77788894,1.49370917,0.00351939,0.19633806,0.94107249,0.60880487,0.00720930,0.47568243
-5.77188594,1.50097117,0.00362967,0.18809200,0.95122840,0.60137449,0.00711016,0.49125370
-5.76588294,1.51099229,0.00372557,0.18166851,0.96393802,0.59607336,0.00708478,0.50595329
-5.75987994,1.52408502,0.00380685,0.17722638,0.97951855,0.59310681,0.00714103,0.51972693
-5.75387694,1.54059829,0.00387373,0.17490769,0.99828803,0.59268595,0.00728633,0.53255797
-5.74787394,1.56091475,0.00392690,0.17483499,1.02056441,0.59502383,0.00752748,0.54446980
-5.74187094,1.58544508,0.00396749,0.17710880,1.04666294,0.60033087,0.00787050,0.55552659
-5.73586793,1.61461881,0.00399708,0.18180512,1.07689143,0.60880932,0.00832039,0.56583210
-5.72986493,1.64887135,0.00401762,0.18897312,1.11154302,0.62064685,0.00888097,0.57552646
-5.72386193,1.68862730,0.00403141,0.19863272,1.15088646,0.63600910,0.00955467,0.58478101
-5.71785893,1.73428033,0.00404100,0.21077228,1.19515418,0.65503142,0.01034228,0.59379129
-5.71185593,1.78617032,0.00404912,0.22534634,1.24452834,0.67781008,0.01124275,0.60276858
-5.70585293,1.84455897,0.00405859,0.24227359,1.29912584,0.70439331,0.01225303,0.61193013
-5.69984992,1.90960492,0.00407220,0.26143511,1.35898286,0.73477270,0.01336784,0.62148883
-5.69384692,1.98134013,0.00409264,0.28267312,1.42404010,0.76887541,0.01457958,0.63164262
-5.68784392,2.05964896,0.00412243,0.30579048,1.49412976,0.80655797,0.01587826,0.64256435
-5.68184092,2.14425164,0.00416377,0.33055098,1.56896531,0.84760205,0.01725145,0.65439260
-5.67583792,2.23469345,0.00421853,0.35668071,1.64813508,0.89171286,0.01868439,0.66722391
-5.66983492,2.33034097,0.00428821,0.38387060,1.73110046,0.93852053,0.02016011,0.68110703
-5.66383192,2.43038611,0.00437383,0.41178027,1.81719943,0.98758469,0.02165969,0.69603935
