energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,7.48722488,0.02609972,0.83344411,0.78425895,0.20976839,3.49705022,1.68898071,0.16321992,3.08011373
-5.99399700,7.34400393,0.02615437,0.80262834,0.78201949,0.20364669,3.40925925,1.65142240,0.15862131,3.04251890
-5.98799400,7.18974663,0.02616231,0.77134084,0.77848177,0.19729429,3.31773616,1.61117731,0.15391461,2.99947353
-5.98199100,7.02510286,0.02612379,0.73976033,0.77365340,0.19074790,3.22319926,1.56839401,0.14910975,2.95108572
-5.97598799,6.85087037,0.02604055,0.70807114,0.76755551,0.18404875,3.12636175,1.52327582,0.14421683,2.89753705
-5.96998499,6.66801926,0.02591598,0.67646266,0.76022459,0.17724300,3.02793351,1.47608612,0.13924751,2.83909507
-5.96398199,6.47771107,0.02575510,0.64512871,0.75171419,0.17038197,2.92862402,1.42715195,0.13421618,2.77612310
-5.95797899,6.28131064,0.02556458,0.61426660,0.74209632,0.16352207,2.82914582,1.37686537,0.12914103,2.70908650
-5.95197599,6.08038932,0.02535269,0.58407606,0.73146239,0.15672455,2.73021785,1.32568242,0.12404466,2.63855466
-5.94597299,5.87671851,0.02512917,0.55475765,0.71992355,0.15005485,2.63256812,1.27411952,0.11895450,2.56519840
-5.93996998,5.67225328,0.02490510,0.52651098,0.70761033,0.14358179,2.53693515,1.22274743,0.11390280,2.48978259
-5.93396698,5.46910623,0.02469264,0.49953254,0.69467155,0.13737650,2.44406788,1.17218277,0.10892626,2.41315417
-5.92796398,5.26951250,0.02450478,0.47401325,0.68127247,0.13151116,2.35472386,1.12307744,0.10406528,2.33622604
-5.92196098,5.07578736,0.02435504,0.45013581,0.66759217,0.12605763,2.26966560,1.07610637,0.09936304,2.25995741
-5.91595798,4.89027809,0.02425709,0.42807192,0.65382038,0.12108604,2.18965527,1.03195389,0.09486419,2.18533163
-5.90995498,4.71531245,0.02422434,0.40797950,0.64015370,0.11666333,2.11544809,0.99129941,0.09061346,2.11333242
-5.90395198,4.55314590,0.02426962,0.39000008,0.62679158,0.11285201,2.04778470,0.95480285,0.08665418,2.04491966
-5.89794897,4.40591003,0.02440465,0.37425632,0.61393209,0.10970889,1.98738308,0.92309030,0.08302680,1.98100580
-5.89194597,4.27556433,0.02463970,0.36085011,0.60176766,0.10728420,1.93493054,0.89674055,0.07976747,1.92243399
-5.88594297,4.16385338,0.02498320,0.34986096,0.59048106,0.10562077,1.89107630,0.87627280,0.07690674,1.86995873
-5.87993997,4.07227105,0.02544133,0.34134513,0.58024174,0.10475372,1.85642506,0.86213608,0.07446852,1.82422994
-5.87393697,4.00203291,0.02601775,0.33533537,0.57120259,0.10471021,1.83153205,0.85470044,0.07246926,1.78578073
