energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.14535180,0.00033536,0.00470713,0.09232287,0.00000000,0.05100528,0.01818541
-5.99399700,0.12716369,0.00029340,0.00411811,0.08077037,0.00000000,0.04462295,0.01590985
-5.98799400,0.11045288,0.00025486,0.00357694,0.07015622,0.00000000,0.03875904,0.01381911
-5.98199100,0.09524961,0.00021980,0.00308458,0.06049962,0.00000000,0.03342416,0.01191699
-5.97598799,0.08154989,0.00018821,0.00264090,0.05179804,0.00000000,0.02861693,0.01020299
-5.96998499,0.06932037,0.00016003,0.00224483,0.04403030,0.00000000,0.02432566,0.00867294
-5.96398199,0.05850344,0.00013512,0.00189450,0.03715984,0.00000000,0.02053017,0.00731964
-5.95797899,0.04902249,0.00011332,0.00158741,0.03113799,0.00000000,0.01720360,0.00613350
-5.95197599,0.04078696,0.00009442,0.00132064,0.02590727,0.00000000,0.01431423,0.00510320
-5.94597299,0.03369712,0.00007822,0.00109093,0.02140434,0.00000000,0.01182712,0.00421629
-5.93996998,0.02764836,0.00006448,0.00089490,0.01756282,0.00000000,0.00970565,0.00345968
-5.93396698,0.02253502,0.00005300,0.00072910,0.01431564,0.00000000,0.00791288,0.00282019
-5.92796398,0.01825363,0.00004358,0.00059015,0.01159715,0.00000000,0.00641266,0.00228491
-5.92196098,0.01470562,0.00003604,0.00047484,0.00934485,0.00000000,0.00517061,0.00184155
-5.91595798,0.01179942,0.00003023,0.00038016,0.00750071,0.00000000,0.00415488,0.00147874
-5.90995498,0.00945221,0.00002608,0.00030336,0.00601230,0.00000000,0.00333677,0.00118620
-5.90395198,0.00759117,0.00002352,0.00024202,0.00483358,0.00000000,0.00269120,0.00095496
-5.89794897,0.00615442,0.00002260,0.00019405,0.00392557,0.00000000,0.00219705,0.00077745
-5.89194597,0.00509177,0.00002340,0.00015769,0.00325677,0.00000000,0.00183745,0.00064763
-5.88594297,0.00436533,0.00002613,0.00013158,0.00280360,0.00000000,0.00160004,0.00056108
-5.87993997,0.00394999,0.00003109,0.00011470,0.00255071,0.00000000,0.00147713,0.00051507
-5.87393697,0.00383400,0.00003869,0.00010646,0.00249143,0.00000000,0.00146600,0.00050866
-5.86793397,0.00401960,0.00004953,0.00010662,0.00262812,0.00000000,0.00156908,0.00054283
-5.86193097,0.00452371,0.00006435,0.00011539,0.00297270,0.00000000,0.00179429,0.00062055
-5.85592796,0.00537889,0.00008409,0.00013341,0.00354725,0.00000000,0.00215534,0.00074702
-5.84992496,0.00663429,0.00010994,0.00016176,0.00438467,0.00000000,0.00267214,0.00092974
-5.84392196,0.00835684,0.00014333,0.00020203,0.00552948,0.00000000,0.00337119,0.00117877
-5.83791896,0.01063248,0.00018598,0.00025631,0.00703860,0.00000000,0.00428601,0.00150694
-5.83191596,0.01356732,0.00023994,0.00032726,0.00898212,0.00000000,0.00545756,0.00193000
-5.82591296,0.01728885,0.00030759,0.00041811,0.01144411,0.00000000,0.00693456,0.00246685
-5.81990995,0.02194674,0.00039167,0.00053273,0.01452311,0.00000000,0.00877377,0.00313972
-5.81390695,0.02771347,0.00049532,0.00067561,0.01833254,0.00000000,0.01104006,0.00397425
-5.80790395,0.03478426,0.00062205,0.00085187,0.02300064,0.00000000,0.01380631,0.00499951
-5.80190095,0.04337645,0.00077572,0.00106731,0.02867001,0.00000000,0.01715299,0.00624800
-5.79589795,0.05372790,0.00096054,0.00132830,0.03549658,0.00000000,0.02116748,0.00775541
-5.78989495,0.06609450,0.00118100,0.00164178,0.04364789,0.00000000,0.02594295,0.00956026
-5.78389195,0.08074638,0.00144183,0.00201515,0.05330065,0.00000000,0.03157683,0.01170344
-5.77788894,0.09796304,0.00174784,0.00245615,0.06463743,0.00000000,0.03816889,0.01422746
-5.77188594,0.11802709,0.00210386,0.00297271,0.07784264,0.00000000,0.04581884,0.01717560
-5.76588294,0.14121683,0.00251458,0.00357272,0.09309753,0.00000000,0.05462352,0.02059075
-5.75987994,0.16779761,0.00298437,0.00426386,0.11057465,0.00000000,0.06467376,0.02451420
-5.75387694,0.19801236,0.00351708,0.00505328,0.13043156,0.00000000,0.07605095,0.02898421
-5.74787394,0.23207146,0.00411588,0.00594734,0.15280427,0.00000000,0.08882352,0.03403445
-5.74187094,0.27014235,0.00478301,0.00695130,0.17780046,0.00000000,0.10304335,0.03969245
-5.73586793,0.31233940,0.00551961,0.00806904,0.20549291,0.00000000,0.11874249,0.04597801
-5.72986493,0.35871463,0.00632551,0.00930274,0.23591351,0.00000000,0.13593020,0.05290176
-5.72386193,0.40924964,0.00719905,0.01065262,0.26904809,0.00000000,0.15459062,0.06046382
-5.71785893,0.46384968,0.00813696,0.01211672,0.30483265,0.00000000,0.17468125,0.06865286
-5.71185593,0.52234006,0.00913426,0.01369078,0.34315115,0.00000000,0.19613242,0.07744541
-5.70585293,0.58446562,0.01018423,0.01536812,0.38383535,0.00000000,0.21884789,0.08680565
-5.69984992,0.64989355,0.01127846,0.01713964,0.42666675,0.00000000,0.24270668,0.09668567
-5.69384692,0.71821967,0.01240690,0.01899398,0.47138090,0.00000000,0.26756614,0.10702633
-5.68784392,0.78897828,0.01355809,0.02091768,0.51767396,0.00000000,0.29326624,0.11775855
-5.68184092,0.86165522,0.01471936,0.02289552,0.56521137,0.00000000,0.31963487,0.12880521
-5.67583792,0.93570381,0.01587715,0.02491091,0.61363839,0.00000000,0.34649404,0.14008340
-5.66983492,1.01056283,0.01701739,0.02694637,0.66259187,0.00000000,0.37366652,0.15150711
-5.66383192,1.08567573,0.01812588,0.02898405,0.71171284,0.00000000,0.40098274,0.16299003
