energy_ev,total_up,Al_p_up,Al_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,1.66578117,0.16020755,0.00000000,0.57456035,0.41993210,0.10450269,0.52767964
-5.99399700,1.67610361,0.16157405,0.00000000,0.57838876,0.42186824,0.10474118,0.52995064
-5.98799400,1.68074259,0.16224367,0.00000000,0.57976095,0.42227649,0.10447292,0.53191368
-5.98199100,1.67937690,0.16217954,0.00000000,0.57854399,0.42108932,0.10369237,0.53345745
-5.97598799,1.67177318,0.16135786,0.00000000,0.57465360,0.41826404,0.10240336,0.53445345
-5.96998499,1.65779430,0.15976876,0.00000000,0.56805704,0.41378446,0.10061910,0.53476059
-5.96398199,1.63740475,0.15741656,0.00000000,0.55877435,0.40766176,0.09836181,0.53423042
-5.95797899,1.61067295,0.15431976,0.00000000,0.54687777,0.39993448,0.09566211,0.53271278
-5.95197599,1.57777053,0.15051043,0.00000000,0.53248955,0.39066769,0.09255814,0.53006161
-5.94597299,1.53896860,0.14603333,0.00000000,0.51577828,0.37995142,0.08909445,0.52614082
-5.93996998,1.49463158,0.14094458,0.00000000,0.49695380,0.36789851,0.08532076,0.52082997
-5.93396698,1.44520864,0.13531011,0.00000000,0.47626114,0.35464182,0.08129063,0.51402961
-5.92796398,1.39122331,0.12920384,0.00000000,0.45397356,0.34033117,0.07706002,0.50566606
-5.92196098,1.33326177,0.12270571,0.00000000,0.43038511,0.32512992,0.07268598,0.49569538
-5.91595798,1.27196004,0.11589960,0.00000000,0.40580297,0.30921147,0.06822529,0.48410657
-5.90995498,1.20799076,0.10887132,0.00000000,0.38053979,0.29275572,0.06373331,0.47092364
-5.90395198,1.14204979,0.10170654,0.00000000,0.35490636,0.27594562,0.05926293,0.45620659
-5.89794897,1.07484301,0.09448891,0.00000000,0.32920479,0.25896392,0.05486372,0.44005123
-5.89194597,1.00707379,0.08729839,0.00000000,0.30372244,0.24199012,0.05058125,0.42258781
-5.88594297,0.93943110,0.08020966,0.00000000,0.27872668,0.22519775,0.04645662,0.40397843
-5.87993997,0.87257879,0.07329093,0.00000000,0.25446060,0.20875199,0.04252620,0.38441348
-5.87393697,0.80714587,0.06660294,0.00000000,0.23113978,0.19280758,0.03882143,0.36410703
-5.86793397,0.74371811,0.06019820,0.00000000,0.20895002,0.17750711,0.03536893,0.34329151
-5.86193097,0.68283095,0.05412062,0.00000000,0.18804610,0.16297965,0.03219054,0.32221176
-5.85592796,0.62496360,0.04840530,0.00000000,0.16855140,0.14933958,0.02930357,0.30111874
-5.84992496,0.57053449,0.04307862,0.00000000,0.15055843,0.13668584,0.02672107,0.28026307
-5.84392196,0.51989789,0.03815853,0.00000000,0.13412994,0.12510125,0.02445207,0.25988865
-5.83791896,0.47334164,0.03365501,0.00000000,0.11930067,0.11465217,0.02250188,0.24022664
-5.83191596,0.43108596,0.02957072,0.00000000,0.10607955,0.10538824,0.02087235,0.22148985
-5.82591296,0.39328318,0.02590172,0.00000000,0.09445211,0.09734227,0.01956204,0.20386789
-5.81990995,0.36001833,0.02263826,0.00000000,0.08438315,0.09053029,0.01856641,0.18752303
-5.81390695,0.33131053,0.01976570,0.00000000,0.07581939,0.08495170,0.01787790,0.17258702
-5.80790395,0.30711508,0.01726528,0.00000000,0.06869217,0.08058943,0.01748604,0.15915884
-5.80190095,0.28732621,0.01511504,0.00000000,0.06292002,0.07741040,0.01737745,0.14730346
-5.79589795,0.27178046,0.01329057,0.00000000,0.05841103,0.07536592,0.01753586,0.13705151
-5.78989495,0.26026072,0.01176578,0.00000000,0.05506521,0.07439239,0.01794215,0.12839997
-5.78389195,0.25250087,0.01051358,0.00000000,0.05277648,0.07441213,0.01857439,0.12131365
-5.77788894,0.24819106,0.00950650,0.00000000,0.05143469,0.07533442,0.01940791,0.11572752
-5.77188594,0.24698371,0.00871719,0.00000000,0.05092745,0.07705681,0.02041550,0.11154972
-5.76588294,0.24850014,0.00811894,0.00000000,0.05114181,0.07946674,0.02156766,0.10866517
-5.75987994,0.25233793,0.00768603,0.00000000,0.05196604,0.08244344,0.02283293,0.10693971
-5.75387694,0.25807891,0.00739410,0.00000000,0.05329123,0.08586008,0.02417834,0.10622454
-5.74787394,0.26529775,0.00722044,0.00000000,0.05501307,0.08958632,0.02557005,0.10636103
-5.74187094,0.27357109,0.00714423,0.00000000,0.05703354,0.09349098,0.02697394,0.10718560
-5.73586793,0.28248694,0.00714677,0.00000000,0.05926269,0.09744506,0.02835644,0.10853470
-5.72986493,0.29165426,0.00721162,0.00000000,0.06162041,0.10132478,0.02968533,0.11024961
-5.72386193,0.30071247,0.00732481,0.00000000,0.06403821,0.10501473,0.03093061,0.11218118
-5.71785893,0.30934048,0.00747492,0.00000000,0.06646091,0.10841090,0.03206541,0.11419405
-5.71185593,0.31726513,0.00765319,0.00000000,0.06884819,0.11142357,0.03306679,0.11617059
-5.70585293,0.32426847,0.00785357,0.00000000,0.07117593,0.11397992,0.03391654,0.11801418
-5.69984992,0.33019378,0.00807277,0.00000000,0.07343722,0.11602611,0.03460182,0.11965184
-5.69384692,0.33494991,0.00831018,0.00000000,0.07564309,0.11752898,0.03511569,0.12103609
-5.68784392,0.33851363,0.00856784,0.00000000,0.07782260,0.11847701,0.03545745,0.12214597
-5.68184092,0.34092995,0.00885029,0.00000000,0.08002254,0.11888060,0.03563274,0.12298717
-5.67583792,0.34231007,0.00916435,0.00000000,0.08230647,0.11877168,0.03565344,0.12359125
-5.66983492,0.34282712,0.00951887,0.00000000,0.08475310,0.11820243,0.03553738,0.12401389
-5.66383192,0.34270954,0.00992442,0.00000000,0.08745406,0.11724340,0.03530777,0.12433227
-5.65782891,0.34223247,0.01039279,0.00000000,0.09051102,0.11598084,0.03499244,0.12464166
-5.65182591,0.34170708,0.01093665,0.00000000,0.09403220,0.11451346,0.03462288,0.12505127
-5.64582291,0.34146855,0.01156889,0.00000000,0.09812843,0.11294871,0.03423313,0.12567946
-5.63981991,0.34186272,0.01230218,0.00000000,0.10290866,0.11139869,0.03385860,0.12664857
-5.63381691,0.34323219,0.01314827,0.00000000,0.10847539,0.10997585,0.03353470,0.12807947
-5.62781391,0.34590219,0.01411747,0.00000000,0.11491980,0.10878866,0.03329560,0.13008604
-5.62181091,0.35016682,0.01521802,0.00000000,0.12231706,0.10793741,0.03317288,0.13276983
-5.61580790,0.35627624,0.01645555,0.00000000,0.13072187,0.10751032,0.03319439,0.13621501
-5.60980490,0.36442524,0.01783261,0.00000000,0.14016443,0.10758008,0.03338311,0.14048393
-5.60380190,0.37474375,0.01934824,0.00000000,0.15064705,0.10820098,0.03375631,0.14561342
-5.59779890,0.38728965,0.02099770,0.00000000,0.16214173,0.10940676,0.03432483,0.15161193
-5.59179590,0.40204427,0.02277232,0.00000000,0.17458851,0.11120922,0.03509261,0.15845780
-5.58579290,0.41891073,0.02465945,0.00000000,0.18789519,0.11359773,0.03605655,0.16609861
-5.57978989,0.43771532,0.02664264,0.00000000,0.20193807,0.11653951,0.03720652,0.17445174
-5.57378689,0.45821186,0.02870188,0.00000000,0.21656411,0.11998087,0.03852574,0.18340614
-5.56778389,0.48008897,0.03081412,0.00000000,0.23159415,0.12384915,0.03999135,0.19282523
-5.56178089,0.50297994,0.03295379,0.00000000,0.24682749,0.12805547,0.04157523,0.20255092
-5.55577789,0.52647481,0.03509359,0.00000000,0.26204731,0.13249796,0.04324501,0.21240849
-5.54977489,0.55013430,0.03720526,0.00000000,0.27702702,0.13706562,0.04496524,0.22221225
-5.54377189,0.57350484,0.03926043,0.00000000,0.29153718,0.14164230,0.04669865,0.23177171
-5.53776888,0.59613417,0.04123161,0.00000000,0.30535270,0.14611095,0.04840748,0.24089799
-5.53176588,0.61758688,0.04309297,0.00000000,0.31826003,0.15035778,0.05005476,0.24941024
-5.52576288,0.63745905,0.04482124,0.00000000,0.33006399,0.15427614,0.05160561,0.25714177
-5.51975988,0.65539151,0.04639639,0.00000000,0.34059397,0.15777010,0.05302831,0.26394564
-5.51375688,0.67108103,0.04780224,0.00000000,0.34970920,0.16075744,0.05429534,0.26969945
-5.50775388,0.68428901,0.04902687,0.00000000,0.35730272,0.16317198,0.05538408,0.27430907
-5.50175088,0.69484725,0.05006287,0.00000000,0.36330410,0.16496517,0.05627737,0.27771133
-5.49574787,0.70266067,0.05090738,0.00000000,0.36768050,0.16610692,0.05696380,0.27987531
-5.48974487,0.70770686,0.05156192,0.00000000,0.37043631,0.16658558,0.05743773,0.28080240
-5.48374187,0.71003256,0.05203207,0.00000000,0.37161119,0.16640717,0.05769906,0.28052503
-5.47773887,0.70974748,0.05232701,0.00000000,0.37127676,0.16559391,0.05775283,0.27910424
