energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,1.39890172,0.02490538,0.03314845,0.22029789,0.47803087,0.04130821,0.53358522
-5.99399700,1.29868021,0.02409944,0.03077354,0.20684800,0.43923241,0.03731568,0.49959033
-5.98799400,1.20204122,0.02316685,0.02859772,0.19407183,0.40210343,0.03354594,0.46619119
-5.98199100,1.10977440,0.02212288,0.02663953,0.18208770,0.36687042,0.03002479,0.43370226
-5.97598799,1.02256556,0.02098494,0.02491462,0.17100499,0.33371598,0.02677118,0.40241157
-5.96998499,0.94099355,0.01977196,0.02343560,0.16092248,0.30277998,0.02379757,0.37257791
-5.96398199,0.86552899,0.01850374,0.02221192,0.15192661,0.27416165,0.02111036,0.34442835
-5.95797899,0.79653424,0.01720039,0.02124977,0.14408969,0.24792217,0.01871056,0.31815620
-5.95197599,0.73426463,0.01588171,0.02055193,0.13746816,0.22408761,0.01659442,0.29391930
-5.94597299,0.67887049,0.01456671,0.02011764,0.13210094,0.20265221,0.01475418,0.27183885
-5.93996998,0.63040019,0.01327322,0.01994252,0.12800786,0.18358161,0.01317876,0.25199865
-5.93396698,0.58880389,0.01201752,0.02001846,0.12518846,0.16681629,0.01185455,0.23444485
-5.92796398,0.55393836,0.01081417,0.02033356,0.12362098,0.15227481,0.01076601,0.21918643
-5.92196098,0.52557281,0.00967582,0.02087212,0.12326192,0.13985723,0.00989639,0.20619622
-5.91595798,0.50339587,0.00861322,0.02161465,0.12404605,0.12944833,0.00922827,0.19541278
-5.90995498,0.48702400,0.00763530,0.02253810,0.12588706,0.12092101,0.00874411,0.18674289
-5.90395198,0.47601122,0.00674927,0.02361597,0.12867889,0.11413956,0.00842675,0.18006493
-5.89794897,0.46986033,0.00596087,0.02481879,0.13229774,0.10896309,0.00825983,0.17523294
-5.89194597,0.46803555,0.00527461,0.02611447,0.13660475,0.10524895,0.00822817,0.17208135
-5.88594297,0.46997640,0.00469408,0.02746896,0.14144939,0.10285615,0.00831811,0.17043032
-5.87993997,0.47511251,0.00422226,0.02884691,0.14667336,0.10164879,0.00851782,0.17009146
-5.87393697,0.48287916,0.00386181,0.03021246,0.15211506,0.10149938,0.00881755,0.17087389
-5.86793397,0.49273286,0.00361538,0.03153010,0.15761424,0.10229196,0.00920982,0.17259032
-5.86193097,0.50416665,0.00348584,0.03276560,0.16301688,0.10392494,0.00968960,0.17506297
-5.85592796,0.51672430,0.00347649,0.03388688,0.16818000,0.10631356,0.01025436,0.17812910
-5.84992496,0.53001290,0.00359121,0.03486496,0.17297610,0.10939171,0.01090415,0.18164589
-5.84392196,0.54371322,0.00383447,0.03567471,0.17729725,0.11311313,0.01164147,0.18549450
-5.83791896,0.55758716,0.00421137,0.03629559,0.18105838,0.11745185,0.01247116,0.18958300
-5.83191596,0.57148183,0.00472748,0.03671225,0.18419972,0.12240167,0.01340013,0.19384806
-5.82591296,0.58533002,0.00538868,0.03691486,0.18668827,0.12797474,0.01443699,0.19825532
-5.81990995,0.59914664,0.00620091,0.03689939,0.18851817,0.13419912,0.01559157,0.20279830
-5.81390695,0.61302126,0.00716978,0.03666756,0.18970983,0.14111550,0.01687437,0.20749588
-5.80790395,0.62710697,0.00830022,0.03622666,0.19030807,0.14877293,0.01829584,0.21238848
-5.80190095,0.64160580,0.00959599,0.03558911,0.19037914,0.15722390,0.01986567,0.21753305
-5.79589795,0.65675148,0.01105928,0.03477192,0.19000684,0.16651889,0.02159200,0.22299701
-5.78989495,0.67279024,0.01269018,0.03379589,0.18928791,0.17670056,0.02348056,0.22885168
-5.78389195,0.68996058,0.01448633,0.03268483,0.18832702,0.18779799,0.02553391,0.23516517
-5.77788894,0.70847318,0.01644247,0.03146453,0.18723139,0.19982113,0.02775072,0.24199548
-5.77188594,0.72849182,0.01855024,0.03016187,0.18610562,0.21275585,0.03012509,0.24938392
-5.76588294,0.75011666,0.02079791,0.02880383,0.18504676,0.22655998,0.03264607,0.25734936
-5.75987994,0.77337058,0.02317045,0.02741660,0.18413999,0.24116036,0.03529741,0.26588361
-5.75387694,0.79818979,0.02564957,0.02602477,0.18345514,0.25645149,0.03805737,0.27494833
-5.74787394,0.82441900,0.02821402,0.02465069,0.18304418,0.27229560,0.04089895,0.28447355
-5.74187094,0.85181183,0.03084008,0.02331387,0.18293987,0.28852447,0.04379025,0.29435804
-5.73586793,0.88003645,0.03350210,0.02203070,0.18315554,0.30494298,0.04669508,0.30447163
-5.72986493,0.90868638,0.03617329,0.02081423,0.18368603,0.32133413,0.04957390,0.31465929
-5.72386193,0.93729577,0.03882656,0.01967413,0.18450976,0.33746552,0.05238483,0.32474685
-5.71785893,0.96535870,0.04143547,0.01861688,0.18559163,0.35309701,0.05508494,0.33454812
-5.71185593,0.99235120,0.04397516,0.01764601,0.18688672,0.36798900,0.05763157,0.34387309
-5.70585293,1.01775502,0.04642335,0.01676246,0.18834439,0.38191121,0.05998375,0.35253664
-5.69984992,1.04108176,0.04876113,0.01596510,0.18991263,0.39465127,0.06210355,0.36036744
-5.69384692,1.06189598,0.05097374,0.01525119,0.19154228,0.40602283,0.06395737,0.36721645
-5.68784392,1.07983606,0.05305113,0.01461694,0.19319091,0.41587262,0.06551712,0.37296466
-5.68184092,1.09463163,0.05498825,0.01405799,0.19482603,0.42408618,0.06676111,0.37752946
-5.67583792,1.10611656,0.05678519,0.01356991,0.19642755,0.43059193,0.06767473,0.38086946
-5.66983492,1.11423677,0.05844690,0.01314860,0.19798920,0.43536330,0.06825086,0.38298737
-5.66383192,1.11905256,0.05998283,0.01279056,0.19951888,0.43841883,0.06848992,0.38393077
-5.65782891,1.12073524,0.06140613,0.01249320,0.20103793,0.43982035,0.06839971,0.38379083
-5.65182591,1.11955852,0.06273270,0.01225493,0.20257942,0.43966920,0.06799483,0.38269889
-5.64582291,1.11588491,0.06398013,0.01207521,0.20418540,0.43810085,0.06729601,0.38082128
-5.63981991,1.11014836,0.06516638,0.01195447,0.20590357,0.43527817,0.06632911,0.37835246
-5.63381691,1.10283386,0.06630851,0.01189403,0.20778332,0.43138379,0.06512406,0.37550710
-5.62781391,1.09445543,0.06742144,0.01189588,0.20987162,0.42661199,0.06371365,0.37251133
-5.62181091,1.08553362,0.06851674,0.01196246,0.21220891,0.42116048,0.06213238,0.36959376
-5.61580790,1.07657378,0.06960168,0.01209637,0.21482534,0.41522262,0.06041529,0.36697669
-5.60980490,1.06804635,0.07067849,0.01230011,0.21773754,0.40898043,0.05859694,0.36486796
-5.60380190,1.06036993,0.07174387,0.01257580,0.22094623,0.40259866,0.05671050,0.36345383
-5.59779890,1.05389798,0.07278891,0.01292492,0.22443475,0.39622020,0.05478702,0.36289325
-5.59179590,1.04890966,0.07379929,0.01334810,0.22816869,0.38996299,0.05285492,0.36331355
-5.58579290,1.04560484,0.07475580,0.01384494,0.23209658,0.38391837,0.05093964,0.36480794
