energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,1.26573202,0.00296466,0.13970233,0.16483957,0.23960177,0.74359199,0.01296751,0.33412282
-5.99399700,1.35130822,0.00323489,0.14970351,0.17378442,0.26002343,0.79170192,0.01377162,0.35739244
-5.98799400,1.43670692,0.00352061,0.15970752,0.18234825,0.28134184,0.83916516,0.01455420,0.38093128
-5.98199100,1.52115296,0.00382179,0.16960959,0.19048095,0.30348661,0.88546114,0.01530317,0.40458952
-5.97598799,1.60395343,0.00413847,0.17930974,0.19815151,0.32640293,0.93011434,0.01600722,0.42824405
-5.96998499,1.68451488,0.00447074,0.18871497,0.20534924,0.35005339,0.97270539,0.01665620,0.45180202
-5.96398199,1.76235753,0.00481869,0.19774111,0.21208435,0.37441904,1.01288047,0.01724126,0.47520335
-5.95797899,1.83712551,0.00518244,0.20631448,0.21838742,0.39949955,1.05035880,0.01775519,0.49842188
-5.95197599,1.90859257,0.00556211,0.21437322,0.22430813,0.42531230,1.08493764,0.01819253,0.52146509
-5.94597299,1.97666298,0.00595773,0.22186816,0.22991302,0.45189031,1.11649484,0.01854977,0.54437230
-5.93996998,2.04136732,0.00636930,0.22876327,0.23528257,0.47927894,1.14498863,0.01882538,0.56721132
-5.93396698,2.10285347,0.00679670,0.23503564,0.24050757,0.50753154,1.17045489,0.01901988,0.59007374
-5.92796398,2.16137311,0.00723968,0.24067497,0.24568522,0.53670403,1.19300200,0.01913578,0.61306885
-5.92196098,2.21726442,0.00769787,0.24568269,0.25091482,0.56684868,1.21280365,0.01917746,0.63631674
-5.91595798,2.27093195,0.00817072,0.25007067,0.25629360,0.59800741,1.23008997,0.01915105,0.65994057
-5.90995498,2.32282463,0.00865752,0.25385962,0.26191267,0.63020483,1.24513767,0.01906419,0.68405868
-5.90395198,2.37341320,0.00915742,0.25707734,0.26785347,0.66344151,1.25825946,0.01892577,0.70877679
-5.89794897,2.42316812,0.00966941,0.25975682,0.27418473,0.69768772,1.26979360,0.01874564,0.73418075
-5.89194597,2.47253922,0.01019235,0.26193441,0.28096016,0.73287825,1.28009387,0.01853435,0.76033026
-5.88594297,2.52193812,0.01072502,0.26364799,0.28821699,0.76890837,1.28952054,0.01830275,0.78725383
-5.87993997,2.57172416,0.01126610,0.26493549,0.29597524,0.80563149,1.29843270,0.01806175,0.81494545
-5.87393697,2.62219457,0.01181426,0.26583350,0.30423795,0.84285862,1.30718207,0.01782202,0.84336290
-5.86793397,2.67357916,0.01236818,0.26637634,0.31299197,0.88035974,1.31610851,0.01759368,0.87242809
-5.86193097,2.72603952,0.01292654,0.26659539,0.32220952,0.91786718,1.32553719,0.01738612,0.90202920
-5.85592796,2.77967250,0.01348813,0.26651882,0.33185018,0.95508094,1.33577718,0.01720780,0.93202464
-5.84992496,2.83451754,0.01405180,0.26617161,0.34186320,0.99167570,1.34712129,0.01706610,0.96224854
-5.84392196,2.89056690,0.01461654,0.26557591,0.35218998,1.02730928,1.35984671,0.01696727,0.99251754
-5.83791896,2.94777800,0.01518146,0.26475161,0.36276655,1.06163224,1.37421615,0.01691634,1.02263843
-5.83191596,3.00608676,0.01574581,0.26371705,0.37352588,1.09429809,1.39047895,0.01691717,1.05241624
-5.82591296,3.06542089,0.01630899,0.26248988,0.38439986,1.12497375,1.40887173,0.01697250,1.08166236
-5.81990995,3.12571202,0.01687056,0.26108789,0.39532101,1.15334979,1.42961835,0.01708401,1.11020220
-5.81390695,3.18690577,0.01743022,0.25952981,0.40622363,1.17914988,1.45292865,0.01725243,1.13788206
-5.80790395,3.24896900,0.01798783,0.25783594,0.41704459,1.20213915,1.47899596,0.01747772,1.16457468
-5.80190095,3.31189357,0.01854341,0.25602866,0.42772367,1.22213109,1.50799321,0.01775913,1.19018341
-5.79589795,3.37569639,0.01909713,0.25413267,0.43820345,1.23899266,1.54006764,0.01809541,1.21464458
-5.78989495,3.44041554,0.01964936,0.25217503,0.44842894,1.25264739,1.57533431,0.01848489,1.23792811
-5.78389195,3.50610284,0.02020061,0.25018493,0.45834699,1.26307654,1.61386866,0.01892564,1.26003628
-5.77788894,3.57281303,0.02075158,0.24819322,0.46790549,1.27031806,1.65569844,0.01941550,1.28100078
-5.77188594,3.64059038,0.02130315,0.24623171,0.47705264,1.27446373,1.70079552,0.01995220,1.30087812
-5.76588294,3.70945333,0.02185636,0.24433228,0.48573613,1.27565434,1.74906794,0.02053337,1.31974379
-5.75987994,3.77937817,0.02241239,0.24252587,0.49390259,1.27407347,1.80035276,0.02115651,1.33768533
-5.75387694,3.85028252,0.02297252,0.24084127,0.50149713,1.26993985,1.85441015,0.02181901,1.35479467
-5.74787394,3.92200974,0.02353805,0.23930395,0.50846315,1.26349882,1.91091919,0.02251802,1.37116011
-5.74187094,3.99431492,0.02411023,0.23793482,0.51474240,1.25501321,1.96947570,0.02325037,1.38685838
-5.73586793,4.06685344,0.02469013,0.23674901,0.52027527,1.24475389,2.02959243,0.02401247,1.40194689
-5.72986493,4.13917271,0.02527852,0.23575478,0.52500132,1.23299044,2.09070175,0.02480018,1.41645681
-5.72386193,4.21070765,0.02587572,0.23495255,0.52886009,1.21998223,2.15216101,0.02560862,1.43038703
-5.71785893,4.28078029,0.02648143,0.23433408,0.53179202,1.20597017,2.21326047,0.02643209,1.44369938
-5.71185593,4.34860391,0.02709454,0.23388195,0.53373952,1.19116946,2.27323380,0.02726397,1.45631535
-5.70585293,4.41329156,0.02771304,0.23356919,0.53464824,1.17576357,2.33127080,0.02809656,1.46811444
-5.69984992,4.47386922,0.02833380,0.23335932,0.53446829,1.15989956,2.38653226,0.02892113,1.47893430
-5.69384692,4.52929326,0.02895255,0.23320667,0.53315558,1.14368499,2.43816644,0.02972788,1.48857275
-5.68784392,4.57847191,0.02956379,0.23305703,0.53067318,1.12718650,2.48532684,0.03050599,1.49679172
-5.68184092,4.62029042,0.03016082,0.23284872,0.52699258,1.11043003,2.52719093,0.03124383,1.50332308
-5.67583792,4.65363915,0.03073579,0.23251393,0.52209500,1.09340281,2.56297911,0.03192907,1.50787621
-5.66983492,4.67744415,0.03127989,0.23198048,0.51597260,1.07605694,2.59197376,0.03254902,1.51014722
-5.66383192,4.69069915,0.03178356,0.23117381,0.50862957,1.05831448,2.61353762,0.03309089,1.50982957
-5.65782891,4.69249831,0.03223676,0.23001926,0.50008316,1.04007393,2.62713108,0.03354223,1.50662569
-5.65182591,4.68206844,0.03262939,0.22844448,0.49036452,1.02121772,2.63232801,0.03389128,1.50025931
-5.64582291,4.65879982,0.03295161,0.22638201,0.47951938,1.00162056,2.62882950,0.03412744,1.49048796
-5.63981991,4.62227435,0.03319433,0.22377174,0.46760841,0.98115820,2.61647515,0.03424167,1.47711525
-5.63381691,4.57228981,0.03334962,0.22056332,0.45470747,0.95971631,2.59525155,0.03422694,1.46000224
-5.62781391,4.50887923,0.03341112,0.21671836,0.44090734,0.93719896,2.56529740,0.03407851,1.43907747
-5.62181091,4.43232427,0.03337442,0.21221226,0.42631327,0.91353651,2.52690524,0.03379432,1.41434513
-5.61580790,4.34316171,0.03323736,0.20703560,0.41104394,0.88869225,2.48051933,0.03337514,1.38589073
-5.60980490,4.24218231,0.03300025,0.20119513,0.39523017,0.86266777,2.42672965,0.03282472,1.35388418
-5.60380190,4.13042173,0.03266598,0.19471406,0.37901305,0.83550651,2.36626201,0.03214979,1.31857966
-5.59779890,4.00914323,0.03224006,0.18763184,0.36254172,0.80729546,2.29996426,0.03135997,1.28031240
-5.59179590,3.87981250,0.03173044,0.18000334,0.34597072,0.77816485,2.22878891,0.03046755,1.23949215
-5.58579290,3.74406498,0.03114735,0.17189746,0.32945698,0.74828583,2.15377244,0.02948714,1.19659366
-5.57978989,3.60366673,0.03050293,0.16339515,0.31315657,0.71786620,2.07601176,0.02843532,1.15214437
-5.57378689,3.46046993,0.02981080,0.15458714,0.29722119,0.68714447,1.99663851,0.02733010,1.10670981
-5.56778389,3.31636463,0.02908559,0.14557121,0.28179472,0.65638242,1.91679176,0.02619039,1.06087723
-5.56178089,3.17322824,0.02834237,0.13644931,0.26700967,0.62585666,1.83759006,0.02503544,1.01523823
-5.55577789,3.03287495,0.02759612,0.12732462,0.25298397,0.59584944,1.76010358,0.02388422,0.97037104
-5.54977489,2.89700665,0.02686112,0.11829856,0.23981800,0.56663935,1.68532734,0.02275490,0.92682318
-5.54377189,2.76716752,0.02615049,0.10946810,0.22759210,0.53849217,1.61415643,0.02166430,0.88509544
-5.53776888,2.64470397,0.02547568,0.10092321,0.21636465,0.51165251,1.54736409,0.02062747,0.84562764
-5.53176588,2.53073159,0.02484612,0.09274485,0.20617085,0.48633642,1.48558344,0.01965727,0.80878691
-5.52576288,2.42611036,0.02426892,0.08500322,0.19702218,0.46272555,1.42929364,0.01876418,0.77485897
-5.51975988,2.33142920,0.02374872,0.07775666,0.18890675,0.44096295,1.37881108,0.01795604,0.74404278
-5.51375688,2.24700047,0.02328758,0.07105098,0.18179031,0.42115068,1.33428584,0.01723808,0.71644864
-5.50775388,2.17286456,0.02288511,0.06491931,0.17561819,0.40334952,1.29570389,0.01661294,0.69209997
-5.50175088,2.10880446,0.02253855,0.05938245,0.17031778,0.38758045,1.26289477,0.01608079,0.67093839
-5.49574787,2.05436955,0.02224309,0.05444963,0.16580180,0.37382807,1.23554483,0.01563964,0.65283208
-5.48974487,2.00890775,0.02199216,0.05011960,0.16197197,0.36204556,1.21321527,0.01528562,0.63758683
-5.48374187,1.97160448,0.02177786,0.04638213,0.15872306,0.35216110,1.19536462,0.01501333,0.62495927
-5.47773887,1.94152697,0.02159140,0.04321953,0.15594718,0.34408518,1.18137472,0.01481630,0.61467174
-5.47173587,1.91767200,0.02142351,0.04060842,0.15353808,0.33771873,1.17057918,0.01468733,0.60642810
-5.46573287,1.89901507,0.02126493,0.03852145,0.15139536,0.33296143,1.16229336,0.01461901,0.59992974
-5.45972986,1.88455907,0.02110682,0.03692903,0.14942832,0.32971993,1.15584458,0.01460402,0.59489118
-5.45372686,1.87338046,0.02094112,0.03580085,0.14755945,0.32791565,1.15060146,0.01463550,0.59105460
-5.44772386,1.86467112,0.02076088,0.03510731,0.14572730,0.32749165,1.14600131,0.01470738,0.58820270
-5.44172086,1.85777435,0.02056050,0.03482066,0.14388867,0.32841843,1.14157437,0.01481455,0.58616938
-5.43571786,1.85221368,0.02033590,0.03491593,0.14202006,0.33069834,1.13696415,0.01495306,0.58484799
-5.42971486,1.84771342,0.02008458,0.03537152,0.14011831,0.33436839,1.13194303,0.01512017,0.58419663
-5.42371186,1.84421044,0.01980565,0.03616959,0.13820042,0.33950134,1.12642267,0.01531434,0.58424065
-5.41770885,1.84185687,0.01949973,0.03729617,0.13630255,0.34620502,1.12045881,0.01553519,0.58507202
-5.41170585,1.84101375,0.01916883,0.03874093,0.13447825,0.35461985,1.11425056,0.01578334,0.58684592
-5.40570285,1.84223625,0.01881616,0.04049686,0.13279606,0.36491463,1.10813402,0.01606024,0.58977453
-5.39969985,1.84625095,0.01844590,0.04255965,0.13133641,0.37728064,1.10257097,0.01636792,0.59411838
-5.39369685,1.85392636,0.01806292,0.04492697,0.13018811,0.39192434,1.09813266,0.01670874,0.60017560
-5.38769385,1.86623772,0.01767257,0.04759760,0.12944446,0.40905863,1.09547978,0.01708510,0.60826942
-5.38169085,1.88422738,0.01728039,0.05057048,0.12919908,0.42889318,1.09533903,0.01749919,0.61873436
-5.37568784,1.90896210,0.01689188,0.05384374,0.12954172,0.45162383,1.09847725,0.01795269,0.63190160
-5.36968484,1.94148863,0.01651231,0.05741365,0.13055406,0.47742149,1.10567383,0.01844654,0.64808385
-5.36368184,1.98278888,0.01614655,0.06127369,0.13230572,0.50642091,1.11769231,0.01898073,0.66756036
-5.35767884,2.03373601,0.01579893,0.06541359,0.13485055,0.53870948,1.13525187,0.01955408,0.69056225
-5.35167584,2.09505256,0.01547319,0.06981850,0.13822340,0.57431664,1.15899955,0.02016414,0.71725889
-5.34567284,2.16727185,0.01517239,0.07446823,0.14243743,0.61320422,1.18948376,0.02080712,0.74774539
-5.33966983,2.25070373,0.01489894,0.07933673,0.14748202,0.65525806,1.22712999,0.02147779,0.78203195
-5.33366683,2.34540557,0.01465463,0.08439163,0.15332151,0.70028144,1.27221908,0.02216954,0.82003515
-5.32766383,2.45115966,0.01444065,0.08959405,0.15989461,0.74799071,1.32486894,0.02287441,0.86157166
-5.32166083,2.56745770,0.01425767,0.09489864,0.16711482,0.79801347,1.38501996,0.02358324,0.90635479
-5.31565783,2.69349326,0.01410592,0.10025381,0.17487161,0.84988966,1.45242508,0.02428576,0.95399393
-5.30965483,2.82816308,0.01398523,0.10560225,0.18303250,0.90307589,1.52664455,0.02497085,1.00399738
-5.30365183,2.97007739,0.01389515,0.11088178,0.19144599,0.95695312,1.60704626,0.02562674,1.05577856
-5.29764882,3.11758000,0.01383495,0.11602637,0.19994531,1.01083772,1.69281166,0.02624127,1.10866571
-5.29164582,3.26877797,0.01380372,0.12096748,0.20835274,1.06399593,1.78294766,0.02680222,1.16191511
-5.28564282,3.42158069,0.01380041,0.12563564,0.21648463,1.11566133,1.87630455,0.02729761,1.21472753
