energy_ev,total_up,Al_p_up,Al_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,2.71012872,0.05240696,0.00000000,1.73205674,1.15185624,0.00426491,1.82795371
-5.99399700,2.79952460,0.05322098,0.00000000,1.78339262,1.19918348,0.00424450,1.89069106
-5.98799400,2.87960831,0.05382708,0.00000000,1.82908534,1.24302192,0.00422232,1.94670697
-5.98199100,2.94879443,0.05420092,0.00000000,1.86834647,1.28243244,0.00419789,1.99497560
-5.97598799,3.00573180,0.05432360,0.00000000,1.90052881,1.31656375,0.00417104,2.03463615
-5.96998499,3.04934354,0.05418220,0.00000000,1.92514394,1.34468063,0.00414193,2.06501843
-5.96398199,3.07885902,0.05377020,0.00000000,1.94187444,1.36618954,0.00411113,2.08566285
-5.95797899,3.09383647,0.05308758,0.00000000,1.95058055,1.38066011,0.00407952,2.09633391
-5.95197599,3.09417524,0.05214083,0.00000000,1.95130104,1.38784179,0.00404837,2.09702690
-5.94597299,3.08011721,0.05094264,0.00000000,1.94424826,1.38767473,0.00401924,2.08796728
-5.93996998,3.05223744,0.04951147,0.00000000,1.92979781,1.38029431,0.00399396,2.06960284
-5.93396698,3.01142433,0.04787087,0.00000000,1.90847338,1.36602920,0.00397459,2.04258919
-5.92796398,2.95885022,0.04604874,0.00000000,1.88092749,1.34539275,0.00396329,2.00776889
-5.92196098,2.89593380,0.04407637,0.00000000,1.84791906,1.31906810,0.00396233,1.96614532
-5.91595798,2.82429563,0.04198747,0.00000000,1.81028890,1.28788752,0.00397394,1.91885226
-5.90995498,2.74570864,0.03981717,0.00000000,1.76893388,1.25280668,0.00400028,1.86712020
-5.90395198,2.66204545,0.03760095,0.00000000,1.72478107,1.21487490,0.00404332,1.81224082
-5.89794897,2.57522429,0.03537370,0.00000000,1.67876245,1.17520236,0.00410477,1.75553062
-5.89194597,2.48715534,0.03316873,0.00000000,1.63179124,1.13492553,0.00418605,1.69829495
-5.88594297,2.39968907,0.03101702,0.00000000,1.58474012,1.09517190,0.00428814,1.64179351
-5.87993997,2.31456816,0.02894647,0.00000000,1.53842214,1.05702541,0.00441162,1.58720813
-5.87393697,2.23338398,0.02698134,0.00000000,1.49357430,1.02149343,0.00455651,1.53561366
-5.86793397,2.15753880,0.02514182,0.00000000,1.45084410,0.98947661,0.00472233,1.48795259
-5.86193097,2.08821437,0.02344375,0.00000000,1.41077894,0.96174228,0.00490802,1.44501382
-5.85592796,2.02634735,0.02189847,0.00000000,1.37381838,0.93890232,0.00511193,1.40741588
-5.84992496,1.97261196,0.02051287,0.00000000,1.34028907,0.92139605,0.00533183,1.37559496
-5.84392196,1.92740991,0.01928944,0.00000000,1.31040206,0.90947864,0.00556491,1.34979764
-5.83791896,1.89086768,0.01822660,0.00000000,1.28425251,0.90321526,0.00580784,1.33007862
-5.83191596,1.86284101,0.01731898,0.00000000,1.26182158,0.90248121,0.00605678,1.31630320
-5.82591296,1.84292632,0.01655791,0.00000000,1.24298029,0.90696783,0.00630748,1.30815459
-5.81990995,1.83047886,0.01593186,0.00000000,1.22749553,0.91619424,0.00655535,1.30514580
-5.81390695,1.82463711,0.01542700,0.00000000,1.21503804,0.92952426,0.00679554,1.30663606
-5.80790395,1.82435286,0.01502779,0.00000000,1.20519238,0.94618831,0.00702309,1.31185121
-5.80190095,1.82842651,0.01471759,0.00000000,1.19746896,0.96530940,0.00723302,1.31990799
-5.79589795,1.83554655,0.01447919,0.00000000,1.19131806,0.98593258,0.00742049,1.32984148
-5.78989495,1.84433252,0.01429545,0.00000000,1.18614564,1.00705692,0.00758092,1.34063517
-5.78389195,1.85338030,0.01414986,0.00000000,1.18133090,1.02766888,0.00771013,1.35125292
-5.77788894,1.86130840,0.01402699,0.00000000,1.17624513,1.04677628,0.00780447,1.36067187
-5.77188594,1.86680411,0.01391301,0.00000000,1.17027156,1.06344139,0.00786097,1.36791544
-5.76588294,1.86866794,0.01379608,0.00000000,1.16282556,1.07681234,0.00787739,1.37208522
-5.75987994,1.86585494,0.01366670,0.00000000,1.15337462,1.08615158,0.00785238,1.37239083
-5.75387694,1.85751161,0.01351795,0.00000000,1.14145744,1.09086045,0.00778546,1.36817660
-5.74787394,1.84300683,0.01334569,0.00000000,1.12670127,1.09049903,0.00767712,1.35894415
-5.74187094,1.82195598,0.01314868,0.00000000,1.10883700,1.08480051,0.00752880,1.34436990
-5.73586793,1.79423706,0.01292858,0.00000000,1.08771112,1.07367974,0.00734286,1.32431700
-5.72986493,1.75999824,0.01268993,0.00000000,1.06329413,1.05723550,0.00712253,1.29884103
-5.72386193,1.71965668,0.01243998,0.00000000,1.03568491,1.03574666,0.00687184,1.26818931
-5.71785893,1.67388829,0.01218851,0.00000000,1.00511078,1.00966241,0.00659549,1.23279389
-5.71185593,1.62360911,0.01194754,0.00000000,0.97192330,0.97958695,0.00629875,1.19325846
