energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.46370746,0.77397302,2.59857747,0.02103251,0.09399872,0.60620166,0.00000000,0.36552377,0.19707660
-5.99399700,3.40502674,0.75888452,2.54717238,0.02052410,0.09288865,0.59846303,0.00000000,0.36544177,0.19242143
-5.98799400,3.33487214,0.74090993,2.48728147,0.01990524,0.09144591,0.58862816,0.00000000,0.36392872,0.18703810
-5.98199100,3.25510386,0.72046264,2.42043454,0.01918904,0.08969940,0.57697080,0.00000000,0.36108226,0.18105414
-5.97598799,3.16769496,0.69798464,2.34824370,0.01839012,0.08768037,0.56378498,0.00000000,0.35701981,0.17460351
-5.96998499,3.07467848,0.67393441,2.27236104,0.01752414,0.08542171,0.54937654,0.00000000,0.35187474,0.16782268
-5.96398199,2.97809462,0.64877468,2.19443629,0.01660730,0.08295730,0.53405461,0.00000000,0.34579212,0.16084667
-5.95797899,2.87993941,0.62296056,2.11607599,0.01565586,0.08032137,0.51812327,0.00000000,0.33892423,0.15380535
-5.95197599,2.78211620,0.59692835,2.03880505,0.01468569,0.07754796,0.50187366,0.00000000,0.33142592,0.14682006
-5.94597299,2.68639131,0.57108540,1.96403176,0.01371184,0.07467034,0.48557673,0.00000000,0.32344997,0.14000058
-5.93996998,2.59435476,0.54580110,1.89301700,0.01274816,0.07172063,0.46947693,0.00000000,0.31514273,0.13344271
-5.93396698,2.50738701,0.52139955,1.82684825,0.01180702,0.06872930,0.45378686,0.00000000,0.30664003,0.12722635
-5.92796398,2.42663228,0.49815369,1.76641893,0.01089905,0.06572486,0.43868316,0.00000000,0.29806365,0.12141421
-5.92196098,2.35297893,0.47628128,1.71241333,0.01003299,0.06273351,0.42430355,0.00000000,0.28951839,0.11605114
-5.91595798,2.28704722,0.45594263,1.66529736,0.00921563,0.05977881,0.41074526,0.00000000,0.28108982,0.11116405
-5.90995498,2.22918447,0.43724009,1.62531509,0.00845179,0.05688154,0.39806475,0.00000000,0.27284292,0.10676246
-5.90395198,2.17946763,0.42021922,1.59249107,0.00774440,0.05405942,0.38627871,0.00000000,0.26482144,0.10283953
-5.89794897,2.13771294,0.40487165,1.56663821,0.00709465,0.05132703,0.37536630,0.00000000,0.25704823,0.09937355
-5.89194597,2.10349246,0.39113926,1.54737087,0.00650212,0.04869571,0.36527248,0.00000000,0.24952628,0.09632986
-5.88594297,2.07615667,0.37891966,1.53412283,0.00596506,0.04617358,0.35591240,0.00000000,0.24224058,0.09366305
-5.87993997,2.05486271,0.36807274,1.52616948,0.00548056,0.04376561,0.34717654,0.00000000,0.23516061,0.09131932
