energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.98986912,0.73669913,0.42974565,0.00083175,0.06614859,0.49272883,0.13935806,0.01471634,1.24384100
-5.99399700,2.02214360,0.75158149,0.43975399,0.00092844,0.06477407,0.49888842,0.14114051,0.01511443,1.26782533
-5.98799400,2.05409211,0.76595671,0.44970844,0.00103292,0.06331453,0.50510391,0.14289175,0.01553263,1.29179315
-5.98199100,2.08603019,0.77990128,0.45961973,0.00114486,0.06180585,0.51145988,0.14464243,0.01597581,1.31591892
-5.97598799,2.11820981,0.79348012,0.46948172,0.00126383,0.06028244,0.51801958,0.14641902,0.01644832,1.34033593
-5.96998499,2.15079896,0.80673938,0.47926850,0.00138920,0.05877610,0.52482008,0.14824224,0.01695371,1.36512367
-5.96398199,2.18386512,0.81970039,0.48893249,0.00152021,0.05731514,0.53186851,0.15012575,0.01749450,1.39029771
-5.95797899,2.21736373,0.83235507,0.49840372,0.00165596,0.05592356,0.53913975,0.15207511,0.01807200,1.41580258
-5.95197599,2.25113200,0.84466314,0.50759037,0.00179537,0.05462042,0.54657557,0.15408723,0.01868616,1.44150817
-5.94597299,2.28488864,0.85655116,0.51638046,0.00193725,0.05341945,0.55408528,0.15615007,0.01933543,1.46720964
-5.93996998,2.31823946,0.86791359,0.52464492,0.00208029,0.05232879,0.56154789,0.15824284,0.02001677,1.49263121
-5.93396698,2.35068868,0.87861569,0.53224159,0.00222309,0.05135104,0.56881571,0.16033663,0.02072562,1.51743337
-5.92796398,2.38165539,0.88849812,0.53902027,0.00236418,0.05048348,0.57571915,0.16239528,0.02145604,1.54122338
-5.92196098,2.41049434,0.89738305,0.54482839,0.00250204,0.04971845,0.58207264,0.16437672,0.02220082,1.56356849
-5.91595798,2.43652011,0.90508121,0.54951716,0.00263513,0.04904402,0.58768120,0.16623447,0.02295169,1.58401119
-5.90995498,2.45903347,0.91139976,0.55294787,0.00276196,0.04844469,0.59234762,0.16791934,0.02369960,1.60208589
-5.90395198,2.47734856,0.91615022,0.55499799,0.00288105,0.04790228,0.59587963,0.16938124,0.02443494,1.61733596
-5.89794897,2.49081971,0.91915623,0.55556690,0.00299104,0.04739689,0.59809700,0.17057097,0.02514794,1.62933068
-5.89194597,2.49886671,0.92026073,0.55458085,0.00309064,0.04690786,0.59883809,0.17144197,0.02582894,1.63768097
-5.88594297,2.50099719,0.91933204,0.55199705,0.00317871,0.04641478,0.59796568,0.17195189,0.02646873,1.64205345
-5.87993997,2.49682548,0.91626878,0.54780658,0.00325428,0.04589839,0.59537174,0.17206399,0.02705886,1.64218226
-5.87393697,2.48608709,0.91100334,0.54203617,0.00331654,0.04534141,0.59098112,0.17174823,0.02759192,1.63787801
-5.86793397,2.46864845,0.90350382,0.53474861,0.00336487,0.04472930,0.58475396,0.17098217,0.02806181,1.62903394
-5.86193097,2.44451172,0.89377466,0.52604198,0.00339884,0.04405082,0.57668678,0.16975144,0.02846388,1.61562893
-5.85592796,2.41381485,0.88185578,0.51604760,0.00341825,0.04329843,0.56681231,0.16805007,0.02879514,1.59772767
-5.84992496,2.37682721,0.86782077,0.50492693,0.00342306,0.04246860,0.55519823,0.16588042,0.02905428,1.57547805
-5.84392196,2.33394125,0.85177421,0.49286758,0.00341347,0.04156187,0.54194481,0.16325300,0.02924175,1.54910630
-5.83791896,2.28566100,0.83384839,0.48007853,0.00338985,0.04058276,0.52718178,0.16018597,0.02935967,1.51891018
-5.83191596,2.23258813,0.81419986,0.46678484,0.00335275,0.03953961,0.51106455,0.15670458,0.02941175,1.48525077
-5.82591296,2.17540631,0.79300600,0.45322209,0.00330290,0.03844420,0.49377006,0.15284049,0.02940316,1.44854335
-5.81990995,2.11486478,0.77046185,0.43963069,0.00324117,0.03731132,0.47549247,0.14863097,0.02934028,1.40924784
-5.81390695,2.05176168,0.74677736,0.42625031,0.00316860,0.03615829,0.45643879,0.14411820,0.02923050,1.36785922
-5.80790395,1.98692790,0.72217520,0.41331457,0.00308631,0.03500437,0.43682484,0.13934840,0.02908194,1.32489824
-5.80190095,1.92121184,0.69688912,0.40104623,0.00299557,0.03387019,0.41687135,0.13437118,0.02890314,1.28090276
-5.79589795,1.85546541,0.67116282,0.38965288,0.00289773,0.03277720,0.39680065,0.12923874,0.02870275,1.23641976
-5.78989495,1.79053154,0.64524917,0.37932336,0.00279424,0.03174709,0.37683366,0.12400527,0.02848927,1.19199816
-5.78389195,1.72723321,0.61940968,0.37022483,0.00268661,0.03080127,0.35718740,0.11872624,0.02827070,1.14818249
-5.77788894,1.66636395,0.59391395,0.36250064,0.00257641,0.02996047,0.33807290,0.11345784,0.02805429,1.10550716
-5.77188594,1.60867966,0.56903890,0.35626900,0.00246527,0.02924426,0.31969339,0.10825634,0.02784632,1.06449140
-5.76588294,1.55489164,0.54506760,0.35162226,0.00235486,0.02867076,0.30224282,0.10317749,0.02765188,1.02563454
-5.75987994,1.50566039,0.52228740,0.34862700,0.00224686,0.02825634,0.28590441,0.09827589,0.02747472,0.98941153
-5.75387694,1.46159010,0.50098733,0.34732464,0.00214297,0.02801538,0.27084930,0.09360433,0.02731720,0.95626857
-5.74787394,1.42322342,0.48145462,0.34773256,0.00204488,0.02796008,0.25723511,0.08921313,0.02718022,0.92661860
-5.74187094,1.39103636,0.46397020,0.34984558,0.00195426,0.02810029,0.24520437,0.08514942,0.02706327,0.90083655
-5.73586793,1.36543306,0.44880345,0.35363776,0.00187274,0.02844336,0.23488269,0.08145636,0.02696452,0.87925437
-5.72986493,1.34674031,0.43620599,0.35906417,0.00180185,0.02899405,0.22637676,0.07817247,0.02688097,0.86215572
-5.72386193,1.33520182,0.42640496,0.36606272,0.00174304,0.02975431,0.21977217,0.07533080,0.02680863,0.84977034
-5.71785893,1.33097205,0.41959582,0.37455580,0.00169761,0.03072324,0.21513101,0.07295822,0.02674276,0.84226828
-5.71185593,1.33410998,0.41593503,0.38445160,0.00166672,0.03189686,0.21248942,0.07107477,0.02667809,0.83975407
-5.70585293,1.34457276,0.41553290,0.39564508,0.00165131,0.03326800,0.21185524,0.06969301,0.02660913,0.84226100
-5.69984992,1.36220965,0.41844704,0.40801853,0.00165207,0.03482614,0.21320581,0.06881750,0.02653036,0.84974585
-5.69384692,1.38675668,0.42467652,0.42144168,0.00166944,0.03655727,0.21648613,0.06844443,0.02643653,0.86208437
-5.68784392,1.41783229,0.43415742,0.43577143,0.00170356,0.03844377,0.22160756,0.06856136,0.02632280,0.87906769
-5.68184092,1.45493469,0.44675978,0.45085132,0.00175421,0.04046439,0.22844724,0.06914719,0.02618494,0.90040029
-5.67583792,1.49744137,0.46228640,0.46651084,0.00182084,0.04259422,0.23684836,0.07017222,0.02601941,0.92569957
-5.66983492,1.54461132,0.48047370,0.48256478,0.00190254,0.04480483,0.24662135,0.07159857,0.02582345,0.95449768
-5.66383192,1.59559048,0.50099469,0.49881284,0.00199800,0.04706446,0.25754624,0.07338067,0.02559507,0.98624562
-5.65782891,1.64942092,0.52346424,0.51503971,0.00210557,0.04933838,0.26937610,0.07546608,0.02533300,1.02032008
-5.65182591,1.70505393,0.54744651,0.53101583,0.00222324,0.05158937,0.28184159,0.07779646,0.02503662,1.05603295
-5.64582291,1.76136733,0.57246447,0.54649909,0.00234869,0.05377834,0.29465661,0.08030875,0.02470585,1.09264364
-5.63981991,1.81718672,0.59801129,0.56123748,0.00247932,0.05586510,0.30752484,0.08293657,0.02434104,1.12937412
-5.63381691,1.87131058,0.62356325,0.57497290,0.00261231,0.05780926,0.32014711,0.08561170,0.02394278,1.16542627
-5.62781391,1.92253844,0.64859372,0.58744610,0.00274471,0.05957118,0.33222916,0.08826568,0.02351185,1.20000123
-5.62181091,1.96970161,0.67258785,0.59840263,0.00287347,0.06111305,0.34348983,0.09083149,0.02304904,1.23232015
-5.61580790,2.01169515,0.69505732,0.60759967,0.00299555,0.06239996,0.35366903,0.09324521,0.02255512,1.26164572
-5.60980490,2.04751012,0.71555456,0.61481342,0.00310802,0.06340095,0.36253545,0.09544759,0.02203077,1.28730348
-5.60380190,2.07626469,0.73368613,0.61984689,0.00320813,0.06409004,0.36989349,0.09738560,0.02147660,1.30870233
-5.59779890,2.09723270,0.74912430,0.62253743,0.00329340,0.06444706,0.37558921,0.09901367,0.02089311,1.32535317
-5.59179590,2.10986846,0.76161679,0.62276392,0.00336169,0.06445838,0.37951505,0.10029485,0.02028083,1.33688486
-5.58579290,2.11382634,0.77099396,0.62045286,0.00341128,0.06411748,0.38161298,0.10120163,0.01964034,1.34305677
-5.57978989,2.10897421,0.77717318,0.61558329,0.00344095,0.06342517,0.38187603,0.10171647,0.01897239,1.34376718
-5.57378689,2.09539988,0.78016032,0.60818993,0.00344995,0.06238968,0.38034804,0.10183208,0.01827801,1.33905712
-5.56778389,2.07340995,0.78004817,0.59836442,0.00343810,0.06102643,0.37712171,0.10155125,0.01755859,1.32910932
