energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-2.71035518,9.71227508,0.00708429,0.61490998,0.67697235,0.00000000,2.24393889,4.55262582,0.10148900,4.73879901
-2.70435218,9.75577816,0.00658321,0.61996468,0.68403467,0.00000000,2.28192767,4.55512397,0.09955098,4.78047026
-2.69834917,9.77332975,0.00609231,0.62337843,0.68975074,0.00000000,2.31407686,4.54347019,0.09765603,4.81073212
-2.69234617,9.76676059,0.00561682,0.62528932,0.69416882,0.00000000,2.34063126,4.51875197,0.09583917,4.83019953
-2.68634317,9.73822743,0.00516158,0.62584821,0.69735874,0.00000000,2.36191289,4.48227395,0.09413122,4.83960253
-2.68034017,9.69012909,0.00473104,0.62521062,0.69940782,0.00000000,2.37830211,4.43551661,0.09255774,4.83975021
-2.67433717,9.62501833,0.00432923,0.62352884,0.70041606,0.00000000,2.39021761,4.38009089,0.09113808,4.83149411
-2.66833417,9.54551355,0.00395969,0.62094463,0.70049108,0.00000000,2.39809643,4.31769068,0.08988467,4.81569281
-2.66233117,9.45421424,0.00362557,0.61758286,0.69974281,0.00000000,2.40237475,4.25004490,0.08880260,4.79317955
-2.65632816,9.35362373,0.00332954,0.61354650,0.69827828,0.00000000,2.40347064,4.17887089,0.08788949,4.76473454
-2.65032516,9.24608219,0.00307388,0.60891305,0.69619683,0.00000000,2.40176942,4.10583072,0.08713559,4.73106300
-2.64432216,9.13371207,0.00286042,0.60373282,0.69358571,0.00000000,2.39761228,4.03249164,0.08652424,4.69278000
-2.63831916,9.01837769,0.00269064,0.59802880,0.69051653,0.00000000,2.39128855,3.96029186,0.08603263,4.65040237
-2.63231616,8.90165937,0.00256565,0.59179842,0.68704248,0.00000000,2.38303183,3.89051223,0.08563271,4.60434765
-2.62631316,8.78484210,0.00248618,0.58501673,0.68319661,0.00000000,2.37301989,3.82425437,0.08529240,4.55493979
-2.62031016,8.66891763,0.00245267,0.57764103,0.67899100,0.00000000,2.36137797,3.76242532,0.08497689,4.50242044
-2.61430715,8.55459845,0.00246519,0.56961654,0.67441717,0.00000000,2.34818514,3.70572853,0.08464999,4.44696494
-2.60830415,8.44234129,0.00252351,0.56088264,0.66944732,0.00000000,2.33348279,3.65466075,0.08427560,4.38870132
-2.60230115,8.33237783,0.00262704,0.55137951,0.66403659,0.00000000,2.31728471,3.60951431,0.08381897,4.32773083
-2.59629815,8.22474958,0.00277486,0.54105461,0.65812616,0.00000000,2.29958766,3.57038395,0.08324801,4.26414835
-2.59029515,8.11934442,0.00296564,0.52986858,0.65164693,0.00000000,2.28038179,3.53717745,0.08253432,4.19806116
-2.58429215,8.01593225,0.00319766,0.51780042,0.64452379,0.00000000,2.25965991,3.50962933,0.08165406,4.12960454
-2.57828914,7.91419753,0.00346876,0.50485139,0.63668008,0.00000000,2.23742498,3.48731661,0.08058858,4.05895334
-2.57228614,7.81376707,0.00377626,0.49104767,0.62804226,0.00000000,2.21369548,3.46967631,0.07932483,3.98632851
-2.56628314,7.71423209,0.00411701,0.47644143,0.61854431,0.00000000,2.18850798,3.45602381,0.07785546,3.91199841
-2.56028014,7.61516399,0.00448727,0.46111058,0.60813197,0.00000000,2.16191719,3.44557189,0.07617880,3.83627485
-2.55427714,7.51612407,0.00488276,0.44515686,0.59676640,0.00000000,2.13399341,3.43745011,0.07429849,3.75950424
-2.54827414,7.41666799,0.00529863,0.42870283,0.58442723,0.00000000,2.10481770,3.43072438,0.07222307,3.68205486
-2.54227114,7.31634608,0.00572947,0.41188772,0.57111484,0.00000000,2.07447549,3.42441673,0.06996538,3.60430104
-2.53626813,7.21470117,0.00616933,0.39486242,0.55685184,0.00000000,2.04304913,3.41752535,0.06754184,3.52660580
-2.53026513,7.11126547,0.00661183,0.37778409,0.54168368,0.00000000,2.01061015,3.40904490,0.06497174,3.44930327
-2.52426213,7.00555851,0.00705017,0.36081049,0.52567835,0.00000000,1.97721213,3.39798720,0.06227650,3.37268226
-2.51825913,6.89708741,0.00747731,0.34409453,0.50892530,0.00000000,1.94288477,3.38340228,0.05947894,3.29697229
-2.51225613,6.78535102,0.00788605,0.32777916,0.49153364,0.00000000,1.90762989,3.36439966,0.05660262,3.22233329
-2.50625313,6.66984859,0.00826919,0.31199299,0.47362966,0.00000000,1.87141988,3.34016965,0.05367128,3.14884958
-2.50025013,6.55009340,0.00861970,0.29684668,0.45535389,0.00000000,1.83419875,3.31000429,0.05070832,3.07652888
-2.49424712,6.42563119,0.00893091,0.28243036,0.43685779,0.00000000,1.79588608,3.27331739,0.04773642,3.00530616
-2.48824412,6.29606261,0.00919666,0.26881202,0.41830026,0.00000000,1.75638353,3.22966317,0.04477719,2.93505234
-2.48224112,6.16106857,0.00941150,0.25603694,0.39984410,0.00000000,1.71558366,3.17875255,0.04185100,2.86558708
-2.47623812,6.02043677,0.00957084,0.24412804,0.38165252,0.00000000,1.67338056,3.12046665,0.03897679,2.79669478
-2.47023512,5.87408790,0.00967110,0.23308712,0.36388594,0.00000000,1.62968149,3.05486650,0.03617201,2.72814276
-2.46423212,5.72209913,0.00970982,0.22289668,0.34669900,0.00000000,1.58441882,2.98219845,0.03345257,2.65970028
-2.45822911,5.56472351,0.00968576,0.21352241,0.33023801,0.00000000,1.53756145,2.90289459,0.03083284,2.59115724
-2.45222611,5.40240316,0.00959893,0.20491588,0.31463881,0.00000000,1.48912493,2.81756792,0.02832567,2.52234117
