energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,10.20302719,0.02485652,1.44690446,0.73252402,0.12136560,6.83504116,5.12684939,0.12806068,3.11634629
-5.99399700,9.86044324,0.02448199,1.37918026,0.72624680,0.11837742,6.52573851,4.95070551,0.12573315,3.04577300
-5.98799400,9.49266446,0.02400594,1.30864116,0.71734284,0.11522085,6.20386857,4.76161853,0.12292456,2.96622647
-5.98199100,9.10405762,0.02343191,1.23616390,0.70582134,0.11194576,5.87381192,4.56176934,0.11966366,2.87856669
-5.97598799,8.69912191,0.02276523,1.16260078,0.69173553,0.10860637,5.53986681,4.35339623,0.11598649,2.78375875
-5.96998499,8.28240682,0.02201282,1.08876545,0.67518311,0.10526028,5.20617138,4.13875455,0.11193531,2.68285489
-5.96398199,7.85843755,0.02118296,1.01542111,0.65630556,0.10196737,4.87663678,3.92008056,0.10755747,2.57697652
-5.95797899,7.43164829,0.02028505,0.94327114,0.63528631,0.09878886,4.55489154,3.69955970,0.10290426,2.46729612
-5.95197599,7.00632327,0.01932934,0.87295218,0.61234766,0.09578615,4.24423717,3.47929921,0.09802967,2.35501893
-5.94597299,6.58654524,0.01832669,0.80502942,0.58774654,0.09301970,3.94761442,3.26130505,0.09298923,2.24136443
-5.93996998,6.17615072,0.01728829,0.73999403,0.56176907,0.09054785,3.66757945,3.04746253,0.08783881,2.12754746
-5.93396698,5.77869127,0.01622546,0.67826228,0.53472406,0.08842549,3.40628869,2.83952044,0.08263349,2.01475919
-5.92796398,5.39740017,0.01514938,0.62017633,0.50693578,0.08670283,3.16549151,2.63907800,0.07742656,1.90414792
-5.92196098,5.03516387,0.01407089,0.56600616,0.47873601,0.08542399,2.94652941,2.44757435,0.07226847,1.79680013
-5.91595798,4.69449781,0.01300030,0.51595249,0.45045590,0.08462575,2.75034077,2.26628001,0.06720606,1.69372194
-5.90995498,4.37752644,0.01194719,0.47015044,0.42241777,0.08433629,2.57747040,2.09629009,0.06228173,1.59582165
-5.90395198,4.08596736,0.01092033,0.42867361,0.39492736,0.08457406,2.42808313,1.93851893,0.05753293,1.50389368
-5.89794897,3.82111993,0.00992749,0.39153849,0.36826662,0.08534681,2.30198104,1.79369615,0.05299165,1.41860466
-5.89194597,3.58385859,0.00897540,0.35870897,0.34268765,0.08665095,2.19862410,1.66236399,0.04868413,1.34048205
-5.88594297,3.37463155,0.00806971,0.33010093,0.31840769,0.08847103,2.11715390,1.54487616,0.04463076,1.26990606
-5.87993997,3.19346523,0.00721490,0.30558675,0.29560569,0.09077967,2.05642081,1.44139819,0.04084606,1.20710501
-5.87393697,3.03997512,0.00641437,0.28499973,0.27442034,0.09353787,2.01501415,1.35190974,0.03733890,1.15215481
-5.86793397,2.91338352,0.00567038,0.26813845,0.25494973,0.09669560,1.99129577,1.27620889,0.03411280,1.10498252
-5.86193097,2.81254438,0.00498420,0.25477115,0.23725263,0.10019287,1.98343674,1.21391896,0.03116639,1.06537421
-5.85592796,2.73597547,0.00435612,0.24463994,0.22135123,0.10396117,1.98945712,1.16449787,0.02849400,1.03298693
-5.84992496,2.68189781,0.00378556,0.23746524,0.20723527,0.10792521,2.00726849,1.12725038,0.02608630,1.00736448
-5.84392196,2.64828191,0.00327119,0.23295013,0.19486724,0.11200503,2.03471875,1.10134339,0.02393104,0.98795672
-5.83791896,2.63290022,0.00281107,0.23078498,0.18418853,0.11611832,2.06963856,1.08582420,0.02201381,0.97414159
-5.83191596,2.63338498,0.00240274,0.23065215,0.17512609,0.12018288,2.10988859,1.07964179,0.02031882,0.96524934
-5.82591296,2.64729009,0.00204334,0.23223089,0.16759947,0.12411924,2.15340676,1.08167083,0.01882969,0.96058812
-5.81990995,2.67215574,0.00172981,0.23520244,0.16152782,0.12785315,2.19825408,1.09073806,0.01753012,0.95946996
