energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,V_p_up,V_d_up
-6.00000000,8.38111408,0.00101997,5.93305710,0.20245194,0.00055893,5.58028472,3.78705808
-5.99399700,8.34101444,0.00097009,5.90533962,0.20394206,0.00056649,5.60729112,3.74030134
-5.98799400,8.27110033,0.00091956,5.85598518,0.20499875,0.00057289,5.61057219,3.67882779
-5.98199100,8.17153645,0.00086879,5.78516152,0.20557873,0.00057799,5.58964637,3.60306389
-5.97598799,8.04291014,0.00081819,5.69334295,0.20564600,0.00058164,5.54442591,3.51365250
-5.96998499,7.88624185,0.00076815,5.58131572,0.20517256,0.00058371,5.47523155,3.41144991
-5.96398199,7.70298385,0.00071906,5.45017479,0.20413910,0.00058410,5.38279530,3.29751640
-5.95797899,7.49500657,0.00067130,5.30131175,0.20253535,0.00058271,5.26825077,3.17310050
-5.95197599,7.26457209,0.00062525,5.13639359,0.20036034,0.00057950,5.13311101,3.03961700
-5.94597299,7.01429552,0.00058124,4.95733302,0.19762246,0.00057445,4.97923465,2.89861934
-5.93996998,6.74709507,0.00053961,4.76625091,0.19433920,0.00056755,4.80878142,2.75176709
-5.93396698,6.46613252,0.00050068,4.56543233,0.19053687,0.00055888,4.62415879,2.60078986
-5.92796398,6.17474619,0.00046474,4.35727748,0.18624991,0.00054852,4.42796172,2.44744870
-5.92196098,5.87637873,0.00043208,4.14424956,0.18152022,0.00053660,4.22290797,2.29349655
-5.91595798,5.57450254,0.00040295,3.92882133,0.17639617,0.00052331,4.01177140,2.14063919
-5.90995498,5.27254541,0.00037758,3.71342238,0.17093156,0.00050883,3.79731578,1.99049815
-5.90395198,4.97381916,0.00035618,3.50038899,0.16518450,0.00049339,3.58223160,1.84457694
-5.89794897,4.68145361,0.00033893,3.29191823,0.15921614,0.00047726,3.36907796,1.70423164
-5.89194597,4.39833804,0.00032597,3.09002777,0.15308940,0.00046069,3.16023140,1.57064701
-5.88594297,4.12707181,0.00031742,2.89652264,0.14686779,0.00044397,2.95784326,1.44481852
-5.87993997,3.86992544,0.00031335,2.71296947,0.14061411,0.00042737,2.76380636,1.32754087
-5.87393697,3.62881281,0.00031379,2.54067890,0.13438937,0.00041117,2.57973175,1.21940298
-5.86793397,3.40527472,0.00031872,2.38069605,0.12825171,0.00039564,2.40693549,1.12078929
-5.86193097,3.20047368,0.00032807,2.23379894,0.12225550,0.00038101,2.24643521,1.03188695
-5.85592796,3.01519929,0.00034169,2.10050420,0.11645060,0.00036751,2.09895584,0.95269822
-5.84992496,2.84988335,0.00035939,1.98107940,0.11088172,0.00035533,1.96494337,0.88305731
-5.84392196,2.70462342,0.00038089,1.87556114,0.10558805,0.00034465,1.84458565,0.82265077
-5.83791896,2.57921365,0.00040587,1.78377772,0.10060301,0.00033558,1.73783880,0.77104046
-5.83191596,2.47318129,0.00043392,1.70537555,0.09595420,0.00032824,1.64445788,0.72768814
-5.82591296,2.38582753,0.00046455,1.63984801,0.09166358,0.00032267,1.56403032,0.69198073
-5.81990995,2.31627112,0.00049724,1.58656583,0.08774775,0.00031892,1.49601095,0.66325543
-5.81390695,2.26349328,0.00053139,1.54480803,0.08421841,0.00031698,1.43975713,0.64082389
-5.80790395,2.22638275,0.00056637,1.51379242,0.08108299,0.00031681,1.39456294,0.62399472
-5.80190095,2.20377939,0.00060151,1.49270490,0.07834529,0.00031836,1.35969140,0.61209388
-5.79589795,2.19451541,0.00063612,1.48072675,0.07600626,0.00032154,1.33440380,0.60448247
-5.78989495,2.19745292,0.00066951,1.47705941,0.07406473,0.00032626,1.31798545,0.60057151
-5.78389195,2.21151698,0.00070102,1.48094600,0.07251812,0.00033240,1.30976722,0.59983370
-5.77788894,2.23572308,0.00073001,1.49168916,0.07136312,0.00033985,1.30914239,0.60181179
-5.77188594,2.26919845,0.00075591,1.50866492,0.07059621,0.00034846,1.31557868,0.60612376
-5.76588294,2.31119653,0.00077820,1.53133220,0.07021399,0.00035813,1.32862502,0.61246472
-5.75987994,2.36110408,0.00079647,1.55923764,0.07021339,0.00036871,1.34791333,0.62060575
-5.75387694,2.41844085,0.00081040,1.59201597,0.07059159,0.00038010,1.37315515,0.63038976
-5.74787394,2.48285166,0.00081978,1.62938561,0.07134576,0.00039218,1.40413360,0.64172481
-5.74187094,2.55409121,0.00082453,1.67113989,0.07247258,0.00040486,1.44069094,0.65457503
-5.73586793,2.63200210,0.00082466,1.71713413,0.07396751,0.00041803,1.48271222,0.66894961
-5.72986493,2.71648689,0.00082033,1.76726903,0.07582396,0.00043162,1.53010591,0.68489028
-5.72386193,2.80747526,0.00081177,1.82147102,0.07803225,0.00044556,1.58278202,0.70245763
-5.71785893,2.90488760,0.00079933,1.87967027,0.08057862,0.00045978,1.64062889,0.72171697
-5.71185593,3.00859668,0.00078345,1.94177741,0.08344416,0.00047421,1.70348943,0.74272401
-5.70585293,3.11838900,0.00076460,2.00765968,0.08660384,0.00048879,1.77113803,0.76551108
-5.69984992,3.23392788,0.00074333,2.07711793,0.09002579,0.00050345,1.84325918,0.79007430
-5.69384692,3.35471996,0.00072017,2.14986532,0.09367065,0.00051814,1.91942882,0.81636224
-5.68784392,3.48008718,0.00069571,2.22550891,0.09749137,0.00053275,1.99909946,0.84426659
-5.68184092,3.60914571,0.00067046,2.30353525,0.10143323,0.00054722,2.08159008,0.87361517
-5.67583792,3.74079350,0.00064494,2.38330076,0.10543434,0.00056143,2.16608132,0.90416766
-5.66983492,3.87370740,0.00061959,2.46402782,0.10942644,0.00057526,2.25161681,0.93561430
-5.66383192,4.00635071,0.00059480,2.54480693,0.11333611,0.00058859,2.33711071,0.96757771
-5.65782891,4.13699145,0.00057088,2.62460548,0.11708633,0.00060126,2.42136166,0.99961778
-5.65182591,4.26373110,0.00054806,2.70228286,0.12059827,0.00061312,2.50307292,1.03123969
-5.64582291,4.38454309,0.00052648,2.77661188,0.12379344,0.00062401,2.58087818,1.06190459
-5.63981991,4.49732000,0.00050622,2.84630580,0.12659577,0.00063374,2.65337228,1.09104283
-5.63381691,4.59992761,0.00048727,2.91005000,0.12893392,0.00064216,2.71914584,1.11806914
-5.62781391,4.69026409,0.00046957,2.96653742,0.13074344,0.00064908,2.77682258,1.14239918
-5.62181091,4.76632161,0.00045299,3.01450613,0.13196874,0.00065434,2.82509794,1.16346696
-5.61580790,4.82624834,0.00043737,3.05277772,0.13256492,0.00065780,2.86277755,1.18074230
-5.60980490,4.86840782,0.00042252,3.08029491,0.13249919,0.00065934,2.88881388,1.19374770
-5.60380190,4.89143357,0.00040822,3.09615669,0.13175191,0.00065885,2.90233982,1.20207396
-5.59779890,4.89427623,0.00039427,3.09964956,0.13031725,0.00065626,2.90269752,1.20539388
-5.59179590,4.87624157,0.00038047,3.09027343,0.12820332,0.00065153,2.88946150,1.20347341
-5.58579290,4.83701744,0.00036663,3.06776116,0.12543190,0.00064464,2.86245484,1.19617994
-5.57978989,4.77668864,0.00035261,3.03209071,0.12203769,0.00063562,2.82175791,1.18348727
-5.57378689,4.69573912,0.00033827,2.98348947,0.11806721,0.00062455,2.76770913,1.16547718
-5.56778389,4.59504144,0.00032353,2.92243057,0.11357726,0.00061150,2.70089768,1.14233743
-5.56178089,4.47583398,0.00030836,2.84962137,0.10863320,0.00059661,2.62214862,1.11435648
-5.55577789,4.33968708,0.00029274,2.76598459,0.10330698,0.00058002,2.53250077,1.08191504
-5.54977489,4.18845956,0.00027672,2.67263308,0.09767506,0.00056190,2.43317843,1.04547495
-5.54377189,4.02424746,0.00026034,2.57083919,0.09181627,0.00054246,2.32555806,1.00556584
-5.53776888,3.84932730,0.00024372,2.46200016,0.08580977,0.00052190,2.21113119,0.96277012
-5.53176588,3.66609611,0.00022695,2.34760090,0.07973306,0.00050042,2.09146503,0.91770698
-5.52576288,3.47701048,0.00021018,2.22917572,0.07366019,0.00047824,1.96816233,0.87101594
-5.51975988,3.28452701,0.00019353,2.10827041,0.06766025,0.00045557,1.84282191,0.82334073
-5.51375688,3.09104604,0.00017716,1.98640597,0.06179603,0.00043262,1.71700117,0.77531382
-5.50775388,2.89886051,0.00016118,1.86504521,0.05612305,0.00040959,1.59218192,0.72754226
-5.50175088,2.71011121,0.00014575,1.74556322,0.05068883,0.00038665,1.46974041,0.68059518
-5.49574787,2.52674942,0.00013096,1.62922224,0.04553253,0.00036398,1.35092234,0.63499323
-5.48974487,2.35050757,0.00011692,1.51715153,0.04068477,0.00034172,1.23682343,0.59120010
-5.48374187,2.18287794,0.00010371,1.41033231,0.03616781,0.00032002,1.12837558,0.54961623
-5.47773887,2.02509936,0.00009140,1.30958786,0.03199588,0.00029898,1.02633887,0.51057472
-5.47173587,1.87815126,0.00008001,1.21557827,0.02817570,0.00027871,0.93129881,0.47433920
-5.46573287,1.74275453,0.00006958,1.12879971,0.02470722,0.00025929,0.84366870,0.44110365
-5.45972986,1.61937808,0.00006010,1.04958748,0.02158439,0.00024079,0.76369627,0.41099381
-5.45372686,1.50825039,0.00005156,0.97812232,0.01879602,0.00022325,0.69147401,0.38407003
-5.44772386,1.40937489,0.00004394,0.91443938,0.01632670,0.00020673,0.62695238,0.36033119
-5.44172086,1.32254823,0.00003719,0.85843924,0.01415766,0.00019123,0.56995519,0.33971963
-5.43571786,1.24738082,0.00003126,0.80990036,0.01226767,0.00017677,0.52019624,0.32212659
-5.42971486,1.18331855,0.00002609,0.76849267,0.01063381,0.00016336,0.47729679,0.30739820
-5.42371186,1.12966547,0.00002163,0.73379165,0.00923225,0.00015099,0.44080302,0.29534174
