energy_ev,total_up,B_p_up,B_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,4.00944648,1.15845110,0.00000000,1.32683722,2.27998739,0.02564667,0.61812052
-5.99399700,3.91979733,1.15745553,0.00000000,1.29218338,2.26155715,0.02484011,0.57797316
-5.98799400,3.82554166,1.15359375,0.00000000,1.25602326,2.23844325,0.02408507,0.53848853
-5.98199100,3.72702827,1.14664765,0.00000000,1.21872050,2.21041081,0.02336760,0.50007334
-5.97598799,3.62461782,1.13644923,0.00000000,1.18065662,2.17728384,0.02267377,0.46308637
-5.96998499,3.51870080,1.12289107,0.00000000,1.14222999,2.13896294,0.02199026,0.42783533
-5.96398199,3.40971400,1.10593439,0.00000000,1.10385346,2.09544020,0.02130484,0.39457551
-5.95797899,3.29815366,1.08561453,0.00000000,1.06595073,2.04681041,0.02060688,0.36350995
-5.95197599,3.18458432,1.06204328,0.00000000,1.02895096,1.99327780,0.01988764,0.33479101
-5.94597299,3.06964216,1.03540816,0.00000000,0.99328181,1.93515789,0.01914057,0.30852298
-5.93996998,2.95403259,1.00596826,0.00000000,0.95936090,1.87287417,0.01836143,0.28476562
-5.93396698,2.83852175,0.97404719,0.00000000,0.92758589,1.80694992,0.01754834,0.26353828
-5.92796398,2.72392252,0.94002317,0.00000000,0.89832363,1.73799524,0.01670171,0.24482445
-5.92196098,2.61107551,0.90431683,0.00000000,0.87189872,1.66669024,0.01582410,0.22857658
-5.91595798,2.50082639,0.86737740,0.00000000,0.84858209,1.59376507,0.01491997,0.21472093
-5.90995498,2.39400076,0.82966765,0.00000000,0.82858024,1.51997789,0.01399537,0.20316249
-5.90395198,2.29137804,0.79164872,0.00000000,0.81202569,1.44609179,0.01305759,0.19378967
-5.89794897,2.19366615,0.75376514,0.00000000,0.79896933,1.37285193,0.01211480,0.18647884
-5.89194597,2.10147825,0.71643100,0.00000000,0.78937519,1.30096391,0.01117564,0.18109864
-5.88594297,2.01531324,0.68001781,0.00000000,0.78311821,1.23107434,0.01024891,0.17751390
-5.87993997,1.93554093,0.64484452,0.00000000,0.77998514,1.16375456,0.00934315,0.17558938
-5.87393697,1.86239292,0.61117019,0.00000000,0.77967910,1.09948803,0.00846639,0.17519303
-5.86793397,1.79595972,0.57918942,0.00000000,0.78182751,1.03866197,0.00762590,0.17619901
-5.86193097,1.73619418,0.54903077,0.00000000,0.78599345,0.98156323,0.00682799,0.17849027
-5.85592796,1.68292109,0.52075810,0.00000000,0.79169002,0.92837855,0.00607790,0.18196078
-5.84992496,1.63585239,0.49437447,0.00000000,0.79839720,0.87919878,0.00537974,0.18651732
-5.84392196,1.59460706,0.46982850,0.00000000,0.80558051,0.83402664,0.00473644,0.19208091
-5.83791896,1.55873449,0.44702254,0.00000000,0.81271075,0.79278744,0.00414988,0.19858774
-5.83191596,1.52774009,0.42582231,0.00000000,0.81928386,0.75534184,0.00362092,0.20598963
-5.82591296,1.50111164,0.40606733,0.00000000,0.82483997,0.72150007,0.00314954,0.21425400
