energy_ev,total_up,Ag_p_up,Ag_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.44459534,0.03556259,0.39980718,0.01230499,0.01068728,0.00099919,0.00188241,0.04424196,0.00000000
-5.99399700,0.43802317,0.03455038,0.39472489,0.01153609,0.01085746,0.00108066,0.00180652,0.04281984,0.00000000
-5.98799400,0.43850058,0.03416155,0.39590968,0.01102134,0.01120381,0.00117686,0.00177040,0.04210724,0.00000000
-5.98199100,0.44564067,0.03435152,0.40303707,0.01074007,0.01170801,0.00128701,0.00177093,0.04205712,0.00000000
-5.97598799,0.45898180,0.03507158,0.41571216,0.01067157,0.01235076,0.00141010,0.00180507,0.04261617,0.00000000
-5.96998499,0.47799393,0.03626930,0.43347553,0.01079503,0.01311181,0.00154487,0.00186989,0.04372532,0.00000000
-5.96398199,0.50208573,0.03788885,0.45580984,0.01108949,0.01397002,0.00168986,0.00196264,0.04532029,0.00000000
-5.95797899,0.53061277,0.03987144,0.48214739,0.01153382,0.01490351,0.00184340,0.00208079,0.04733236,0.00000000
-5.95197599,0.56288681,0.04215591,0.51187880,0.01210674,0.01588981,0.00200366,0.00222205,0.04968911,0.00000000
-5.94597299,0.59818659,0.04467928,0.54436289,0.01278676,0.01690615,0.00216863,0.00238449,0.05231532,0.00000000
-5.93996998,0.63576992,0.04737755,0.57893792,0.01355236,0.01792974,0.00233621,0.00256653,0.05513408,0.00000000
-5.93396698,0.67488723,0.05018653,0.61493407,0.01438198,0.01893813,0.00250424,0.00276703,0.05806785,0.00000000
-5.92796398,0.71479633,0.05304279,0.65168708,0.01525422,0.01990964,0.00267052,0.00298531,0.06103981,0.00000000
-5.92196098,0.75477822,0.05588473,0.68855275,0.01614803,0.02082377,0.00283292,0.00322122,0.06397514,0.00000000
-5.91595798,0.79415337,0.05865370,0.72492200,0.01704297,0.02166167,0.00298938,0.00347516,0.06680250,0.00000000
-5.90995498,0.83229819,0.06129513,0.76023596,0.01791940,0.02240659,0.00313800,0.00374812,0.06945544,0.00000000
-5.90395198,0.86866088,0.06375973,0.79400057,0.01875891,0.02304431,0.00327708,0.00404164,0.07187380,0.00000000
-5.89794897,0.90277613,0.06600457,0.82580005,0.01954454,0.02356348,0.00340516,0.00435780,0.07400509,0.00000000
-5.89194597,0.93427789,0.06799410,0.85530868,0.02026115,0.02395598,0.00352109,0.00469922,0.07580569,0.00000000
