energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,9.04337165,0.05642521,1.02670958,0.41431199,0.00000000,3.00568482,4.07682059,0.07169007,3.90372176
-5.99399700,9.38636566,0.05986164,1.05458711,0.42886636,0.00000000,3.11673551,4.24439251,0.07418890,4.06703842
-5.98799400,9.70843719,0.06341482,1.08037086,0.44200240,0.00000000,3.22145251,4.40247491,0.07652905,4.22012727
-5.98199100,10.00665220,0.06706645,1.10376095,0.45351157,0.00000000,3.31892007,4.54974191,0.07869533,4.36170664
-5.97598799,10.27864913,0.07079450,1.12451609,0.46321799,0.00000000,3.40838455,4.68513759,0.08067565,4.49078453
-5.96998499,10.52267857,0.07457284,1.14245613,0.47098301,0.00000000,3.48926203,4.80789508,0.08246084,4.60667869
-5.96398199,10.73761393,0.07837108,1.15746115,0.47670838,0.00000000,3.56113752,4.91754220,0.08404420,4.70902313
-5.95797899,10.92293381,0.08215448,1.16946714,0.48033781,0.00000000,3.62375629,5.01389360,0.08542100,4.79776054
-5.95197599,11.07867778,0.08588406,1.17845913,0.48185706,0.00000000,3.67700836,5.09703019,0.08658788,4.87312126
-5.94597299,11.20537917,0.08951689,1.18446207,0.48129246,0.00000000,3.72090760,5.16726717,0.08754222,4.93558986
-5.93996998,11.30397963,0.09300670,1.18753061,0.47870819,0.00000000,3.75556707,5.22511286,0.08828156,4.98586116
-5.93396698,11.37573102,0.09630458,1.18773839,0.47420247,0.00000000,3.78117255,5.27122078,0.08880309,5.02478809
-5.92796398,11.42209112,0.09936004,1.18516784,0.46790278,0.00000000,3.79795633,5.30633792,0.08910326,5.05332440
-5.92196098,11.44461940,0.10212226,1.17990133,0.45996067,0.00000000,3.80617289,5.33125226,0.08917760,5.07246514
-5.91595798,11.44487911,0.10454140,1.17201417,0.45054618,0.00000000,3.80607830,5.34674266,0.08902066,5.08318836
-5.90995498,11.42435115,0.10657023,1.16157012,0.43984229,0.00000000,3.79791451,5.35353372,0.08862618,5.08640097
-5.90395198,11.38436450,0.10816563,1.14861958,0.42803964,0.00000000,3.78189939,5.35225825,0.08798751,5.08289181
-5.89794897,11.32604616,0.10929018,1.13320054,0.41533166,0.00000000,3.75822297,5.34342919,0.08709808,5.07329417
-5.89194597,11.25029297,0.10991364,1.11534211,0.40191028,0.00000000,3.72704968,5.32742217,0.08595208,5.05805977
-5.88594297,11.15776539,0.11001424,1.09507022,0.38796237,0.00000000,3.68852609,5.30446943,0.08454521,5.03744523
-5.87993997,11.04890246,0.10957969,1.07241489,0.37366682,0.00000000,3.64279321,5.27466476,0.08287544,5.01151157
-5.87393697,10.92395554,0.10860801,1.04741848,0.35919241,0.00000000,3.59000190,5.23797890,0.08094374,4.98013627
-5.86793397,10.78303730,0.10710782,1.02014403,0.34469625,0.00000000,3.53033005,5.19428370,0.07875477,4.94303696
-5.86193097,10.62618179,0.10509840,0.99068307,0.33032276,0.00000000,3.46399989,5.14338324,0.07631736,4.89980498
-5.85592796,10.45341063,0.10260924,0.95916203,0.31620313,0.00000000,3.39129377,5.08504957,0.07364487,4.84994652
-5.84992496,10.26480035,0.09967930,0.92574684,0.30245503,0.00000000,3.31256710,5.01906055,0.07075531,4.79292873
-5.84392196,10.06054596,0.09635577,0.89064517,0.28918254,0.00000000,3.22825723,4.94523716,0.06767128,4.72822803
-5.83791896,9.84101636,0.09269272,0.85410601,0.27647617,0.00000000,3.13888735,4.86347800,0.06441959,4.65537748
-5.83191596,9.60679792,0.08874928,0.81641668,0.26441288,0.00000000,3.04506510,4.77378868,0.06103079,4.57401069
-5.82591296,9.35872353,0.08458787,0.77789729,0.25305605,0.00000000,2.94747564,4.67630441,0.05753843,4.48389963
-5.81990995,9.09788542,0.08027221,0.73889300,0.24245547,0.00000000,2.84686965,4.57130456,0.05397820,4.38498433
-5.81390695,8.82563142,0.07586538,0.69976459,0.23264719,0.00000000,2.74404681,4.45921853,0.05038694,4.27739310
-5.80790395,8.54354514,0.07142805,0.66087779,0.22365344,0.00000000,2.63983589,4.34062279,0.04680166,4.16145222
