energy_ev,total_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.11577518,1.43510032,0.61861879,0.01355946,1.50103520,0.01568254,0.00012043
-5.99399700,2.06014558,1.38292962,0.60865501,0.01283642,1.46317406,0.01497225,0.00011808
-5.98799400,1.99865355,1.32687401,0.59778027,0.01210474,1.42145892,0.01427139,0.00011542
-5.98199100,1.93194695,1.26750283,0.58607832,0.01136980,1.37632419,0.01358161,0.00011246
-5.97598799,1.86072325,1.20542330,0.57362625,0.01063663,1.32823202,0.01290390,0.00010923
-5.96998499,1.78571724,1.14127000,0.56049482,0.00990998,1.27766431,0.01223875,0.00010575
-5.96398199,1.70768762,1.07569299,0.54674900,0.00919425,1.22511415,0.01158634,0.00010203
-5.95797899,1.62740298,1.00934533,0.53244887,0.00849356,1.17107711,0.01094671,0.00009810
-5.95197599,1.54562768,0.94287035,0.51765066,0.00781165,1.11604251,0.01031992,0.00009399
-5.94597299,1.46310821,0.87688924,0.50240806,0.00715195,1.06048527,0.00970615,0.00008974
-5.93996998,1.38056063,0.81198949,0.48677354,0.00651750,1.00485854,0.00910583,0.00008537
-5.93396698,1.29865950,0.74871471,0.47079991,0.00591097,0.94958741,0.00851967,0.00008092
-5.92796398,1.21802876,0.68755615,0.45454191,0.00533462,0.89506406,0.00794867,0.00007644
-5.92196098,1.13923482,0.62894620,0.43805777,0.00479029,0.84164428,0.00739418,0.00007194
-5.91595798,1.06278207,0.57325408,0.42141084,0.00427937,0.78964570,0.00685782,0.00006747
-5.90995498,0.98911071,0.52078376,0.40467100,0.00380285,0.73934734,0.00634144,0.00006307
-5.90395198,0.91859685,0.47177398,0.38791601,0.00336123,0.69099070,0.00584709,0.00005875
-5.89794897,0.85155455,0.42640015,0.37123247,0.00295463,0.64478189,0.00537691,0.00005455
-5.89194597,0.78823958,0.38477802,0.35471659,0.00258273,0.60089470,0.00493306,0.00005049
-5.88594297,0.72885433,0.34696849,0.33847434,0.00224484,0.55947419,0.00451769,0.00004660
-5.87993997,0.67355349,0.31298342,0.32262124,0.00193993,0.52064058,0.00413278,0.00004288
-5.87393697,0.62245000,0.28279193,0.30728155,0.00166668,0.48449297,0.00378019,0.00003936
-5.86793397,0.57562087,0.25632679,0.29258683,0.00142350,0.45111282,0.00346148,0.00003604
-5.86193097,0.53311253,0.23349062,0.27867396,0.00120861,0.42056667,0.00317798,0.00003293
-5.85592796,0.49494529,0.21416160,0.26568257,0.00102010,0.39290823,0.00293068,0.00003003
-5.84992496,0.46111686,0.19819850,0.25375202,0.00085596,0.36817957,0.00272026,0.00002736
-5.84392196,0.43160478,0.18544483,0.24301790,0.00071413,0.34641139,0.00254705,0.00002490
-5.83791896,0.40636780,0.17573220,0.23360838,0.00059258,0.32762259,0.00241106,0.00002266
