energy_ev,total_up,total_down,Al_p_up,Al_p_down,Al_d_up,Al_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.68900542,-0.68900546,0.08171320,-0.08171320,0.00000000,-0.00000000,0.29800722,-0.29800723,0.21194914,-0.21194915,0.28354442,-0.28354443,0.00000000,-0.00000000
-5.99399700,0.65813848,-0.65813852,0.07761170,-0.07761171,0.00000000,-0.00000000,0.28530918,-0.28530920,0.20226589,-0.20226590,0.27082822,-0.27082824,0.00000000,-0.00000000
-5.98799400,0.62631063,-0.62631066,0.07336996,-0.07336996,0.00000000,-0.00000000,0.27214506,-0.27214507,0.19214464,-0.19214465,0.25783976,-0.25783978,0.00000000,-0.00000000
-5.98199100,0.59422616,-0.59422619,0.06908444,-0.06908445,0.00000000,-0.00000000,0.25877366,-0.25877367,0.18180243,-0.18180244,0.24488261,-0.24488262,0.00000000,-0.00000000
-5.97598799,0.56261424,-0.56261427,0.06485299,-0.06485300,0.00000000,-0.00000000,0.24547610,-0.24547611,0.17146221,-0.17146222,0.23226739,-0.23226740,0.00000000,-0.00000000
-5.96998499,0.53221044,-0.53221047,0.06077280,-0.06077281,0.00000000,-0.00000000,0.23254859,-0.23254859,0.16134723,-0.16134724,0.22030370,-0.22030371,0.00000000,-0.00000000
-5.96398199,0.50373960,-0.50373962,0.05693870,-0.05693870,0.00000000,-0.00000000,0.22029552,-0.22029552,0.15167590,-0.15167590,0.20929262,-0.20929263,0.00000000,-0.00000000
-5.95797899,0.47790050,-0.47790051,0.05344166,-0.05344166,0.00000000,-0.00000000,0.20902308,-0.20902308,0.14265724,-0.14265725,0.19952014,-0.19952014,0.00000000,-0.00000000
-5.95197599,0.45535282,-0.45535283,0.05036772,-0.05036772,0.00000000,-0.00000000,0.19903356,-0.19903356,0.13448708,-0.13448709,0.19125158,-0.19125158,0.00000000,-0.00000000
-5.94597299,0.43670646,-0.43670646,0.04779708,-0.04779708,0.00000000,-0.00000000,0.19062051,-0.19062051,0.12734499,-0.12734499,0.18472709,-0.18472708,0.00000000,-0.00000000
-5.93996998,0.42251331,-0.42251330,0.04580363,-0.04580363,0.00000000,-0.00000000,0.18406476,-0.18406475,0.12139203,-0.12139203,0.18015824,-0.18015823,0.00000000,-0.00000000
-5.93396698,0.41326142,-0.41326140,0.04445460,-0.04445460,0.00000000,-0.00000000,0.17963140,-0.17963140,0.11676926,-0.11676926,0.17772570,-0.17772569,0.00000000,-0.00000000
-5.92796398,0.40937142,-0.40937139,0.04381048,-0.04381048,0.00000000,-0.00000000,0.17756751,-0.17756750,0.11359696,-0.11359695,0.17757788,-0.17757786,0.00000000,-0.00000000
-5.92196098,0.41119472,-0.41119468,0.04392507,-0.04392507,0.00000000,-0.00000000,0.17810060,-0.17810059,0.11197445,-0.11197444,0.17983046,-0.17983044,0.00000000,-0.00000000
-5.91595798,0.41901334,-0.41901329,0.04484554,-0.04484554,0.00000000,-0.00000000,0.18143756,-0.18143754,0.11198041,-0.11198040,0.18456668,-0.18456666,0.00000000,-0.00000000
-5.90995498,0.43304087,-0.43304082,0.04661255,-0.04661254,0.00000000,-0.00000000,0.18776398,-0.18776396,0.11367362,-0.11367360,0.19183819,-0.19183816,0.00000000,-0.00000000
-5.90395198,0.45342420,-0.45342413,0.04926025,-0.04926024,0.00000000,-0.00000000,0.19724359,-0.19724357,0.11709388,-0.11709387,0.20166637,-0.20166634,0.00000000,-0.00000000
-5.89794897,0.48024558,-0.48024551,0.05281623,-0.05281622,0.00000000,-0.00000000,0.21001759,-0.21001756,0.12226319,-0.12226317,0.21404393,-0.21404389,0.00000000,-0.00000000
-5.89194597,0.51352481,-0.51352474,0.05730127,-0.05730127,0.00000000,-0.00000000,0.22620382,-0.22620379,0.12918680,-0.12918678,0.22893665,-0.22893661,0.00000000,-0.00000000
-5.88594297,0.55322118,-0.55322110,0.06272897,-0.06272896,0.00000000,-0.00000000,0.24589553,-0.24589549,0.13785439,-0.13785437,0.24628525,-0.24628521,0.00000000,-0.00000000
-5.87993997,0.59923499,-0.59923490,0.06910514,-0.06910513,0.00000000,-0.00000000,0.26915962,-0.26915958,0.14824102,-0.14824100,0.26600708,-0.26600704,0.00000000,-0.00000000
-5.87393697,0.65140863,-0.65140854,0.07642712,-0.07642711,0.00000000,-0.00000000,0.29603452,-0.29603448,0.16030798,-0.16030796,0.28799785,-0.28799780,0.00000000,-0.00000000
-5.86793397,0.70952719,-0.70952709,0.08468293,-0.08468292,0.00000000,-0.00000000,0.32652746,-0.32652742,0.17400348,-0.17400346,0.31213312,-0.31213308,0.00000000,-0.00000000
