energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,8.42073103,0.03114024,1.34259109,2.52282928,3.24744655,0.07966082,3.14312218,1.81379794,0.42637726
-5.99399700,8.45494231,0.03203636,1.35979230,2.54510228,3.27799030,0.08014901,3.13971442,1.81804167,0.42341749
-5.98799400,8.47165637,0.03290781,1.37319740,2.56366868,3.30172438,0.08042590,3.13101856,1.81920686,0.41982951
-5.98199100,8.47065684,0.03375314,1.38272189,2.57833981,3.31837684,0.08048970,3.11699988,1.81719459,0.41557466
-5.97598799,8.45195520,0.03457067,1.38832918,2.58895413,3.32777102,0.08034086,3.09769911,1.81194480,0.41062609
-5.96998499,8.41579357,0.03535827,1.39003089,2.59538382,3.32983315,0.07998191,3.07323192,1.80343722,0.40496933
-5.96398199,8.36264618,0.03611331,1.38788675,2.59754178,3.32459949,0.07941729,3.04378813,1.79169221,0.39860287
-5.95797899,8.29321916,0.03683248,1.38200399,2.59538871,3.31222241,0.07865314,3.00963055,1.77677136,0.39153859
-5.95197599,8.20844796,0.03751186,1.37253616,2.58893974,3.29297501,0.07769723,2.97109338,1.75877783,0.38380202
-5.94597299,8.10949203,0.03814687,1.35968133,2.57827011,3.26725368,0.07655877,2.92858002,1.73785614,0.37543247
-5.93996998,7.99772555,0.03873241,1.34367957,2.56351936,3.23557800,0.07524838,2.88255997,1.71419115,0.36648287
-5.93396698,7.87472368,0.03926300,1.32480967,2.54489348,3.19858743,0.07377801,2.83356454,1.68800625,0.35701929
-5.92796398,7.74224353,0.03973294,1.30338486,2.52266479,3.15703435,0.07216086,2.78218120,1.65956029,0.34712019
-5.92196098,7.60219917,0.04013658,1.27974761,2.49716909,3.11177323,0.07041144,2.72904622,1.62914331,0.33687526
-5.91595798,7.45663061,0.04046853,1.25426347,2.46880009,3.06374556,0.06854544,2.67483550,1.59707103,0.32638395
-5.90995498,7.30766674,0.04072395,1.22731393,2.43800099,3.01396091,0.06657974,2.62025353,1.56367789,0.31575358
-5.90395198,7.15748292,0.04089878,1.19928846,2.40525371,2.96347440,0.06453232,2.56602049,1.52930912,0.30509719
-5.89794897,7.00825407,0.04098999,1.17057595,2.37106590,2.91336116,0.06242213,2.51285788,1.49431175,0.29453110
-5.89194597,6.86210493,0.04099574,1.14155580,2.33595650,2.86468869,0.06026896,2.46147282,1.45902517,0.28417227
-5.88594297,6.72105925,0.04091554,1.11258897,2.30044039,2.81848832,0.05809322,2.41254182,1.42377144,0.27413560
-5.87993997,6.58699015,0.04075039,1.08400941,2.26501309,2.77572680,0.05591566,2.36669441,1.38884598,0.26453116
-5.87393697,6.46157384,0.04050276,1.05611620,2.23013619,2.73727953,0.05375716,2.32449758,1.35450902,0.25546159
-5.86793397,6.34624923,0.04017660,1.02916692,2.19622434,2.70390666,0.05163831,2.28644161,1.32097843,0.24701966
-5.86193097,6.24218537,0.03977731,1.00337244,2.16363451,2.67623324,0.04957911,2.25292815,1.28842421,0.23928618
-5.85592796,6.15025864,0.03931158,0.97889351,2.13265813,2.65473447,0.04759864,2.22426112,1.25696517,0.23232831
-5.84992496,6.07104108,0.03878725,0.95583939,2.10351645,2.63972687,0.04571467,2.20064100,1.22666783,0.22619827
-5.84392196,6.00480039,0.03821315,0.93426852,2.07635935,2.63136575,0.04394338,2.18216283,1.19754790,0.22093262
-5.83791896,5.95151186,0.03759888,0.91419128,2.05126760,2.62964902,0.04229906,2.16881812,1.16957409,0.21655205
-5.83191596,5.91088148,0.03695459,0.89557465,2.02825827,2.63442717,0.04079390,2.16050043,1.14267411,0.21306170
-5.82591296,5.88237883,0.03629076,0.87834865,2.00729290,2.64541868,0.03943785,2.15701448,1.11674270,0.21045197
-5.81990995,5.86527811,0.03561801,0.86241397,1.98828784,2.66222999,0.03823846,2.15808815,1.09165101,0.20869974
-5.81390695,5.85870466,0.03494685,0.84765073,1.97112604,2.68437867,0.03720090,2.16338669,1.06725701,0.20776999
-5.80790395,5.86168451,0.03428751,0.83392761,1.95566954,2.71131867,0.03632797,2.17252837,1.04341628,0.20761774
-5.80190095,5.87319415,0.03364974,0.82111107,1.94177182,2.74246593,0.03562022,2.18510064,1.01999260,0.20819009
-5.79589795,5.89220780,0.03304266,0.80907410,1.92928945,2.77722319,0.03507604,2.20067591,0.99686786,0.20942847
-5.78989495,5.91773985,0.03247461,0.79770428,1.91809216,2.81500252,0.03469191,2.21882618,0.97395072,0.21127081
-5.78389195,5.94888036,0.03195298,0.78691052,1.90807115,2.85524458,0.03446259,2.23913572,0.95118370,0.21365369
-5.77788894,5.98482220,0.03148415,0.77662855,1.89914504,2.89743376,0.03438135,2.26121139,0.92854832,0.21651430
-5.77188594,6.02487898,0.03107334,0.76682468,1.89126349,2.94110875,0.03444028,2.28469005,0.90606820,0.21979225
-5.76588294,6.06849357,0.03072454,0.75749804,1.88440837,2.98586821,0.03463049,2.30924313,0.88381005,0.22343101
-5.75987994,6.11523755,0.03044046,0.74868109,1.87859282,3.03137197,0.03494244,2.33457829,0.86188254,0.22737919
-5.75387694,6.16480256,0.03022245,0.74043858,1.87385827,3.07733795,0.03536612,2.36043848,0.84043331,0.23159143
-5.74787394,6.21698502,0.03007052,0.73286510,1.87026999,3.12353566,0.03589138,2.38659877,0.81964427,0.23602895
-5.74187094,6.27166580,0.02998333,0.72608147,1.86791151,3.16977711,0.03650808,2.41286163,0.79972552,0.24065987
-5.73586793,6.32878678,0.02995822,0.72023005,1.86687838,3.21590614,0.03720635,2.43905104,0.78090827,0.24545917
-5.72986493,6.38832623,0.02999129,0.71546932,1.86727170,3.26178717,0.03797676,2.46500623,0.76343691,0.25040833
-5.72386193,6.45027453,0.03007749,0.71196795,1.86919175,3.30729430,0.03881047,2.49057560,0.74756080,0.25549482
-5.71785893,6.51461201,0.03021076,0.70989858,1.87273201,3.35230159,0.03969939,2.51561126,0.73352596,0.26071127
-5.71185593,6.58128980,0.03038418,0.70943139,1.87797386,3.39667519,0.04063624,2.53996460,0.72156680,0.26605445
-5.70585293,6.65021453,0.03059016,0.71072786,1.88498193,3.44026768,0.04161464,2.56348318,0.71189844,0.27152412
-5.69984992,6.72123725,0.03082065,0.71393460,1.89380018,3.48291488,0.04262909,2.58600902,0.70470946,0.27712174
-5.69384692,6.79414640,0.03106736,0.71917764,1.90444869,3.52443499,0.04367498,2.60737827,0.70015547,0.28284905
-5.68784392,6.86866445,0.03132195,0.72655702,1.91692105,3.56462985,0.04474847,2.62742199,0.69835342,0.28870670
-5.68184092,6.94444762,0.03157626,0.73614202,1.93118215,3.60328789,0.04584636,2.64596803,0.69937695,0.29469277
-5.67583792,7.02108783,0.03182252,0.74796686,1.94716637,3.64018822,0.04696594,2.66284342,0.70325261,0.30080145
-5.66983492,7.09811599,0.03205351,0.76202725,1.96477595,3.67510525,0.04810475,2.67787710,0.70995717,0.30702178
-5.66383192,7.17500597,0.03226270,0.77827754,1.98387962,3.70781327,0.04926032,2.69090270,0.71941595,0.31333655
-5.65782891,7.25117856,0.03244438,0.79662884,2.00431138,3.73809048,0.05042992,2.70176096,0.73150234,0.31972146
-5.65182591,7.32600506,0.03259372,0.81694801,2.02586953,3.76572211,0.05161026,2.71030180,0.74603832,0.32614454
-5.64582291,7.39881048,0.03270683,0.83905769,2.04831618,3.79050227,0.05279729,2.71638574,0.76279631,0.33256595
-5.63981991,7.46887647,0.03278072,0.86273744,2.07137726,3.81223473,0.05398590,2.71988501,0.78150206,0.33893808
-5.63381691,7.53544457,0.03281334,0.88772598,2.09474347,3.83073252,0.05516982,2.72068409,0.80183885,0.34520612
-5.62781391,7.59772035,0.03280346,0.91372472,2.11807221,3.84581682,0.05634149,2.71868029,0.82345284,0.35130908
-5.62181091,7.65487939,0.03275066,0.94040242,2.14099097,3.85731550,0.05749206,2.71378432,0.84595953,0.35718113
-5.61580790,7.70607584,0.03265523,0.96740108,2.16310210,3.86506186,0.05861148,2.70592130,0.86895142,0.36275352
-5.60980490,7.75045441,0.03251809,0.99434287,2.18398937,3.86889410,0.05968869,2.69503256,0.89200651,0.36795668
-5.60380190,7.78716636,0.03234072,1.02083812,2.20322619,3.86865610,0.06071191,2.68107816,0.91469774,0.37272278
-5.59779890,7.81538971,0.03212510,1.04649409,2.22038557,3.86419974,0.06166905,2.66404068,0.93660299,0.37698843
-5.59179590,7.83435355,0.03187367,1.07092424,2.23505142,3.85538924,0.06254812,2.64392987,0.95731549,0.38069751
-5.58579290,7.84336601,0.03158927,1.09375785,2.24683119,3.84210745,0.06333782,2.62078843,0.97645429,0.38380403
