energy_ev,total_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.26697428,0.29787006,0.38075658,0.11146265,0.35757704,0.00316274,0.04747735,0.00529402,0.47480146
-5.99399700,1.32490436,0.31436907,0.40810071,0.10756934,0.36511840,0.00336868,0.04715354,0.00533917,0.50506101
-5.98799400,1.39395362,0.33410158,0.43796590,0.10491247,0.37625771,0.00358990,0.04737567,0.00542781,0.53928935
-5.98199100,1.47366300,0.35695237,0.47019276,0.10347141,0.39089608,0.00382282,0.04813421,0.00555665,0.57728843
-5.97598799,1.56333551,0.38273851,0.50455781,0.10320264,0.40886372,0.00406339,0.04940948,0.00572154,0.61877193
-5.96998499,1.66204951,0.41121283,0.54077431,0.10404292,0.42992495,0.00430727,0.05117275,0.00591764,0.66336902
-5.96398199,1.76867924,0.44206926,0.57849562,0.10591269,0.45378487,0.00454990,0.05338750,0.00613963,0.71063105
-5.95797899,1.88192228,0.47495006,0.61732121,0.10871980,0.48009776,0.00478662,0.05601092,0.00638191,0.76004130
-5.95197599,2.00033367,0.50945464,0.65680524,0.11236325,0.50847686,0.00501288,0.05899543,0.00663882,0.81102750
-5.94597299,2.12236551,0.54515002,0.69646764,0.11673695,0.53850532,0.00522434,0.06229037,0.00690490,0.86297698
-5.93996998,2.24641122,0.58158253,0.73580727,0.12173333,0.56974796,0.00541703,0.06584364,0.00717506,0.91525392
-5.93396698,2.37085273,0.61829046,0.77431683,0.12724671,0.60176355,0.00558749,0.06960332,0.00744480,0.96721815
-5.92796398,2.49410893,0.65481726,0.81149879,0.13317637,0.63411711,0.00573291,0.07351920,0.00771036,1.01824473
-5.92196098,2.61468343,0.69072471,0.84688179,0.13942920,0.66639180,0.00585121,0.07754424,0.00796890,1.06774353
-5.91595798,2.73120953,0.72560575,0.88003655,0.14592179,0.69819989,0.00594117,0.08163573,0.00821856,1.11517795
-5.90995498,2.84249031,0.75909617,0.91059081,0.15258209,0.72919250,0.00600243,0.08575628,0.00845855,1.16008181
-5.90395198,2.94753208,0.79088491,0.93824221,0.15935032,0.75906750,0.00603559,0.08987450,0.00868917,1.20207365
-5.89794897,3.04556924,0.82072223,0.96276869,0.16617934,0.78757531,0.00604212,0.09396537,0.00891175,1.24086764
-5.89194597,3.13607953,0.84842559,0.98403576,0.17303436,0.81452240,0.00602444,0.09801027,0.00912861,1.27628056
-5.88594297,3.21878874,0.87388279,1.00200022,0.17989205,0.83977220,0.00598578,0.10199665,0.00934293,1.30823444
-5.87993997,3.29366453,0.89705221,1.01671011,0.18673901,0.86324345,0.00593015,0.10591733,0.00955863,1.33675464
-5.87393697,3.36089987,0.91796025,1.02830102,0.19356984,0.88490625,0.00586226,0.10976961,0.00978016,1.36196355
-5.86793397,3.42088672,0.93669592,1.03698867,0.20038480,0.90477576,0.00578739,0.11355395,0.01001232,1.38407013
-5.86193097,3.47418167,0.95340297,1.04305847,0.20718711,0.92290426,0.00571132,0.11727260,0.01026009,1.40335588
-5.85592796,3.52146521,0.96826993,1.04685231,0.21398026,0.93937177,0.00564019,0.12092803,0.01052838,1.42015795
-5.84992496,3.56349690,0.98151855,1.04875343,0.22076526,0.95427599,0.00558044,0.12452133,0.01082186,1.43485038
-5.84392196,3.60106893,0.99339126,1.04917007,0.22753807,0.96772209,0.00553872,0.12805072,0.01114480,1.44782423
-5.83791896,3.63496052,1.00413821,1.04851869,0.23428739,0.97981288,0.00552176,0.13151014,0.01150094,1.45946785
-5.83191596,3.66589544,1.01400467,1.04720758,0.24099287,0.99064002,0.00553638,0.13488818,0.01189332,1.47014821
-5.82591296,3.69450499,1.02321925,1.04562149,0.24762394,1.00027681,0.00558936,0.13816721,0.01232426,1.48019401
-5.81990995,3.72129788,1.03198349,1.04410807,0.25413919,1.00877272,0.00568744,0.14132301,0.01279533,1.48988160
-5.81390695,3.74663851,1.04046340,1.04296645,0.26048653,1.01615019,0.00583722,0.14432472,0.01330729,1.49942404
-5.80790395,3.77073431,1.04878305,1.04243848,0.26660402,1.02240362,0.00604514,0.14713529,0.01386017,1.50896387
-5.80190095,3.79363220,1.05702054,1.04270268,0.27242128,1.02750053,0.00631739,0.14971235,0.01445332,1.51856951
-5.79589795,3.81522392,1.06520640,1.04387109,0.27786161,1.03138478,0.00665980,0.15200944,0.01508544,1.52823545
-5.78989495,3.83525925,1.07332418,1.04598884,0.28284444,1.03398143,0.00707778,0.15397758,0.01575470,1.53788586
-5.78389195,3.85336592,1.08131328,1.04903626,0.28728822,1.03520289,0.00757612,0.15556713,0.01645881,1.54738118
-5.77788894,3.86907466,1.08907348,1.05293326,0.29111346,1.03495583,0.00815885,0.15672982,0.01719504,1.55652727
-5.77188594,3.88184761,1.09647103,1.05754561,0.29424577,1.03314843,0.00882904,0.15742076,0.01796033,1.56508637
-5.76588294,3.89110837,1.10334579,1.06269268,0.29661878,1.02969732,0.00958854,0.15760050,0.01875125,1.57278938
-5.75987994,3.89627207,1.10951906,1.06815630,0.29817681,1.02453386,0.01043782,0.15723690,0.01956405,1.57934873
-5.75387694,3.89677390,1.11480179,1.07369037,0.29887703,1.01760940,0.01137561,0.15630678,0.02039458,1.58447124
-5.74787394,3.89209493,1.11900267,1.07903073,0.29869126,1.00889918,0.01239876,0.15479720,0.02123829,1.58787064
-5.74187094,3.88178438,1.12193614,1.08390515,0.29760704,0.99840474,0.01350196,0.15270641,0.02209010,1.58927916
-5.73586793,3.86547768,1.12342967,1.08804304,0.29562825,0.98615479,0.01467759,0.15004440,0.02294436,1.58845794
-5.72986493,3.84291025,1.12333066,1.09118471,0.29277502,0.97220466,0.01591561,0.14683291,0.02379477,1.58520618
-5.72386193,3.81392689,1.12151240,1.09309000,0.28908318,0.95663451,0.01720349,0.14310518,0.02463432,1.57936877
-5.71785893,3.77848739,1.11787942,1.09354606,0.28460320,0.93954651,0.01852627,0.13890511,0.02545524,1.57084246
-5.71185593,3.73666858,1.11237205,1.09237429,0.27939881,0.92106137,0.01986671,0.13428627,0.02624902,1.55958059
-5.70585293,3.68866363,1.10497017,1.08943615,0.27354523,0.90131454,0.02120553,0.12931046,0.02700649,1.54559641
-5.69984992,3.63477913,1.09569637,1.08463798,0.26712741,0.88045239,0.02252178,0.12404618,0.02771788,1.52896515
-5.69384692,3.57543065,1.08461828,1.07793449,0.26023810,0.85862878,0.02379328,0.11856689,0.02837303,1.50982481
-5.68784392,3.51113709,1.07185031,1.06933113,0.25297599,0.83600210,0.02499719,0.11294926,0.02896160,1.48837586
-5.68184092,3.44251443,1.05755452,1.05888512,0.24544400,0.81273306,0.02611061,0.10727138,0.02947334,1.46487971
-5.67583792,3.37026887,1.04194079,1.04670513,0.23774770,0.78898333,0.02711127,0.10161117,0.02989842,1.43965623
-5.66983492,3.29518956,1.02526606,1.03294972,0.22999397,0.76491491,0.02797821,0.09604473,0.03022778,1.41308006
-5.66383192,3.21814072,1.00783258,1.01782445,0.22228977,0.74069032,0.02869243,0.09064505,0.03045345,1.38557586
-5.65782891,3.14005310,0.98998502,1.00157783,0.21474117,0.71647326,0.02923761,0.08548078,0.03056894,1.35761240
-5.65182591,3.06191440,0.97210648,0.98449614,0.20745240,0.69242969,0.02960061,0.08061528,0.03056953,1.32969555
-5.64582291,2.98475840,0.95461309,0.96689735,0.20052506,0.66872900,0.02977197,0.07610580,0.03045253,1.30236010
-5.63981991,2.90965262,0.93794744,0.94912416,0.19405724,0.64554506,0.02974627,0.07200288,0.03021751,1.27616060
-5.63381691,2.83768423,0.92257057,0.93153662,0.18814263,0.62305691,0.02952233,0.06834990,0.02986641,1.25166109
-5.62781391,2.76994419,0.90895282,0.91450425,0.18286947,0.60144886,0.02910332,0.06518278,0.02940357,1.22942413
-5.62181091,2.70750963,0.89756351,0.89839811,0.17831941,0.58090984,0.02849660,0.06252976,0.02883567,1.20999912
-5.61580790,2.65142467,0.88885984,0.88358292,0.17456616,0.56163194,0.02771355,0.06041129,0.02817159,1.19391016
-5.60980490,2.60267995,0.88327501,0.87040944,0.17167396,0.54380802,0.02676919,0.05883992,0.02742215,1.18164387
-5.60380190,2.56219143,0.88120619,0.85920733,0.16969602,0.52762850,0.02568167,0.05782037,0.02659978,1.17363728
-5.59779890,2.53077878,0.88300249,0.85027855,0.16867279,0.51327738,0.02447173,0.05734948,0.02571817,1.17026622
-5.59179590,2.50914428,0.88895339,0.84389140,0.16863031,0.50092758,0.02316203,0.05741636,0.02479180,1.17183458
-5.58579290,2.49785259,0.89927810,0.84027530,0.16957866,0.49073591,0.02177653,0.05800244,0.02383553,1.17856456
-5.57978989,2.49731227,0.91411622,0.83961626,0.17151060,0.48283776,0.02033976,0.05908173,0.02286411,1.19058849
-5.57378689,2.50775964,0.93352004,0.84205304,0.17440054,0.47734182,0.01887622,0.06062106,0.02189178,1.20794218
-5.56778389,2.52924551,0.95744887,0.84767391,0.17820390,0.47432504,0.01740979,0.06258048,0.02093184,1.23056027
-5.56178089,2.56162546,0.98576566,0.85651412,0.18285699,0.47382815,0.01596320,0.06491373,0.01999636,1.25827365
-5.55577789,2.60455395,1.01823613,0.86855380,0.18827740,0.47585174,0.01455760,0.06756890,0.01909586,1.29080898
-5.54977489,2.65748268,1.05453049,0.88371644,0.19436506,0.48035345,0.01321231,0.07048918,0.01823918,1.32779063
-5.54377189,2.71966337,1.09422781,0.90186789,0.20100379,0.48724605,0.01194450,0.07361380,0.01743333,1.36874474
-5.53776888,2.79015523,1.13682298,0.92281597,0.20806348,0.49639688,0.01076919,0.07687903,0.01668349,1.41310565
-5.53176588,2.86783688,1.18173609,0.94631065,0.21540284,0.50762843,0.00969918,0.08021939,0.01599306,1.46022441
-5.52576288,2.95142282,1.22832401,0.97204509,0.22287250,0.52072042,0.00874512,0.08356888,0.01536380,1.50937930
-5.51975988,3.03948423,1.27589378,0.99965752,0.23031851,0.53541309,0.00791569,0.08686227,0.01479600,1.55978828
-5.51375688,3.13047366,1.32371767,1.02873426,0.23758606,0.55141185,0.00721777,0.09003649,0.01428874,1.61062298
-5.50775388,3.22275336,1.37104909,1.05881393,0.24452326,0.56839315,0.00665664,0.09303187,0.01384014,1.66102411
-5.50175088,3.31462670,1.41713935,1.08939310,0.25098493,0.58601138,0.00623624,0.09579342,0.01344763,1.71011796
-5.49574787,3.40437202,1.46125444,1.11993345,0.25683621,0.60390668,0.00595938,0.09827194,0.01310826,1.75703370
-5.48974487,3.49027825,1.50269156,1.14987037,0.26195580,0.62171345,0.00582793,0.10042501,0.01281897,1.80092103
-5.48374187,3.57068155,1.54079493,1.17862325,0.26623898,0.63906927,0.00584300,0.10221778,0.01257683,1.84096802
-5.47773887,3.64400198,1.57497036,1.20560695,0.26959994,0.65562393,0.00600501,0.10362357,0.01237924,1.87641849
-5.47173587,3.70877940,1.60469840,1.23024465,0.27197375,0.67104836,0.00631375,0.10462423,0.01222415,1.90658875
-5.46573287,3.76370750,1.62954560,1.25198142,0.27331760,0.68504305,0.00676842,0.10521030,0.01211015,1.93088311
-5.45972986,3.80766498,1.64917368,1.27029829,0.27361150,0.69734568,0.00736750,0.10538088,0.01203656,1.94880788
-5.45372686,3.83974299,1.66334652,1.28472630,0.27285835,0.70773777,0.00810871,0.10514335,0.01200343,1.95998342
-5.44772386,3.85926782,1.67193473,1.29486001,0.27108344,0.71604988,0.00898879,0.10451283,0.01201157,1.96415384
-5.44172086,3.86581807,1.67491790,1.30036989,0.26833330,0.72216542,0.01000340,0.10351150,0.01206241,1.96119409
-5.43571786,3.85923558,1.67238446,1.30101309,0.26467419,0.72602272,0.01114687,0.10216776,0.01215792,1.95111414
-5.42971486,3.83962980,1.66452929,1.29664200,0.26018998,0.72761532,0.01241206,0.10051527,0.01230042,1.93406014
-5.42371186,3.80737512,1.65164927,1.28721036,0.25497974,0.72699058,0.01379014,0.09859187,0.01249240,1.91031234
