energy_ev,total_up,Hf_p_up,Hf_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-2.51225613,1.57844013,0.79223459,0.62649516,0.82366317,0.00055242,0.02618330,0.42446616
-2.50625313,1.65963044,0.85633512,0.65331690,0.86734795,0.00056756,0.02601823,0.44622566
-2.50025013,1.74770707,0.92706456,0.68215841,0.91482660,0.00058320,0.02572666,0.46986526
-2.49424712,1.84341182,1.00493617,0.71326489,0.96651570,0.00059971,0.02532170,0.49558410
-2.48824412,1.94737156,1.09036443,0.74684118,1.02277246,0.00061748,0.02481883,0.52355049
-2.48224112,2.06004559,1.18363002,0.78303239,1.08386665,0.00063694,0.02423534,0.55388933
-2.47623812,2.18167612,1.28484674,0.82190581,1.14995411,0.00065848,0.02358964,0.58667054
-2.47023512,2.31224474,1.39393236,0.86343506,1.22105327,0.00068253,0.02290061,0.62189901
-2.46423212,2.45143771,1.51058499,0.90748761,1.29702631,0.00070943,0.02218694,0.65950706
-2.45822911,2.59862263,1.63426711,0.95381659,1.37756602,0.00073952,0.02146658,0.69934960
-2.45222611,2.75283848,1.76419822,1.00205762,1.46218983,0.00077308,0.02075613,0.74120288
-2.44622311,2.91280063,1.89935768,1.05173122,1.55024150,0.00081031,0.02007048,0.78476672
-2.44022011,3.07692124,2.03849796,1.10225101,1.64090102,0.00085137,0.01942241,0.82967065
-2.43421711,3.24334519,2.18016854,1.15293768,1.73320256,0.00089633,0.01882245,0.87548351
-2.42821411,3.41000025,2.32274994,1.20303821,1.82606008,0.00094522,0.01827868,0.92172638
-2.42221111,3.57465964,2.46449659,1.25174979,1.91829941,0.00099800,0.01779683,0.96788807
-2.41620810,3.73501436,2.60358699,1.29824729,2.00869563,0.00105456,0.01738032,1.01344263
-2.41020510,3.88875175,2.73817893,1.34171306,2.09601379,0.00111476,0.01703046,1.05786765
-2.40420210,4.03363669,2.86646712,1.38136772,2.17905124,0.00117842,0.01674674,1.10066272
-2.39819910,4.16759129,2.98674061,1.41650039,2.25667913,0.00124532,0.01652703,1.14136679
-2.39219610,4.28876908,3.09743707,1.44649690,2.32788138,0.00131522,0.01636799,1.17957354
-2.38619310,4.39562000,3.19719126,1.47086457,2.39178874,0.00138786,0.01626530,1.21494394
-2.38019010,4.48694301,3.28487527,1.48925244,2.44770662,0.00146297,0.01621396,1.24721534
-2.37418709,4.56192366,3.35962859,1.50146587,2.49513506,0.00154027,0.01620859,1.27620654
-2.36818409,4.62015519,3.42087667,1.50747498,2.53378020,0.00161948,0.01624359,1.30181874
-2.36218109,4.66164237,3.46833730,1.50741662,2.56355668,0.00170030,0.01631336,1.32403236
-2.35617809,4.68678832,3.50201474,1.50158984,2.58458133,0.00178243,0.01641235,1.34290008
-2.35017509,4.69636569,3.52218245,1.49044534,2.59715857,0.00186556,0.01653522,1.35853670
-2.34417209,4.69147414,3.52935574,1.47456950,2.60175882,0.00194937,0.01667681,1.37110636
-2.33816908,4.67348688,3.52425625,1.45466391,2.59899113,0.00203352,0.01683220,1.38080835
-2.33216608,4.64398943,3.50777055,1.43152158,2.58957198,0.00211768,0.01699667,1.38786203
-2.32616308,4.60471402,3.48090546,1.40600078,2.57429173,0.00220145,0.01716572,1.39249219
-2.32016008,4.55747289,3.44474252,1.37899795,2.55398089,0.00228447,0.01733503,1.39491545
-2.31415708,4.50409381,3.40039419,1.35142052,2.52947753,0.00236632,0.01750048,1.39532859
-2.30815408,4.44636035,3.34896395,1.32416087,2.50159758,0.00244659,0.01765815,1.39389944
-2.30215108,4.38595933,3.29151183,1.29807204,2.47110906,0.00252484,0.01780435,1.39076050
-2.29614807,4.32443674,3.22902694,1.27394597,2.43871119,0.00260065,0.01793569,1.38600574
-2.29014507,4.26316318,3.16240744,1.25249458,2.40501869,0.00267355,0.01804908,1.37969027
-2.28414207,4.20330901,3.09244820,1.23433399,2.37055161,0.00274310,0.01814188,1.37183289
-2.27813907,4.14582900,3.01983587,1.21997187,2.33573040,0.00280886,0.01821187,1.36242087
-2.27213607,4.09145556,2.94515044,1.20979795,2.30087573,0.00287038,0.01825737,1.35141664
-2.26613307,4.04069969,2.86887234,1.20407748,2.26621267,0.00292723,0.01827727,1.33876578
-2.26013007,3.99385834,2.79139369,1.20294756,2.23187814,0.00297900,0.01827102,1.32440557
-2.25412706,3.95102697,2.71303236,1.20641605,2.19793120,0.00302528,0.01823866,1.30827373
-2.24812406,3.91211618,2.63404749,1.21436307,2.16436516,0.00306568,0.01818075,1.29031669
-2.24212106,3.87687148,2.55465525,1.22654493,2.13112091,0.00309984,0.01809838,1.27049704
