energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,5.45408225,3.71288155,0.20801458,0.02629064,0.60009397,2.75032881,1.46824045,0.03302675,3.16753139
-5.99399700,5.40533114,3.66346467,0.20495471,0.02603655,0.60831257,2.74003769,1.45225005,0.03240981,3.12269418
-5.98799400,5.34585746,3.61003275,0.20165983,0.02568083,0.61434184,2.72578649,1.43274299,0.03175831,3.07385454
-5.98199100,5.27607199,3.55269439,0.19817888,0.02522935,0.61821930,2.70758022,1.40986640,0.03107313,3.02123892
-5.97598799,5.19647959,3.49152582,0.19456117,0.02469037,0.62002612,2.68542318,1.38381725,0.03035541,2.96505498
-5.96998499,5.10767902,3.42658342,0.19085574,0.02407443,0.61988334,2.65932495,1.35484065,0.02960666,2.90549870
-5.96398199,5.01036190,3.35791899,0.18711081,0.02339397,0.61794675,2.62930784,1.32322665,0.02882889,2.84276362
-5.95797899,4.90531025,3.28559661,0.18337349,0.02266299,0.61440081,2.59541525,1.28930575,0.02802472,2.77705148
-5.95197599,4.79339207,3.20970959,0.17968955,0.02189657,0.60945181,2.55772029,1.25344293,0.02719741,2.70858312
-5.94597299,4.67555480,3.13039637,0.17610341,0.02111040,0.60332057,2.51633383,1.21603070,0.02635094,2.63760880
-5.93996998,4.55281626,3.04785420,0.17265822,0.02032020,0.59623520,2.47141154,1.17748117,0.02548997,2.56441713
-5.93396698,4.42625321,2.96234942,0.16939593,0.01954123,0.58842402,2.42315928,1.13821752,0.02461977,2.48934157
-5.92796398,4.29698750,2.87422385,0.16635757,0.01878778,0.58010916,2.37183639,1.09866519,0.02374618,2.41276432
-5.92196098,4.16617023,2.78389672,0.16358338,0.01807271,0.57150095,2.31775667,1.05924316,0.02287546,2.33511688
-5.91595798,4.03496441,2.69186209,0.16111305,0.01740703,0.56279332,2.26128687,1.02035558,0.02201415,2.25687741
-5.90995498,3.90452674,2.59868190,0.15898581,0.01679962,0.55416050,2.20284283,0.98238415,0.02116893,2.17856501
-5.90395198,3.77598909,2.50497530,0.15724054,0.01625701,0.54575480,2.14288342,0.94568149,0.02034642,2.10073105
-5.89794897,3.65044070,2.41140477,0.15591577,0.01578328,0.53770577,2.08190252,0.91056580,0.01955304,2.02394833
-5.89194597,3.52891148,2.31866018,0.15504956,0.01538004,0.53012040,2.02041968,0.87731687,0.01879489,1.94879858
-5.88594297,3.41235741,2.22744149,0.15467938,0.01504654,0.52308438,1.95896967,0.84617365,0.01807756,1.87585902
-5.87993997,3.30164828,2.13844130,0.15484176,0.01477987,0.51666422,1.89809157,0.81733333,0.01740608,1.80568874
-5.87393697,3.19755826,2.05232812,0.15557200,0.01457525,0.51090990,1.83831776,0.79095185,0.01678485,1.73881558
-5.86793397,3.10075959,1.96973106,0.15690366,0.01442637,0.50585797,1.78016328,0.76714583,0.01621759,1.67572415
-5.86193097,3.01181904,1.89122672,0.15886808,0.01432577,0.50153470,1.72411584,0.74599552,0.01570736,1.61684536
-5.85592796,2.93119733,1.81732864,0.16149368,0.01426528,0.49795921,1.67062670,0.72754875,0.01525658,1.56254794
-5.84992496,2.85925078,1.74847948,0.16480534,0.01423643,0.49514620,1.62010268,0.71182540,0.01486712,1.51313200
-5.84392196,2.79623485,1.68504603,0.16882361,0.01423085,0.49310823,1.57289917,0.69882220,0.01454031,1.46882469
-5.83791896,2.74230899,1.62731679,0.17356384,0.01424064,0.49185736,1.52931442,0.68851747,0.01427711,1.42977790
-5.83191596,2.69754195,1.57550189,0.17903531,0.01425868,0.49140609,1.48958476,0.68087557,0.01407814,1.39606776
-5.82591296,2.66191726,1.52973476,0.18524030,0.01427886,0.49176756,1.45388100,0.67585074,0.01394377,1.36769560
-5.81990995,2.63533797,1.49007520,0.19217308,0.01429627,0.49295494,1.42230565,0.67339016,0.01387423,1.34459018
-5.81390695,2.61763054,1.45651340,0.19981895,0.01430723,0.49498028,1.39489119,0.67343591,0.01386961,1.32661080
-5.80790395,2.60854734,1.42897420,0.20815327,0.01430937,0.49785265,1.37159918,0.67592601,0.01392991,1.31355104
