energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-4.09104552,2.97455637,0.01376014,0.33443792,1.63824399,1.14575036,0.00976712,1.26594221
-4.08504252,2.84696341,0.01270307,0.31453996,1.56670986,1.10061056,0.00950243,1.21330351
-4.07903952,2.71726859,0.01168606,0.29458962,1.49208489,1.05497653,0.00924743,1.15936012
-4.07303652,2.58615754,0.01072045,0.27472228,1.41495853,1.00899985,0.00900013,1.10444957
-4.06703352,2.45440256,0.00981622,0.25507599,1.33598973,0.96286851,0.00875810,1.04894790
-4.06103052,2.32284504,0.00898199,0.23578794,1.25588771,0.91680329,0.00851868,0.99326108
-4.05502751,2.19237579,0.00822499,0.21699105,1.17539136,0.87105308,0.00827914,0.93781559
-4.04902451,2.06391433,0.00755105,0.19881069,1.09524852,0.82588951,0.00803689,0.88304857
-4.04302151,1.93838776,0.00696462,0.18136170,1.01619573,0.78160100,0.00778965,0.82939796
-4.03701851,1.81671008,0.00646888,0.16474600,0.93893959,0.73848641,0.00753552,0.77729284
-4.03101551,1.69976244,0.00606572,0.14905047,0.86413995,0.69684853,0.00727314,0.72714449
-4.02501251,1.58837492,0.00575583,0.13434561,0.79239586,0.65698746,0.00700176,0.67933813
-4.01900950,1.48331017,0.00553877,0.12068453,0.72423428,0.61919420,0.00672125,0.63422565
-4.01300650,1.38524918,0.00541299,0.10810269,0.66010186,0.58374431,0.00643210,0.59211950
-4.00700350,1.29477949,0.00537591,0.09661802,0.60035992,0.55089212,0.00613540,0.55328765
-4.00100050,1.21238583,0.00542392,0.08623159,0.54528218,0.52086529,0.00583277,0.51794983
-3.99499750,1.13844349,0.00555243,0.07692863,0.49505550,0.49386013,0.00552626,0.48627496
-3.98899450,1.07321427,0.00575593,0.06867997,0.44978290,0.47003760,0.00521825,0.45837986
-3.98299150,1.01684524,0.00602799,0.06144369,0.40948871,0.44952030,0.00491135,0.43432910
-3.97698849,0.96937003,0.00636135,0.05516699,0.37412548,0.43239044,0.00460826,0.41413608
-3.97098549,0.93071292,0.00674795,0.04978814,0.34358214,0.41868892,0.00431163,0.39776520
-3.96498249,0.90069528,0.00717904,0.04523862,0.31769299,0.40841559,0.00402404,0.38513508
-3.95897949,0.87904444,0.00764529,0.04144505,0.29624728,0.40153069,0.00374781,0.37612273
-3.95297649,0.86540455,0.00813689,0.03833125,0.27899880,0.39795749,0.00348502,0.37056849
-3.94697349,0.85934920,0.00864375,0.03582010,0.26567538,0.39758588,0.00323739,0.36828177
-3.94097049,0.86039544,0.00915567,0.03383529,0.25598784,0.40027701,0.00300632,0.36904714
