energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-5.74187094,1.88041677,0.43387255,1.43344091,0.00552788,0.04661124,0.24240890,0.08322229,0.28372506,0.00000000
-5.73586793,1.90736125,0.44019799,1.44899536,0.00558750,0.04819925,0.25271115,0.08411368,0.28916316,0.00000000
-5.72986493,1.93319749,0.44606293,1.46384067,0.00566487,0.04970342,0.26333105,0.08480990,0.29429081,0.00000000
-5.72386193,1.95823899,0.45144976,1.47840678,0.00575787,0.05111124,0.27409237,0.08530029,0.29905072,0.00000000
-5.71785893,1.98284923,0.45635094,1.49316306,0.00586411,0.05241091,0.28482012,0.08558211,0.30339346,0.00000000
-5.71185593,2.00742207,0.46076638,1.50859792,0.00598097,0.05359145,0.29534383,0.08566030,0.30727724,0.00000000
-5.70585293,2.03236306,0.46470106,1.52519901,0.00610555,0.05464297,0.30550123,0.08554717,0.31066794,0.00000000
-5.69984992,2.05807261,0.46816330,1.54343466,0.00623471,0.05555695,0.31514230,0.08526189,0.31353937,0.00000000
-5.69384692,2.08493145,0.47116352,1.56373740,0.00636516,0.05632656,0.32413349,0.08482994,0.31587387,0.00000000
-5.68784392,2.11328894,0.47371370,1.58648982,0.00649353,0.05694706,0.33236209,0.08428250,0.31766317,0.00000000
-5.68184092,2.14345432,0.47582734,1.61201328,0.00661649,0.05741613,0.33974029,0.08365570,0.31890948,0.00000000
-5.67583792,2.17569097,0.47751994,1.64055958,0.00673089,0.05773426,0.34620906,0.08298998,0.31962660,0.00000000
-5.66983492,2.21021325,0.47880984,1.67230538,0.00683386,0.05790506,0.35174122,0.08232931,0.31984116,0.00000000
-5.66383192,2.24718559,0.47971921,1.70734946,0.00692298,0.05793545,0.35634377,0.08172048,0.31959359,0.00000000
-5.65782891,2.28672333,0.48027508,1.74571224,0.00699635,0.05783583,0.36005909,0.08121232,0.31893886,0.00000000
-5.65182591,2.32889455,0.48051017,1.78733744,0.00705275,0.05762004,0.36296491,0.08085501,0.31794676,0.00000000
-5.64582291,2.37372239,0.48046343,1.83209511,0.00709164,0.05730520,0.36517285,0.08069925,0.31670163,0.00000000
-5.63981991,2.42118713,0.48018007,1.87978600,0.00711325,0.05691141,0.36682560,0.08079549,0.31530146,0.00000000
-5.63381691,2.47122774,0.47971112,1.93014636,0.00711853,0.05646126,0.36809260,0.08119313,0.31385627,0.00000000
-5.62781391,2.52374234,0.47911232,1.98285331,0.00710918,0.05597921,0.36916452,0.08193960,0.31248581,0.00000000
-5.62181091,2.57858757,0.47844253,2.03753014,0.00708753,0.05549087,0.37024648,0.08307951,0.31131653,0.00000000
-5.61580790,2.63557679,0.47776164,2.09375151,0.00705645,0.05502207,0.37155050,0.08465362,0.31047802,0.00000000
-5.60980490,2.69447731,0.47712812,2.15104863,0.00701922,0.05459804,0.37328734,0.08669789,0.31009896,0.00000000
