energy_ev,total_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,4.04953133,1.16750120,0.69365775,1.34709918,0.81681956,0.01188734,0.87798397,0.01565456,1.82738841
-5.99399700,4.06518687,1.19590274,0.69446800,1.35311569,0.80713722,0.01173503,0.86312904,0.01590208,1.85820049
-5.98799400,4.06651432,1.21918697,0.69228051,1.35395494,0.79546254,0.01152386,0.84579985,0.01607616,1.88184912
-5.98199100,4.05383450,1.23705035,0.68718463,1.34982684,0.78202519,0.01125798,0.82633820,0.01617925,1.89810477
-5.97598799,4.02769406,1.24927299,0.67931489,1.34103802,0.76708040,0.01094225,0.80513140,0.01621583,1.90684196
-5.96998499,3.98885034,1.25572373,0.66884732,1.32798532,0.75090192,0.01058206,0.78260300,0.01619238,1.90804096
-5.96398199,3.93825189,1.25636293,0.65599493,1.31114712,0.73377503,0.01018322,0.75920279,0.01611717,1.90178725
-5.95797899,3.87701520,1.25124290,0.64100235,1.29107278,0.71598965,0.00975179,0.73539621,0.01600007,1.88826877
-5.95197599,3.80639836,1.24050598,0.62414007,1.26837049,0.69783384,0.00929395,0.71165370,0.01585230,1.86777128
-5.94597299,3.72777257,1.22438044,0.60569815,1.24369387,0.67958786,0.00881589,0.68844004,0.01568604,1.84067185
-5.93996998,3.64259225,1.20317441,0.58597995,1.21772781,0.66151885,0.00832364,0.66620407,0.01551410,1.80743097
-5.93396698,3.55236458,1.17726811,0.56529569,1.19117390,0.64387625,0.00782302,0.64536902,0.01534946,1.76858323
-5.92796398,3.45861929,1.14710468,0.54395628,1.16473579,0.62688799,0.00731956,0.62632352,0.01520492,1.72472719
-5.92196098,3.36287931,1.11317992,0.52226750,1.13910493,0.61075746,0.00681836,0.60941381,0.01509260,1.67651437
-5.91595798,3.26663305,1.07603142,0.50052457,1.11494703,0.59566131,0.00632410,0.59493694,0.01502361,1.62463781
-5.90995498,3.17130875,1.03622717,0.47900734,1.09288947,0.58174789,0.00584099,0.58313541,0.01500765,1.56982031
-5.90395198,3.07825134,0.99435421,0.45797606,1.07351003,0.56913645,0.00537272,0.57419317,0.01505270,1.51280260
-5.89794897,2.98870219,0.95100742,0.43766794,1.05732699,0.55791691,0.00492246,0.56823314,0.01516478,1.45433151
-5.89194597,2.90378203,0.90677879,0.41829437,1.04479087,0.54815020,0.00449286,0.56531629,0.01534778,1.39514838
-5.88594297,2.82447704,0.86224722,0.40003887,1.03627793,0.53986909,0.00408606,0.56544230,0.01560334,1.33597775
-5.87993997,2.75162839,0.81796920,0.38305583,1.03208529,0.53307945,0.00370371,0.56855164,0.01593088,1.27751651
-5.87393697,2.68592505,0.77447032,0.36746989,1.03242795,0.52776192,0.00334698,0.57452923,0.01632761,1.22042360
-5.86793397,2.62789996,0.73223772,0.35337595,1.03743741,0.52387389,0.00301660,0.58320939,0.01678874,1.16531034
-5.86193097,2.57792928,0.69171366,0.34083982,1.04716202,0.52135182,0.00271289,0.59438192,0.01730767,1.11273166
-5.85592796,2.53623475,0.65329002,0.32989931,1.06156893,0.52011374,0.00243578,0.60779924,0.01787627,1.06317828
