energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,8.89697220,0.07198741,0.53196145,2.08151765,5.36823093,1.82370921,0.34803694,3.16980304,0.00000000
-5.99399700,9.25662001,0.07480538,0.55121646,2.11741824,5.61752939,1.87212422,0.36482786,3.28402158,0.00000000
-5.98799400,9.60497215,0.07741716,0.56922331,2.15409761,5.85990351,1.91688483,0.38127772,3.39421042,0.00000000
-5.98199100,9.93584341,0.07976208,0.58542158,2.18965005,6.09234695,1.95640598,0.39708614,3.49786344,0.00000000
-5.97598799,10.24371636,0.08178669,0.59929623,2.22228862,6.31223643,1.98925415,0.41198048,3.59271937,0.00000000
-5.96998499,10.52388764,0.08344625,0.61039317,2.25039986,6.51739081,2.01419360,0.42572405,3.67682698,0.00000000
-5.96398199,10.77258170,0.08470595,0.61833291,2.27259087,6.70611117,2.03022537,0.43812324,3.74859843,0.00000000
-5.95797899,10.98702797,0.08554182,0.62282168,2.28772713,6.87720054,2.03661754,0.44903312,3.80684879,0.00000000
-5.95197599,11.16549885,0.08594123,0.62365955,2.29496004,7.02996269,2.03292577,0.45836133,3.85082049,0.00000000
-5.94597299,11.30730835,0.08590303,0.62074533,2.29374370,7.16418084,2.01900354,0.46607013,3.88019205,0.00000000
-5.93996998,11.41277253,0.08543733,0.61407805,2.28384076,7.28007808,1.99500200,0.47217653,3.89507108,0.00000000
-5.93396698,11.48313537,0.08456480,0.60375500,2.26531777,7.37826219,1.96135951,0.47675049,3.89597256,0.00000000
-5.92796398,11.52046489,0.08331576,0.58996658,2.23853090,7.45965860,1.91878186,0.47991138,3.88378375,0.00000000
-5.92196098,11.52752594,0.08172886,0.57298806,2.20410313,7.52543564,1.86821403,0.48182283,3.85971782,0.00000000
-5.91595798,11.50763682,0.07984954,0.55316883,2.16289459,7.57692663,1.81080502,0.48268632,3.82525885,0.00000000
-5.90995498,11.46451767,0.07772836,0.53091965,2.11596764,7.61555336,1.74786737,0.48273374,3.78210087,0.00000000
-5.90395198,11.40213813,0.07541918,0.50669838,2.06454861,7.64275505,1.68083319,0.48221931,3.73208405,0.00000000
-5.89794897,11.32457157,0.07297731,0.48099493,2.00998788,7.65992665,1.61120847,0.48141131,3.67713079,0.00000000
-5.89194597,11.23586222,0.07045778,0.45431611,1.95372015,7.66836915,1.54052754,0.48058379,3.61918454,0.00000000
-5.88594297,11.13991006,0.06791362,0.42717079,1.89722621,7.66925380,1.47030942,0.48000872,3.56015360,0.00000000
-5.87993997,11.04037701,0.06539442,0.40005616,1.84199752,7.66360101,1.40201734,0.47994886,3.50186178,0.00000000
-5.87393697,10.94061618,0.06294505,0.37344537,1.78950431,7.65227357,1.33702289,0.48065133,3.44600718,0.00000000
-5.86793397,10.84362417,0.06060466,0.34777700,1.74116788,7.63598279,1.27657556,0.48234232,3.39412991,0.00000000
-5.86193097,10.75201516,0.05840598,0.32344651,1.69833701,7.61530534,1.22177840,0.48522278,3.34758873,0.00000000
-5.85592796,10.66801384,0.05637483,0.30079981,1.66226849,7.59070785,1.17357002,0.48946506,3.30754630,0.00000000
-5.84992496,10.59346359,0.05453003,0.28012906,1.63411121,7.56257598,1.13271294,0.49521062,3.27496224,0.00000000
-5.84392196,10.52984547,0.05288344,0.26167034,1.61489319,7.53124435,1.09978820,0.50256850,3.25059263,0.00000000
-5.83791896,10.47830353,0.05144030,0.24560328,1.60551087,7.49702427,1.07519546,0.51161444,3.23499473,0.00000000
-5.83191596,10.43967199,0.05019972,0.23205215,1.60671983,7.46022624,1.05915826,0.52239061,3.22853540,0.00000000
-5.82591296,10.41450066,0.04915535,0.22108829,1.61912635,7.42117495,1.05173344,0.53490563,3.23140156,0.00000000
-5.81990995,10.40307543,0.04829614,0.21273353,1.64317920,7.38021559,1.05282403,0.54913484,3.24361181,0.00000000
-5.81390695,10.40543217,0.04760713,0.20696416,1.67916152,7.33771061,1.06219471,0.56502076,3.26502766,0.00000000
-5.80790395,10.42136304,0.04707029,0.20371546,1.72718251,7.29402768,1.07948896,0.58247354,3.29536413,0.00000000
-5.80190095,10.45041581,0.04666537,0.20288622,1.78716943,7.24951967,1.10424728,0.60137160,3.33419888,0.00000000
-5.79589795,10.49188751,0.04637064,0.20434333,1.85886014,7.20449905,1.13592557,0.62156234,3.38098016,0.00000000
-5.78989495,10.54481474,0.04616361,0.20792618,1.94179705,7.15920877,1.17391331,0.64286305,3.43503360,0.00000000
-5.78389195,10.60796358,0.04602164,0.21345086,2.03532328,7.11379274,1.21755086,0.66506221,3.49556850,0.00000000
-5.77788894,10.67982236,0.04592247,0.22071406,2.13858192,7.06826871,1.26614564,0.68792124,3.56168420,0.00000000
-5.77188594,10.75860038,0.04584467,0.22949675,2.25051948,7.02250625,1.31898687,0.71117682,3.63237749,0.00000000
-5.76588294,10.84223573,0.04576797,0.23956768,2.36989415,6.97621236,1.37535869,0.73454400,3.70655165,0.00000000
-5.75987994,10.92841425,0.04567351,0.25068673,2.49528975,6.92892631,1.43455158,0.75772013,3.78302810,0.00000000
-5.75387694,11.01460147,0.04554403,0.26260821,2.62513556,6.88002512,1.49587206,0.78038966,3.86056090,0.00000000
-5.74787394,11.09808774,0.04536400,0.27508412,2.75773215,6.82873987,1.55865078,0.80222980,3.93785475,0.00000000
-5.74187094,11.17604630,0.04511973,0.28786746,2.89128300,6.77418240,1.62224885,0.82291697,4.01358621,0.00000000
-5.73586793,11.24560264,0.04479936,0.30071561,3.02393093,6.71538143,1.68606281,0.84213394,4.08642809,0.00000000
-5.72986493,11.30391253,0.04439295,0.31339364,3.15379864,6.65132599,1.74952801,0.85957733,4.15507631,0.00000000
-5.72386193,11.34824557,0.04389247,0.32567773,3.27903153,6.58101398,1.81212080,0.87496529,4.21827835,0.00000000
-5.71785893,11.37607021,0.04329184,0.33735836,3.39784167,6.50350313,1.87335939,0.88804505,4.27486230,0.00000000
-5.71185593,11.38513606,0.04258696,0.34824346,3.50855058,6.41796142,1.93280371,0.89859995,4.32376515,0.00000000
-5.70585293,11.37354924,0.04177568,0.35816112,3.60962951,6.32371409,1.99005416,0.90645559,4.36405902,0.00000000
-5.69984992,11.33983670,0.04085788,0.36696206,3.69973505,6.22028472,2.04474952,0.91148488,4.39497409,0.00000000
-5.69384692,11.28299621,0.03983546,0.37452143,3.77773869,6.10742803,2.09656420,0.91361156,4.41591698,0.00000000
-5.68784392,11.20252914,0.03871231,0.38074021,3.84274911,5.98515276,2.14520480,0.91281212,4.42648361,0.00000000
-5.68184092,11.09845456,0.03749433,0.38554583,3.89412614,5.85373348,2.19040645,0.90911591,4.42646589,0.00000000
-5.67583792,10.97130387,0.03618933,0.38889221,3.93148607,5.71371086,2.23192905,0.90260333,4.41585188,0.00000000
-5.66983492,10.82209658,0.03480697,0.39075911,3.95469835,5.56588081,2.26955366,0.89340239,4.39481941,0.00000000
-5.66383192,10.65229889,0.03335863,0.39115086,3.96387412,5.41127314,2.30307956,0.88168356,4.36372362,0.00000000
-5.65782891,10.46376750,0.03185721,0.39009459,3.95934761,5.25112141,2.33232211,0.86765330,4.32307916,0.00000000
-5.65182591,10.25868224,0.03031696,0.38763804,3.94165158,5.08682569,2.35711190,0.85154662,4.27353811,0.00000000
-5.64582291,10.03947134,0.02875318,0.38384700,3.91148867,4.91991050,2.37729543,0.83361901,4.21586491,0.00000000
-5.63981991,9.80873356,0.02718204,0.37880264,3.86970002,4.75198019,2.39273751,0.81413812,4.15090978,0.00000000
-5.63381691,9.56916140,0.02562019,0.37259883,3.81723340,4.58467426,2.40332566,0.79337578,4.07958197,0.00000000
-5.62781391,9.32346935,0.02408454,0.36533947,3.75511210,4.41962463,2.40897635,0.77160059,4.00282436,0.00000000
-5.62181091,9.07433039,0.02259195,0.35713612,3.68440642,4.25841682,2.40964299,0.74907144,3.92159049,0.00000000
-5.61580790,8.82432337,0.02115895,0.34810582,3.60620883,4.10255661,2.40532542,0.72603236,3.83682510,0.00000000
-5.60980490,8.57589285,0.01980149,0.33836929,3.52161350,3.95344312,2.39608028,0.70270868,3.74944863,0.00000000
-5.60380190,8.33132210,0.01853474,0.32804948,3.43170087,3.81234898,2.38203169,0.67930476,3.66034609,0.00000000
-5.59779890,8.09271865,0.01737294,0.31727041,3.33752695,3.68040743,2.36338144,0.65600310,3.57036013,0.00000000
-5.59179590,7.86201125,0.01632921,0.30615630,3.24011720,3.55860615,2.34041784,0.63296476,3.48028784,0.00000000
-5.58579290,7.64095598,0.01541549,0.29483087,3.14046410,3.44778670,2.31352221,0.61033092,3.39088063,0.00000000
-5.57978989,7.43114866,0.01464250,0.28341681,3.03952743,3.34864858,2.28317232,0.58822523,3.30284611,0.00000000
-5.57378689,7.23404074,0.01401966,0.27203522,2.93823613,3.26175648,2.24994174,0.56675663,3.21685105,0.00000000
-5.56778389,7.05095513,0.01355512,0.26080496,2.83749054,3.18754910,2.21449475,0.54602234,3.13352414,0.00000000
-5.56178089,6.88309925,0.01325575,0.24984189,2.73816383,3.12634823,2.17757620,0.52611068,3.05345772,0.00000000
-5.55577789,6.73157252,0.01312711,0.23925781,2.64110162,3.07836671,2.13999623,0.50710346,2.97720747,0.00000000
-5.54977489,6.59736640,0.01317347,0.22915924,2.54711911,3.04371411,2.10261008,0.48907759,2.90528957,0.00000000
-5.54377189,6.48135579,0.01339778,0.21964589,2.45699510,3.02239941,2.06629357,0.47210597,2.83817495,0.00000000
-5.53776888,6.38428151,0.01380161,0.21080884,2.37146296,3.01433027,2.03191475,0.45625736,2.77628065,0.00000000
-5.53176588,6.30672439,0.01438507,0.20272869,2.29119856,3.01930878,2.00030326,0.44159542,2.71995873,0.00000000
-5.52576288,6.24907251,0.01514672,0.19547349,2.21680590,3.03702412,1.97221832,0.42817688,2.66948330,0.00000000
-5.51975988,6.21148378,0.01608346,0.18909676,2.14880098,3.06704293,1.94831716,0.41604914,2.62503657,0.00000000
-5.51375688,6.19384659,0.01719040,0.18363559,2.08759524,3.10879812,1.92912531,0.40524742,2.58669510,0.00000000
-5.50775388,6.19574189,0.01846070,0.17910910,2.03347943,3.16157773,1.91501027,0.39579178,2.55441736,0.00000000
-5.50175088,6.21640981,0.01988548,0.17551721,1.98660937,3.22451500,1.90616029,0.38768425,2.52803379,0.00000000
-5.49574787,6.25472445,0.02145370,0.17283992,1.94699459,3.29658111,1.90256919,0.38090642,2.50724063,0.00000000
-5.48974487,6.30917949,0.02315205,0.17103717,1.91449105,3.37658209,1.90402850,0.37541765,2.49159819,0.00000000
-5.48374187,6.37788739,0.02496499,0.17004942,1.88879874,3.46316093,1.91012749,0.37115424,2.48053463,0.00000000
-5.47773887,6.45859389,0.02687475,0.16979883,1.86946483,3.55480613,1.92026132,0.36802951,2.47335532,0.00000000
-5.47173587,6.54870886,0.02886143,0.17019115,1.85589274,3.64986715,1.93364738,0.36593519,2.46925819,0.00000000
-5.46573287,6.64535371,0.03090318,0.17111830,1.84735711,3.74657725,1.94934903,0.36474381,2.46735460,0.00000000
-5.45972986,6.74542446,0.03297652,0.17246147,1.84302450,3.84308352,1.96630619,0.36431227,2.46669538,0.00000000
-5.45372686,6.84566911,0.03505661,0.17409473,1.84197911,3.93748375,1.98337129,0.36448644,2.46630093,0.00000000
-5.44772386,6.94277660,0.03711776,0.17588899,1.84325283,4.02786916,1.99934915,0.36510653,2.46519456,0.00000000
-5.44172086,7.03347444,0.03913392,0.17771617,1.84585840,4.11237176,2.01303929,0.36601306,2.46243751,0.00000000
-5.43571786,7.11463128,0.04107926,0.17945344,1.84882451,4.18921479,2.02327865,0.36705326,2.45716442,0.00000000
-5.42971486,7.18336029,0.04292882,0.18098731,1.85123137,4.25676445,2.02898310,0.36808741,2.44861752,0.00000000
-5.42371186,7.23711934,0.04465918,0.18221748,1.85224543,4.31358076,2.02918596,0.36899508,2.43617840,0.00000000
-5.41770885,7.27380352,0.04624911,0.18306028,1.85115165,4.35846558,2.02307205,0.36968077,2.41939561,0.00000000
-5.41170585,7.29182609,0.04768029,0.18345147,1.84738205,4.39050569,2.01000584,0.37007886,2.39800712,0.00000000
-5.40570285,7.29018417,0.04893789,0.18334847,1.84053918,4.40910879,1.98955282,0.37015740,2.37195639,0.00000000
-5.39969985,7.26850595,0.05001114,0.18273175,1.83041362,4.41403072,1.96149328,0.36992082,2.34140138,0.00000000
-5.39369685,7.22707706,0.05089377,0.18160540,1.81699435,4.40539221,1.92582815,0.36941116,2.30671577,0.00000000
-5.38769385,7.16684414,0.05158430,0.17999684,1.80047173,4.38368417,1.88277703,0.36870774,2.26848236,0.00000000
-5.38169085,7.08939496,0.05208627,0.17795570,1.78123251,4.34976042,1.83276851,0.36792537,2.22747838,0.00000000
-5.37568784,6.99691498,0.05240813,0.17555182,1.75984705,4.30481780,1.77642366,0.36721086,2.18465334,0.00000000
-5.36968484,6.89212124,0.05256311,0.17287252,1.73704898,4.25036366,1.71453335,0.36673811,2.14109977,0.00000000
