energy_ev,total_up,Ir_p_up,Ir_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,1.40256571,0.29546532,0.95881419,0.30563009,0.01476372,0.28313364,0.00000000
-5.99399700,1.30178027,0.27121682,0.89398986,0.29027897,0.01378066,0.25634937,0.00000000
-5.98799400,1.20496826,0.24878068,0.83091776,0.27442141,0.01280930,0.23180789,0.00000000
-5.98199100,1.11257130,0.22827647,0.76988405,0.25819591,0.01185559,0.20956063,0.00000000
-5.97598799,1.02501958,0.20981117,0.71118120,0.24175426,0.01092540,0.18963850,0.00000000
-5.96998499,0.94273251,0.19348253,0.65510520,0.22525726,0.01002446,0.17205716,0.00000000
-5.96398199,0.86611743,0.17938181,0.60195150,0.20887017,0.00915826,0.15682162,0.00000000
-5.95797899,0.79556640,0.16759563,0.55200991,0.19275800,0.00833194,0.14393012,0.00000000
-5.95197599,0.73145148,0.15820695,0.50555887,0.17708099,0.00755023,0.13337707,0.00000000
-5.94597299,0.67411855,0.15129493,0.46285934,0.16199033,0.00681733,0.12515489,0.00000000
-5.93996998,0.62388032,0.14693384,0.42414868,0.14762434,0.00613687,0.11925482,0.00000000
-5.93396698,0.58100846,0.14519090,0.38963480,0.13410528,0.00551185,0.11566664,0.00000000
-5.92796398,0.54572561,0.14612317,0.35949080,0.12153681,0.00494458,0.11437733,0.00000000
-5.92196098,0.51819715,0.14977359,0.33385027,0.11000210,0.00443672,0.11536897,0.00000000
-5.91595798,0.49852335,0.15616641,0.31280340,0.09956272,0.00398928,0.11861568,0.00000000
-5.90995498,0.48673190,0.16530211,0.29639396,0.09025821,0.00360261,0.12408024,0.00000000
-5.90395198,0.48277131,0.17715214,0.28461718,0.08210626,0.00327647,0.13171017,0.00000000
-5.89794897,0.48650516,0.19165370,0.27741851,0.07510349,0.00301012,0.14143383,0.00000000
-5.89194597,0.49770772,0.20870490,0.27469325,0.06922668,0.00280232,0.15315660,0.00000000
-5.88594297,0.51606091,0.22816061,0.27628708,0.06443438,0.00265142,0.16675756,0.00000000
-5.87993997,0.54115314,0.24982931,0.28199736,0.06066887,0.00255545,0.18208670,0.00000000
-5.87393697,0.57248002,0.27347122,0.29157525,0.05785828,0.00251216,0.19896319,0.00000000
-5.86793397,0.60944737,0.29879803,0.30472868,0.05591890,0.00251905,0.21717463,0.00000000
-5.86193097,0.65137657,0.32547437,0.32112606,0.05475751,0.00257347,0.23647768,0.00000000
-5.85592796,0.69751252,0.35312123,0.34040082,0.05427376,0.00267263,0.25660005,0.00000000
-5.84992496,0.74703412,0.38132141,0.36215672,0.05436256,0.00281364,0.27724393,0.00000000
-5.84392196,0.79906734,0.40962678,0.38597400,0.05491637,0.00299351,0.29809087,0.00000000
-5.83791896,0.85270071,0.43756754,0.41141610,0.05582742,0.00320920,0.31880799,0.00000000
-5.83191596,0.90700281,0.46466285,0.43803723,0.05698983,0.00345762,0.33905540,0.00000000
-5.82591296,0.96104156,0.49043283,0.46539032,0.05830157,0.00373564,0.35849451,0.00000000
-5.81990995,1.01390451,0.51441126,0.49303543,0.05966630,0.00404010,0.37679700,0.00000000
-5.81390695,1.06471980,0.53615860,0.52054835,0.06099500,0.00436782,0.39365403,0.00000000
-5.80790395,1.11267680,0.55527470,0.54752920,0.06220741,0.00471564,0.40878541,0.00000000
-5.80190095,1.15704586,0.57141081,0.57361073,0.06323320,0.00508043,0.42194819,0.00000000
-5.79589795,1.19719631,0.58428007,0.59846616,0.06401295,0.00545911,0.43294444,0.00000000
-5.78989495,1.23261205,0.59366631,0.62181621,0.06449876,0.00584875,0.44162770,0.00000000
-5.78389195,1.26290407,0.59943049,0.64343505,0.06465464,0.00624654,0.44790793,0.00000000
-5.77788894,1.28781928,0.60151461,0.66315506,0.06445656,0.00664992,0.45175458,0.00000000
-5.77188594,1.30724536,0.59994283,0.68087002,0.06389222,0.00705657,0.45319776,0.00000000
-5.76588294,1.32121125,0.59481975,0.69653664,0.06296048,0.00746454,0.45232728,0.00000000
-5.75987994,1.32988337,0.58632598,0.71017437,0.06167058,0.00787225,0.44928975,0.00000000
-5.75387694,1.33355743,0.57471116,0.72186326,0.06004109,0.00827855,0.44428369,0.00000000
-5.74787394,1.33264627,0.56028471,0.73174007,0.05809863,0.00868278,0.43755289,0.00000000
-5.74187094,1.32766418,0.54340484,0.73999249,0.05587651,0.00908475,0.42937838,0.00000000
-5.73586793,1.31920802,0.52446620,0.74685173,0.05341324,0.00948476,0.42006920,0.00000000
-5.72986493,1.30793610,0.50388683,0.75258363,0.05075094,0.00988356,0.40995239,0.00000000
