energy_ev,total_up,As_p_up,As_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,1.98770179,0.85436327,0.00000000,1.60109592,0.96697051,0.00195852,0.44534068
-5.99399700,2.07122081,0.88749283,0.00000000,1.65061097,1.01350991,0.00196808,0.46683857
-5.98799400,2.15338808,0.92012555,0.00000000,1.69463709,1.06091888,0.00197814,0.48804178
-5.98199100,2.23426661,0.95238448,0.00000000,1.73328833,1.10928579,0.00198815,0.50888157
-5.97598799,2.31409643,0.98447575,0.00000000,1.76693648,1.15875376,0.00199834,0.52932180
-5.96998499,2.39329110,1.01668804,0.00000000,1.79621180,1.20951936,0.00200966,0.54935743
-5.96398199,2.47242882,1.04938926,0.00000000,1.82199546,1.26182949,0.00202377,0.56901222
-5.95797899,2.55223806,1.08302036,0.00000000,1.84540382,1.31597637,0.00204300,0.58833558
-5.95197599,2.63357784,1.11808621,0.00000000,1.86776474,1.37229061,0.00207028,0.60739881
-5.94597299,2.71741305,1.15514354,0.00000000,1.89058639,1.43113228,0.00210910,0.62629077
-5.93996998,2.80478540,1.19478632,0.00000000,1.91551928,1.49288024,0.00216339,0.64511328
-5.93396698,2.89678052,1.23762869,0.00000000,1.94431265,1.55791973,0.00223747,0.66397612
-5.92796398,2.99449217,1.28428592,0.00000000,1.97876608,1.62662860,0.00233593,0.68299207
-5.92196098,3.09898434,1.33535400,0.00000000,2.02067783,1.69936237,0.00246349,0.70227183
-5.91595798,3.21125227,1.39138834,0.00000000,2.07179116,1.77643873,0.00262494,0.72191901
-5.90995498,3.33218352,1.45288236,0.00000000,2.13373992,1.85812175,0.00282493,0.74202523
-5.90395198,3.46251993,1.52024661,0.00000000,2.20799507,1.94460636,0.00306785,0.76266537
-5.89794897,3.60282188,1.59378923,0.00000000,2.29581343,2.03600379,0.00335772,0.78389300
-5.89194597,3.75343569,1.67369835,0.00000000,2.39819002,2.13232828,0.00369798,0.80573602
-5.88594297,3.91446524,1.76002730,0.00000000,2.51581560,2.23348578,0.00409136,0.82819269
-5.87993997,4.08574904,1.85268297,0.00000000,2.64904057,2.33926506,0.00453974,0.85122794
-5.87393697,4.26684330,1.95141797,0.00000000,2.79784661,2.44933168,0.00504401,0.87477035
-5.86793397,4.45701218,2.05582702,0.00000000,2.96182725,2.56322510,0.00560391,0.89870971
-5.86193097,4.65522568,2.16534756,0.00000000,3.14017846,2.68035929,0.00621800,0.92289558
-5.85592796,4.86016579,2.27926493,0.00000000,3.33170004,2.80002689,0.00688348,0.94713690
-5.84992496,5.07024114,2.39672189,0.00000000,3.53480864,2.92140694,0.00759625,0.97120303
-5.84392196,5.28361037,2.51673226,0.00000000,3.74756267,3.04357611,0.00835079,0.99482627
-5.83791896,5.49821394,2.63819845,0.00000000,3.96769921,3.16552319,0.00914027,1.01770617
-5.83191596,5.71181399,2.75993224,0.00000000,4.19268253,3.28616646,0.00995655,1.03951563
-5.82591296,5.92204149,2.88067832,0.00000000,4.41976356,3.40437360,0.01079035,1.05990899
-5.81990995,6.12644972,2.99913992,0.00000000,4.64604894,3.51898353,0.01163136,1.07853181
-5.81390695,6.32257271,3.11400572,0.00000000,4.86857816,3.62882973,0.01246845,1.09503232
-5.80790395,6.50798717,3.22397747,0.00000000,5.08440654,3.73276432,0.01328993,1.10907425
-5.80190095,6.68037607,3.32779731,0.00000000,5.29069171,3.82968237,0.01408378,1.12035054
-5.79589795,6.83759200,3.42427436,0.00000000,5.48478066,3.91854577,0.01483797,1.12859750
-5.78989495,6.97771842,3.51230966,0.00000000,5.66429445,3.99840614,0.01554076,1.13360879
