energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-5.77188594,8.07768236,0.02645457,0.57126640,0.46887843,0.85564835,3.78592329,4.73861498,2.15842731,0.00000000
-5.76588294,7.87703727,0.02528585,0.55846685,0.45659179,0.82768041,3.63420492,4.64472142,2.08835332,0.00000000
-5.75987994,7.68898747,0.02417282,0.54813939,0.44735116,0.79919821,3.49473546,4.55795200,2.02002613,0.00000000
-5.75387694,7.51902983,0.02312916,0.54063931,0.44131994,0.77083366,3.36915025,4.48181841,1.95479892,0.00000000
-5.74787394,7.37253987,0.02216965,0.53629282,0.43865250,0.74323010,3.25905808,4.41972617,1.89403911,0.00000000
-5.74187094,7.25460613,0.02130952,0.53538740,0.43948814,0.71702261,3.16598721,4.37487233,1.83908428,0.00000000
-5.73586793,7.16987084,0.02056380,0.53816289,0.44394487,0.69281878,3.09133270,4.35014770,1.79119896,0.00000000
-5.72986493,7.12238333,0.01994655,0.54480355,0.45211350,0.67118073,3.03630771,4.34804734,1.75153414,0.00000000
-5.72386193,7.11547120,0.01947027,0.55543131,0.46405216,0.65260902,3.00190076,4.37059213,1.72109112,0.00000000
-5.71785893,7.15163366,0.01914521,0.57010055,0.47978170,0.63752910,2.98884062,4.41926411,1.70069095,0.00000000
-5.71185593,7.23246034,0.01897891,0.58879436,0.49928188,0.62628058,2.99757017,4.49495733,1.69095053,0.00000000
-5.70585293,7.35857761,0.01897568,0.61142252,0.52248870,0.61910971,3.02822988,4.59794560,1.69226609,0.00000000
-5.69984992,7.52962343,0.01913630,0.63782121,0.54929276,0.61616514,3.08065125,4.72786775,1.70480412,0.00000000
-5.69384692,7.74425064,0.01945778,0.66775435,0.57953879,0.61749698,3.15435982,4.88373034,1.72850005,0.00000000
-5.68784392,8.00015759,0.01993328,0.70091668,0.61302624,0.62305893,3.24858745,5.06392743,1.76306405,0.00000000
-5.68184092,8.29414442,0.02055212,0.73693837,0.64951081,0.63271349,3.36229257,5.26627635,1.80799354,0.00000000
-5.67583792,8.62219250,0.02129992,0.77539113,0.68870701,0.64623957,3.49418753,5.48806818,1.86259166,0.00000000
-5.66983492,8.97956398,0.02215892,0.81579565,0.73029147,0.66334254,3.64277146,5.72613126,1.92599064,0.00000000
-5.66383192,9.36091836,0.02310832,0.85763026,0.77390699,0.68366597,3.80636732,5.97690582,1.99717920,0.00000000
-5.65782891,9.76044247,0.02412479,0.90034066,0.81916722,0.70680485,3.98316161,6.23652783,2.07503289,0.00000000
-5.65182591,10.17199033,0.02518305,0.94335047,0.86566191,0.73231973,4.17124529,6.50091971,2.15834618,0.00000000
-5.64582291,10.58922919,0.02625648,0.98607242,0.91296258,0.75975140,4.36865452,6.76588584,2.24586540,0.00000000
-5.63981991,11.00578804,0.02731789,1.02792003,0.96062857,0.78863562,4.57340991,7.02721048,2.33632149,0.00000000
-5.63381691,11.41540506,0.02834018,1.06831936,1.00821337,0.81851755,4.78355324,7.28075569,2.42846150,0.00000000
-5.62781391,11.81207028,0.02929713,1.10672072,1.05527121,0.84896542,4.99718041,7.52255705,2.52107814,0.00000000
-5.62181091,12.19016003,0.03016409,1.14260983,1.10136370,0.87958312,5.21247006,7.74891464,2.61303647,0.00000000
-5.61580790,12.54455982,0.03091874,1.17551832,1.14606648,0.91002124,5.42770693,7.95647708,2.70329713,0.00000000
-5.60980490,12.87077255,0.03154167,1.20503306,1.18897579,0.93998643,5.64129972,8.14231642,2.79093567,0.00000000
-5.60380190,13.16500913,0.03201699,1.23080410,1.22971471,0.96924867,5.85179308,8.30399174,2.87515730,0.00000000
-5.59779890,13.42425932,0.03233276,1.25255089,1.26793907,0.99764624,6.05787386,8.43959982,2.95530721,0.00000000
-5.59179590,13.64634073,0.03248139,1.27006655,1.30334284,1.02508837,6.25837179,8.54781134,3.03087596,0.00000000
-5.58579290,13.82992488,0.03245984,1.28322002,1.33566273,1.05155534,6.45225525,8.62789163,3.10150040,0.00000000
-5.57978989,13.97453988,0.03226975,1.29195599,1.36468220,1.07709608,6.63862289,8.67970532,3.16696007,0.00000000
-5.57378689,14.08054992,0.03191739,1.29629263,1.39023442,1.10182347,6.81669207,8.70370505,3.22716978,0.00000000
-5.56778389,14.14911289,0.03141353,1.29631720,1.41220438,1.12590730,6.98578543,8.70090464,3.28216867,0.00000000
-5.56178089,14.18211791,0.03077311,1.29217981,1.43052999,1.14956533,7.14531683,8.67283793,3.33210660,0.00000000
-5.55577789,14.18210558,0.03001490,1.28408556,1.44520225,1.17305275,7.29477800,8.62150496,3.37722857,0.00000000
-5.54977489,14.15217415,0.02916092,1.27228550,1.45626434,1.19665029,7.43372715,8.54930749,3.41785795,0.00000000
-5.54377189,14.09587521,0.02823595,1.25706688,1.46380991,1.22065160,7.56178063,8.45897639,3.45437931,0.00000000
-5.53776888,14.01710304,0.02726680,1.23874297,1.46798049,1.24535024,7.67860835,8.35349356,3.48722147,0.00000000
-5.53176588,13.91998134,0.02628166,1.21764320,1.46896204,1.27102674,7.78393341,8.23601107,3.51684154,0.00000000
