energy_ev,total_up,Ga_p_up,Ga_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,0.49905672,0.03868658,0.00000000,0.20705912,0.31467042,0.00115808,0.14980705
-5.99399700,0.51970482,0.04412676,0.00000000,0.23205912,0.32516038,0.00130506,0.14868101
-5.98799400,0.54506771,0.05006354,0.00000000,0.25969604,0.33834222,0.00146190,0.14899154
-5.98199100,0.57490441,0.05648030,0.00000000,0.28982744,0.35406057,0.00162718,0.15069951
-5.97598799,0.60888239,0.06335153,0.00000000,0.32225045,0.37210650,0.00179918,0.15374375
-5.96998499,0.64657441,0.07064221,0.00000000,0.35669817,0.39221677,0.00197590,0.15803953
-5.96398199,0.68745874,0.07830753,0.00000000,0.39283824,0.41407505,0.00215503,0.16347764
-5.95797899,0.73092296,0.08629286,0.00000000,0.43027377,0.43731517,0.00233405,0.16992447
-5.95197599,0.77627136,0.09453407,0.00000000,0.46854690,0.46152662,0.00251023,0.17722285
-5.94597299,0.82273607,0.10295818,0.00000000,0.50714506,0.48626189,0.00268070,0.18519396
-5.93996998,0.86949164,0.11148422,0.00000000,0.54550993,0.51104578,0.00284252,0.19364011
-5.93396698,0.91567262,0.12002455,0.00000000,0.58304890,0.53538612,0.00299279,0.20234846
-5.92796398,0.96039365,0.12848624,0.00000000,0.61914875,0.55878580,0.00312868,0.21109554
-5.92196098,1.00277144,0.13677278,0.00000000,0.65319110,0.58075541,0.00324756,0.21965246
-5.91595798,1.04194764,0.14478594,0.00000000,0.68456916,0.60082617,0.00334705,0.22779063
-5.90995498,1.07711191,0.15242773,0.00000000,0.71270497,0.61856261,0.00342514,0.23528770
-5.90395198,1.10752412,0.15960237,0.00000000,0.73706667,0.63357444,0.00348020,0.24193366
-5.89794897,1.13253494,0.16621838,0.00000000,0.75718480,0.64552711,0.00351111,0.24753663
-5.89194597,1.15160380,0.17219049,0.00000000,0.77266716,0.65415081,0.00351721,0.25192833
-5.88594297,1.16431365,0.17744162,0.00000000,0.78321140,0.65924730,0.00349842,0.25496878
-5.87993997,1.17038196,0.18190461,0.00000000,0.78861486,0.66069462,0.00345517,0.25655013
-5.87393697,1.16966740,0.18552382,0.00000000,0.78878121,0.65844928,0.00338840,0.25659947
-5.86793397,1.16217227,0.18825663,0.00000000,0.78372355,0.65254615,0.00329958,0.25508049
-5.86193097,1.14804043,0.19007462,0.00000000,0.77356385,0.64309594,0.00319059,0.25199382
-5.85592796,1.12755116,0.19096457,0.00000000,0.75852892,0.63028068,0.00306371,0.24737621
-5.84992496,1.10110925,0.19092921,0.00000000,0.73894291,0.61434727,0.00292151,0.24129849
-5.84392196,1.06923183,0.18998775,0.00000000,0.71521683,0.59559964,0.00276680,0.23386249
-5.83791896,1.03253267,0.18817603,0.00000000,0.68783566,0.57438981,0.00260254,0.22519697
-5.83191596,0.99170469,0.18554650,0.00000000,0.65734351,0.55110834,0.00243172,0.21545289
-5.82591296,0.94750138,0.18216780,0.00000000,0.62432761,0.52617447,0.00225733,0.20479817
-5.81990995,0.90071802,0.17812410,0.00000000,0.58940173,0.50002660,0.00208226,0.19341210
-5.81390695,0.85217325,0.17351415,0.00000000,0.55318981,0.47311312,0.00190923,0.18147987
-5.80790395,0.80269185,0.16844995,0.00000000,0.51631037,0.44588421,0.00174074,0.16918709
-5.80190095,0.75308909,0.16305523,0.00000000,0.47936221,0.41878472,0.00157903,0.15671491
-5.79589795,0.70415723,0.15746363,0.00000000,0.44291199,0.39224827,0.00142605,0.14423552
-5.78989495,0.65665442,0.15181671,0.00000000,0.40748390,0.36669275,0.00128345,0.13190847
-5.78389195,0.61129622,0.14626180,0.00000000,0.37355167,0.34251733,0.00115253,0.11987773
-5.77788894,0.56874983,0.14094972,0.00000000,0.34153308,0.32010083,0.00103433,0.10826953
-5.77188594,0.52963104,0.13603259,0.00000000,0.31178691,0.29980158,0.00092957,0.09719117
-5.76588294,0.49450373,0.13166166,0.00000000,0.28461217,0.28195849,0.00083869,0.08673046
-5.75987994,0.46388183,0.12798538,0.00000000,0.26024951,0.26689342,0.00076192,0.07695608
-5.75387694,0.43823342,0.12514770,0.00000000,0.23888455,0.25491454,0.00069926,0.06791847
-5.74787394,0.41798672,0.12328676,0.00000000,0.22065269,0.24632057,0.00065056,0.05965134
-5.74187094,0.40353758,0.12253404,0.00000000,0.20564528,0.24140568,0.00061550,0.05217353
-5.73586793,0.39525815,0.12301399,0.00000000,0.19391663,0.24046489,0.00059372,0.04549125
-5.72986493,0.39350626,0.12484416,0.00000000,0.18549165,0.24379950,0.00058476,0.03960046
-5.72386193,0.39863501,0.12813588,0.00000000,0.18037370,0.25172258,0.00058815,0.03448930
-5.71785893,0.41100213,0.13299542,0.00000000,0.17855242,0.26456387,0.00060342,0.03014049
-5.71185593,0.43097858,0.13952545,0.00000000,0.18001109,0.28267395,0.00063014,0.02653361
-5.70585293,0.45895565,0.14782686,0.00000000,0.18473351,0.30642716,0.00066794,0.02364709
-5.69984992,0.49535020,0.15800060,0.00000000,0.19270976,0.33622296,0.00071652,0.02145996
-5.69384692,0.54060719,0.17014943,0.00000000,0.20394098,0.37248519,0.00077566,0.01995330
-5.68784392,0.59519914,0.18437937,0.00000000,0.21844266,0.41565897,0.00084528,0.01911125
-5.68184092,0.65962187,0.20080051,0.00000000,0.23624643,0.46620488,0.00092536,0.01892164
-5.67583792,0.73438604,0.21952710,0.00000000,0.25740006,0.52459000,0.00101603,0.01937633
-5.66983492,0.82000448,0.24067664,0.00000000,0.28196572,0.59127586,0.00111748,0.02047104
-5.66383192,0.91697491,0.26436784,0.00000000,0.31001631,0.66670325,0.00123000,0.02220486
-5.65782891,1.02575848,0.29071723,0.00000000,0.34163003,0.75127398,0.00135396,0.02457954
-5.65182591,1.14675446,0.31983471,0.00000000,0.37688319,0.84533015,0.00148973,0.02759833
-5.64582291,1.28027183,0.35181770,0.00000000,0.41584161,0.94913146,0.00163773,0.03126475
-5.63981991,1.42649901,0.38674448,0.00000000,0.45855087,1.06283148,0.00179832,0.03558113
-5.63381691,1.58547283,0.42466664,0.00000000,0.50502589,1.18645399,0.00197179,0.04054712
-5.62781391,1.75704870,0.46560130,0.00000000,0.55524028,1.31987053,0.00215836,0.04615816
