energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.21496785,-1.15330425,0.45400783,-0.31682829,0.29314296,-0.24784622,0.34280688,-0.31826439,0.73794226,-0.04796673,0.00502207,-0.00473078,0.25146051,-0.07671537,0.02747333,-0.03265434,0.74651654,-0.51114596
-5.99399700,2.30472142,-1.13086104,0.47602876,-0.30657519,0.30446941,-0.24580980,0.36855934,-0.31146426,0.77120399,-0.04662353,0.00483979,-0.00476510,0.26385885,-0.07539272,0.02703121,-0.03242570,0.77613054,-0.49989375
-5.98799400,2.39943202,-1.10820477,0.49949920,-0.29757093,0.31671526,-0.24330455,0.39638077,-0.30400601,0.80525141,-0.04546567,0.00467669,-0.00479781,0.27691818,-0.07380072,0.02660630,-0.03208476,0.80739282,-0.48900173
-5.98199100,2.49767926,-1.08601481,0.52395407,-0.29004874,0.32964859,-0.24045181,0.42601254,-0.29611710,0.83975681,-0.04452601,0.00453070,-0.00482782,0.29058682,-0.07198716,0.02618476,-0.03164902,0.83966963,-0.47877363
-5.97598799,2.59796786,-1.06503694,0.54890983,-0.28423713,0.34301754,-0.23739705,0.45717066,-0.28804446,0.87437384,-0.04383880,0.00439926,-0.00485482,0.30480223,-0.07000711,0.02575274,-0.03113927,0.87230520,-0.46953579
-5.96998499,2.69876226,-1.04606438,0.57387467,-0.28035540,0.35655624,-0.23430557,0.48955137,-0.28004776,0.90874424,-0.04343888,0.00427953,-0.00487922,0.31949236,-0.06792107,0.02529717,-0.03057904,0.90463695,-0.46162977
-5.96398199,2.79852353,-1.02991506,0.59835889,-0.27860841,0.36999124,-0.23135706,0.52283777,-0.27239192,0.94250593,-0.04336076,0.00416850,-0.00490208,0.33457790,-0.06579295,0.02480641,-0.02999383,0.93601058,-0.45540315
-5.95797899,2.89574795,-1.01740542,0.62188530,-0.27918054,0.38304806,-0.22873938,0.55670743,-0.26533912,0.97530253,-0.04363749,0.00406319,-0.00492499,0.34997552,-0.06368786,0.02427083,-0.02941023,0.96579488,-0.45119883
-5.95197599,2.98900672,-1.00932189,0.64399939,-0.28222896,0.39545781,-0.22664152,0.59084070,-0.25914062,1.00679426,-0.04429944,0.00396073,-0.00494996,0.36560196,-0.06166997,0.02368330,-0.02885501,0.99339587,-0.44934322
-5.94597299,3.07698576,-1.00639103,0.66427914,-0.28787671,0.40696381,-0.22524627,0.62492968,-0.25402860,1.03666990,-0.04537300,0.00385854,-0.00497926,0.38137901,-0.05980025,0.02303948,-0.02835414,1.01826993,-0.45013365
-5.93996998,3.15852465,-1.00924960,0.68234421,-0.29620558,0.41732780,-0.22472276,0.65868752,-0.25020848,1.06465959,-0.04687927,0.00375436,-0.00501527,0.39723902,-0.05813444,0.02233806,-0.02793180,1.03993570,-0.45382562
-5.93396698,3.23265343,-1.01841586,0.69786427,-0.30724941,0.42633581,-0.22521926,0.69185759,-0.24785192,1.09054784,-0.04883274,0.00364640,-0.00506030,0.41313081,-0.05672117,0.02158073,-0.02760947,1.05798453,-0.46062054
