energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,3.77078186,0.02725408,0.44748317,0.10319417,2.52216059,1.32738883,0.04657979,1.75831695
-5.99399700,3.77527016,0.02812520,0.45210498,0.10386399,2.50302941,1.33484544,0.04688127,1.76008276
-5.98799400,3.78279634,0.02898993,0.45742172,0.10469033,2.48261772,1.34505851,0.04721203,1.76298070
-5.98199100,3.79464376,0.02984394,0.46365451,0.10569939,2.46207518,1.35853525,0.04758487,1.76746475
-5.97598799,3.81204414,0.03068245,0.47101871,0.10691481,2.44253905,1.37575364,0.04801366,1.77396015
-5.96998499,3.83614055,0.03150042,0.47971556,0.10835744,2.42510160,1.39714588,0.04851292,1.78285356
-5.96398199,3.86795322,0.03229268,0.48992395,0.11004530,2.41077924,1.42308259,0.04909725,1.79448509
-5.95797899,3.90834912,0.03305417,0.50179250,0.11199369,2.40048429,1.45385855,0.04978071,1.80914197
-5.95197599,3.95801603,0.03378013,0.51543246,0.11421548,2.39500021,1.48968029,0.05057623,1.82705406
-5.94597299,4.01744165,0.03446637,0.53091147,0.11672144,2.39496114,1.53065587,0.05149493,1.84839084
-5.93996998,4.08689802,0.03510950,0.54824866,0.11952058,2.40083598,1.57678732,0.05254549,1.87325972
-5.93396698,4.16643128,0.03570709,0.56741106,0.12262056,2.41291748,1.62796568,0.05373360,1.90170542
-5.92796398,4.25585665,0.03625785,0.58831174,0.12602786,2.43131639,1.68396892,0.05506142,1.93370985
-5.92196098,4.35475846,0.03676175,0.61080948,0.12974791,2.45596053,1.74446253,0.05652717,1.96919252
-5.91595798,4.46249460,0.03721998,0.63471027,0.13378502,2.48659863,1.80900288,0.05812490,2.00801089
-5.90995498,4.57820529,0.03763494,0.65977043,0.13814204,2.52280846,1.87704302,0.05984429,2.04996062
-5.90395198,4.70082532,0.03801009,0.68570133,0.14281982,2.56400895,1.94794071,0.06167071,2.09477571
-5.89794897,4.82909967,0.03834970,0.71217555,0.14781649,2.60947558,2.02096842,0.06358537,2.14212831
-5.89194597,4.96160176,0.03865859,0.73883424,0.15312643,2.65835862,2.09532501,0.06556566,2.19162851
-5.88594297,5.09675426,0.03894179,0.76529553,0.15873919,2.70970357,2.17014874,0.06758563,2.24282430
-5.87993997,5.23285201,0.03920411,0.79116355,0.16463826,2.76247338,2.24453127,0.06961658,2.29520199
-5.87393697,5.36808695,0.03944978,0.81603802,0.17079986,2.81557167,2.31753243,0.07162775,2.34818747
-5.86793397,5.50057477,0.03968202,0.83952384,0.17719178,2.86786678,2.38819550,0.07358717,2.40114871
-5.86193097,5.62838346,0.03990272,0.86124055,0.18377237,2.91821596,2.45556270,0.07546242,2.45339999
-5.85592796,5.74956327,0.04011208,0.88083143,0.19048982,2.96548947,2.51869077,0.07722149,2.50420806
-5.84992496,5.86217845,0.04030844,0.89797183,0.19728178,3.00859414,2.57666652,0.07883365,2.55280067
-5.84392196,5.96434023,0.04048812,0.91237669,0.20407534,3.04649614,2.62862209,0.08027020,2.59837760
-5.83791896,6.05424112,0.04064542,0.92380693,0.21078758,3.07824256,2.67375002,0.08150516,2.64012425
-5.83191596,6.13019010,0.04077270,0.93207477,0.21732651,3.10298165,2.71131782,0.08251595,2.67722767
-5.82591296,6.19064832,0.04086066,0.93704772,0.22359268,3.11998135,2.74068220,0.08328386,2.70889487
-5.81990995,6.23426481,0.04089861,0.93865130,0.22948116,3.12864579,2.76130252,0.08379446,2.73437289
-5.81390695,6.25991145,0.04087493,0.93687053,0.23488405,3.12852961,2.77275363,0.08403787,2.75297028
-5.80790395,6.26671640,0.04077759,0.93175007,0.23969339,3.11934968,2.77473771,0.08400896,2.76407907
-5.80190095,6.25409513,0.04059472,0.92339330,0.24380433,3.10099405,2.76709488,0.08370738,2.76719668
-5.79589795,6.22177797,0.04031520,0.91196023,0.24711852,3.07352772,2.74981241,0.08313752,2.76194679
-5.78989495,6.16983305,0.03992925,0.89766438,0.24954751,3.03719514,2.72303208,0.08230840,2.74809846
-5.78389195,6.09868360,0.03942901,0.88076879,0.25101607,2.99241911,2.68705533,0.08123346,2.72558234
-5.77788894,6.00911856,0.03880906,0.86158123,0.25146527,2.93979587,2.64234597,0.07993028,2.69450359
-5.77188594,5.90229546,0.03806680,0.84044862,0.25085519,2.88008644,2.58952983,0.07842030,2.65515038
-5.76588294,5.77973487,0.03720284,0.81775082,0.24916705,2.81420399,2.52939128,0.07672843,2.60799763
-5.75987994,5.64330572,0.03622112,0.79389390,0.24640483,2.74319746,2.46286614,0.07488268,2.55370553
-5.75387694,5.49520132,0.03512906,0.76930288,0.24259605,2.66823143,2.39103097,0.07291371,2.49311258
-5.74787394,5.33790597,0.03393745,0.74441403,0.23779196,2.59056285,2.31508856,0.07085435,2.42722308
-5.74187094,5.17415264,0.03266028,0.71966694,0.23206674,2.51151464,2.23634975,0.06873914,2.35718943
-5.73586793,5.00687230,0.03131447,0.69549623,0.22551618,2.43244711,2.15621187,0.06660379,2.28428949
-5.72986493,4.83913627,0.02991943,0.67232327,0.21825541,2.35472761,2.07613402,0.06448458,2.20989970
-5.72386193,4.67409268,0.02849661,0.65054783,0.21041621,2.27969939,1.99760995,0.06241783,2.13546481
-5.71785893,4.51489915,0.02706895,0.63053998,0.20214365,2.20865040,1.92213901,0.06043923,2.06246502
-5.71185593,4.36465342,0.02566032,0.61263235,0.19359241,2.14278309,1.85119603,0.05858327,1.99238179
-5.70585293,4.22632425,0.02429495,0.59711295,0.18492285,2.08318611,1.78620108,0.05688257,1.92666326
