energy_ev,total_up,Hf_p_up,Hf_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-6.00000000,0.74992167,0.60140707,0.20364001,0.13569862,0.00277321,0.38496784,0.00000000
-5.99399700,0.75931547,0.60655117,0.21477498,0.13249342,0.00269387,0.38523429,0.00000000
-5.98799400,0.77641379,0.61637877,0.22917456,0.13004884,0.00263318,0.38988153,0.00000000
-5.98199100,0.80181218,0.63131735,0.24701822,0.12846120,0.00259315,0.39921269,0.00000000
-5.97598799,0.83600285,0.65173414,0.26845049,0.12780615,0.00257549,0.41347052,0.00000000
-5.96998499,0.87935741,0.67792306,0.29357404,0.12813741,0.00258162,0.43283068,0.00000000
-5.96398199,0.93211070,0.71009197,0.32244295,0.12948592,0.00261259,0.45739566,0.00000000
-5.95797899,0.99434625,0.74835074,0.35505645,0.13185973,0.00266907,0.48718996,0.00000000
-5.95197599,1.06598428,0.79270081,0.39135361,0.13524445,0.00275133,0.52215656,0.00000000
-5.94597299,1.14677303,0.84302693,0.43120922,0.13960439,0.00285924,0.56215510,0.00000000
-5.93996998,1.23628426,0.89909175,0.47443141,0.14488424,0.00299222,0.60696206,0.00000000
-5.93396698,1.33391367,0.96053384,0.52076126,0.15101146,0.00314927,0.65627318,0.00000000
-5.92796398,1.43888681,1.02686966,0.56987457,0.15789916,0.00332899,0.70970814,0.00000000
-5.92196098,1.55027080,1.09749986,0.62138623,0.16544946,0.00352955,0.76681787,0.00000000
-5.91595798,1.66699202,1.17172001,0.67485688,0.17355726,0.00374879,0.82709413,0.00000000
-5.90995498,1.78785955,1.24873567,0.72980210,0.18211427,0.00398419,0.88998134,0.00000000
-5.90395198,1.91159375,1.32768143,0.78570366,0.19101307,0.00423302,0.95489036,0.00000000
-5.89794897,2.03685903,1.40764338,0.84202258,0.20015117,0.00449229,1.02121351,0.00000000
-5.89194597,2.16229969,1.48768402,0.89821339,0.20943477,0.00475892,1.08834055,0.00000000
-5.88594297,2.28657712,1.56686867,0.95373904,0.21878203,0.00502979,1.15567457,0.00000000
-5.87993997,2.40840681,1.64429199,1.00808566,0.22812570,0.00530177,1.22264717,0.00000000
-5.87393697,2.52659313,1.71910342,1.06077643,0.23741495,0.00557189,1.28873214,0.00000000
-5.86793397,2.64006023,1.79053018,1.11138382,0.24661614,0.00583733,1.35345671,0.00000000
