energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.77800288,0.07662658,0.48393013,0.50246316,0.75284647,0.03434596,0.62984614,0.21711629,0.07041855
-5.99399700,2.86171320,0.08029555,0.50091592,0.52229344,0.78303126,0.03554125,0.64477994,0.22340968,0.07265257
-5.98799400,2.95335885,0.08388824,0.51867175,0.54523710,0.81341723,0.03675517,0.66290129,0.23034634,0.07512981
-5.98199100,3.04926851,0.08731165,0.53653117,0.57065071,0.84302942,0.03794145,0.68342562,0.23762849,0.07776679
-5.97598799,3.14582765,0.09047531,0.55384838,0.59786547,0.87092594,0.03905619,0.70555739,0.24496386,0.08047879
-5.96998499,3.23956445,0.09329392,0.57001433,0.62619908,0.89622347,0.04005888,0.72850696,0.25207292,0.08318182
-5.96398199,3.32723110,0.09568980,0.58447162,0.65496776,0.91812125,0.04091357,0.75150728,0.25869541,0.08579452
-5.95797899,3.40587860,0.09759515,0.59672796,0.68349855,0.93592264,0.04158967,0.77382992,0.26459621,0.08823997
-5.95197599,3.47292292,0.09895402,0.60636750,0.71114164,0.94905364,0.04206271,0.79480035,0.26957033,0.09044753
-5.94597299,3.52620094,0.09972395,0.61305996,0.73728263,0.95707759,0.04231491,0.81381190,0.27344699,0.09235440
-5.93996998,3.56401458,0.09987708,0.61656712,0.76135455,0.95970554,0.04233545,0.83033847,0.27609257,0.09390703
-5.93396698,3.58516211,0.09940088,0.61674654,0.78284934,0.95680212,0.04212057,0.84394538,0.27741252,0.09506239
-5.92796398,3.58895605,0.09829835,0.61355244,0.80132869,0.94838652,0.04167349,0.85429849,0.27735212,0.09578887
-5.92196098,3.57522733,0.09658773,0.60703375,0.81643379,0.93462875,0.04100401,0.86117114,0.27589621,0.09606702
-5.91595798,3.54431615,0.09430173,0.59732938,0.82789376,0.91584147,0.04012803,0.86444903,0.27306785,0.09588994
-5.90995498,3.49705018,0.09148638,0.58466113,0.83553256,0.89246775,0.03906678,0.86413270,0.26892606,0.09526344
-5.90395198,3.43471144,0.08819946,0.56932436,0.83927396,0.86506533,0.03784605,0.86033791,0.26356287,0.09420584
-5.89794897,3.35899308,0.08450866,0.55167696,0.83914444,0.83428823,0.03649523,0.85329361,0.25709962,0.09274764
-5.89194597,3.27194828,0.08048960,0.53212703,0.83527374,0.80086646,0.03504634,0.84333785,0.24968292,0.09093079
-5.88594297,3.17593278,0.07622360,0.51111977,0.82789309,0.76558470,0.03353305,0.83091153,0.24148032,0.08880782
-5.87993997,3.07354344,0.07179562,0.48912406,0.81733078,0.72926071,0.03198974,0.81655029,0.23267582,0.08644080
-5.87393697,2.96755452,0.06729208,0.46661920,0.80400547,0.69272450,0.03045063,0.80087458,0.22346561,0.08390001
-5.86793397,2.86085386,0.06279890,0.44408226,0.78841700,0.65679869,0.02894901,0.78457824,0.21405386,0.08126261
-5.86193097,2.75638028,0.05839975,0.42197650,0.77113522,0.62228080,0.02751660,0.76841563,0.20464903,0.07861109
-5.85592796,2.65706394,0.05417447,0.40074096,0.75278684,0.58992788,0.02618308,0.75318764,0.19546045,0.07603174
-5.84992496,2.56577054,0.05019781,0.38078173,0.73404098,0.56044366,0.02497570,0.73972682,0.18669549,0.07361297
-5.84392196,2.48525030,0.04653834,0.36246476,0.71559350,0.53446844,0.02391911,0.72888166,0.17855722,0.07144366
-5.83791896,2.41809216,0.04325777,0.34611057,0.69815089,0.51257161,0.02303523,0.72150045,0.17124244,0.06961151
-5.83191596,2.36668340,0.04041034,0.33199056,0.68241396,0.49524661,0.02234331,0.71841478,0.16494027,0.06820134
-5.82591296,2.33317473,0.03804253,0.32032509,0.66906195,0.48290811,0.02185999,0.72042289,0.15983093,0.06729351
-5.81990995,2.31945060,0.03619285,0.31128306,0.65873740,0.47589101,0.02159948,0.72827317,0.15608490,0.06696233
-5.81390695,2.32710432,0.03489187,0.30498280,0.65203230,0.47445091,0.02157367,0.74264785,0.15386208,0.06727450
-5.80790395,2.35741780,0.03416219,0.30149420,0.64947567,0.47876559,0.02179236,0.76414725,0.15331100,0.06828771
-5.80190095,2.41134520,0.03401854,0.30084171,0.65152311,0.48893725,0.02226331,0.79327471,0.15456798,0.07004927
-5.79589795,2.48950043,0.03446793,0.30300804,0.65854813,0.50499495,0.02299235,0.83042246,0.15775597,0.07259486
-5.78989495,2.59214799,0.03550971,0.30793840,0.67083575,0.52689731,0.02398335,0.87585882,0.16298320,0.07594746
-5.78389195,2.71919714,0.03713567,0.31554487,0.68857806,0.55453499,0.02523818,0.92971681,0.17034148,0.08011633
-5.77788894,2.87019932,0.03933015,0.32571100,0.71187189,0.58773301,0.02675649,0.99198471,0.17990414,0.08509631
