energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,8.80191681,0.01114014,1.09860181,2.75857519,5.75698726,0.09371379,1.60540121
-5.99399700,8.84516641,0.01106465,1.09566612,2.76501054,5.77681549,0.09724433,1.62228961
-5.98799400,8.86756749,0.01098656,1.08960709,2.76748649,5.78307803,0.10054869,1.63473266
-5.98199100,8.86631036,0.01090179,1.07996924,2.76477656,5.77390921,0.10358090,1.64248565
-5.97598799,8.83924520,0.01080715,1.06641681,2.75586860,5.74787254,0.10630025,1.64540545
-5.96998499,8.78495143,0.01070042,1.04874772,2.73999588,5.70400917,0.10867220,1.64345294
-5.96398199,8.70277968,0.01058047,1.02690179,2.71665601,5.64186820,0.11066913,1.63669309
-5.95797899,8.59286633,0.01044723,1.00096286,2.68561796,5.56151897,0.11227086,1.62529294
-5.95197599,8.45612174,0.01030176,0.97115526,2.64691754,5.46354567,0.11346496,1.60951758
-5.94597299,8.29419435,0.01014619,0.93783492,2.60084288,5.34902578,0.11424690,1.58972449
-5.93996998,8.10941373,0.00998367,0.90147593,2.54791111,5.21949413,0.11461999,1.56635640
-5.93396698,7.90471600,0.00981835,0.86265324,2.48883809,5.07689495,0.11459514,1.53993291
-5.92796398,7.68355568,0.00965525,0.82202258,2.42450333,4.92352438,0.11419050,1.51104115
-5.92196098,7.44980778,0.00950014,0.78029857,2.35591159,4.76196616,0.11343100,1.48032556
-5.91595798,7.20766385,0.00935949,0.73823195,2.28415334,4.59502278,0.11234767,1.44847692
-5.90995498,6.96152538,0.00924024,0.69658682,2.21036549,4.42564460,0.11097696,1.41622067
-5.90395198,6.71589726,0.00914970,0.65611888,2.13569375,4.25685866,0.10935996,1.38430452
-5.89794897,6.47528365,0.00909540,0.61755508,2.06125783,4.09169899,0.10754143,1.35348538
-5.89194597,6.24408778,0.00908484,0.58157538,1.98812008,3.93313927,0.10556893,1.32451534
-5.88594297,6.02651693,0.00912541,0.54879696,1.91725826,3.78402903,0.10349166,1.29812705
-5.87993997,5.82649325,0.00922408,0.51976091,1.84954266,3.64703360,0.10135941,1.27501805
-5.87393697,5.64757089,0.00938729,0.49492173,1.78571763,3.52457832,0.09922138,1.25583463
-5.86793397,5.49285984,0.00962068,0.47463939,1.72638768,3.41879723,0.09712492,1.24115499
-5.86193097,5.36495692,0.00992892,0.45917390,1.67200774,3.33148639,0.09511433,1.23147230
-5.85592796,5.26588453,0.01031547,0.44868227,1.62287780,3.26406228,0.09322961,1.22717799
-5.84992496,5.19703807,0.01078242,0.44321760,1.57914148,3.21752578,0.09150531,1.22854586
-5.84392196,5.15914331,0.01133027,0.44273019,1.54078862,3.19243246,0.08996943,1.23571759
-5.83791896,5.15222520,0.01195779,0.44707046,1.50766157,3.18887014,0.08864250,1.24869056
-5.83191596,5.17559007,0.01266188,0.45599362,1.47946526,3.20644493,0.08753683,1.26730862
-5.82591296,5.22782286,0.01343751,0.46916598,1.45578071,3.24427687,0.08665598,1.29125657
-5.81990995,5.30680142,0.01427761,0.48617285,1.43608189,3.30100651,0.08599458,1.32005916
