energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.28105931,0.04212411,0.00000000,0.02506663,0.84024205,0.66609310,0.35726570
-5.99399700,1.21543970,0.04033704,0.00000000,0.02370393,0.79617209,0.61912047,0.34303667
-5.98799400,1.15145560,0.03858289,0.00000000,0.02232667,0.75290398,0.57255978,0.32908694
-5.98199100,1.08986985,0.03688884,0.00000000,0.02095142,0.71096650,0.52691685,0.31561529
-5.97598799,1.03133908,0.03527842,0.00000000,0.01959401,0.67082104,0.48264503,0.30279546
-5.96998499,0.97639873,0.03377101,0.00000000,0.01826909,0.63285117,0.44013857,0.29077059
-5.96398199,0.92545289,0.03238147,0.00000000,0.01698969,0.59735538,0.39972828,0.27964897
-5.95797899,0.87876948,0.03112001,0.00000000,0.01576697,0.56454321,0.36167953,0.26950130
-5.95197599,0.83648078,0.02999217,0.00000000,0.01460992,0.53453479,0.32619246,0.26035963
-5.94597299,0.79858932,0.02899916,0.00000000,0.01352531,0.50736380,0.29340430,0.25221799
-5.93996998,0.76497882,0.02813822,0.00000000,0.01251761,0.48298370,0.26339364,0.24503473
-5.93396698,0.73542965,0.02740328,0.00000000,0.01158910,0.46127687,0.23618621,0.23873631
-5.92796398,0.70963815,0.02678572,0.00000000,0.01074003,0.44206619,0.21176204,0.23322255
-5.92196098,0.68723888,0.02627524,0.00000000,0.00996881,0.42512852,0.19006349,0.22837293
-5.91595798,0.66782883,0.02586083,0.00000000,0.00927235,0.41020952,0.17100395,0.22405361
-5.90995498,0.65099248,0.02553180,0.00000000,0.00864638,0.39703913,0.15447667,0.22012504
-5.90395198,0.63632673,0.02527870,0.00000000,0.00808576,0.38534686,0.14036345,0.21644950
-5.89794897,0.62346437,0.02509432,0.00000000,0.00758491,0.37487654,0.12854298,0.21289847
-5.89194597,0.61209530,0.02497447,0.00000000,0.00713811,0.36539964,0.11889818,0.20935933
-5.88594297,0.60198442,0.02491869,0.00000000,0.00673982,0.35672670,0.11132271,0.20574122
-5.87993997,0.59298546,0.02493078,0.00000000,0.00638498,0.34871643,0.10572607,0.20197965
-5.87393697,0.58505012,0.02501905,0.00000000,0.00606923,0.34128215,0.10203735,0.19803981
-5.86793397,0.57823218,0.02519644,0.00000000,0.00578910,0.33439530,0.10020738,0.19391838
-5.86193097,0.57268625,0.02548028,0.00000000,0.00554211,0.32808584,0.10020934,0.18964379
-5.85592796,0.56866129,0.02589193,0.00000000,0.00532683,0.32243984,0.10203769,0.18527501
-5.84992496,0.56648912,0.02645606,0.00000000,0.00514287,0.31759401,0.10570559,0.18089878
-5.84392196,0.56656822,0.02719971,0.00000000,0.00499080,0.31372783,0.11124084,0.17662564
-5.83791896,0.56934365,0.02815124,0.00000000,0.00487209,0.31105332,0.11868055,0.17258484
-5.83191596,0.57528371,0.02933900,0.00000000,0.00478889,0.30980308,0.12806470,0.16891829
-5.82591296,0.58485430,0.03078990,0.00000000,0.00474386,0.31021708,0.13942891,0.16577399
-5.81990995,0.59849205,0.03252796,0.00000000,0.00473997,0.31252861,0.15279667,0.16329907
-5.81390695,0.61657728,0.03457271,0.00000000,0.00478022,0.31695025,0.16817139,0.16163281
-5.80790395,0.63940794,0.03693783,0.00000000,0.00486745,0.32366013,0.18552867,0.16089992
-5.80190095,0.66717564,0.03962966,0.00000000,0.00500405,0.33278933,0.20480908,0.16120434
-5.79589795,0.69994493,0.04264609,0.00000000,0.00519179,0.34441077,0.22591202,0.16262375
-5.78989495,0.73763674,0.04597559,0.00000000,0.00543157,0.35853025,0.24869077,0.16520524
-5.78389195,0.78001697,0.04959650,0.00000000,0.00572328,0.37507989,0.27294937,0.16896195
-5.77788894,0.82669086,0.05347680,0.00000000,0.00606564,0.39391456,0.29844138,0.17387124
-5.77188594,0.87710378,0.05757411,0.00000000,0.00645618,0.41481126,0.32487089,0.17987421
-5.76588294,0.93054855,0.06183620,0.00000000,0.00689114,0.43747192,0.35189588,0.18687666
-5.75987994,0.98617956,0.06620191,0.00000000,0.00736553,0.46152930,0.37913395,0.19475162
-5.75387694,1.04303317,0.07060245,0.00000000,0.00787320,0.48655620,0.40617040,0.20334326
-5.74787394,1.10005406,0.07496311,0.00000000,0.00840700,0.51207743,0.43256843,0.21247209
-5.74187094,1.15612661,0.07920526,0.00000000,0.00895895,0.53758443,0.45788109,0.22194135
-5.73586793,1.21011027,0.08324871,0.00000000,0.00952049,0.56255188,0.48166481,0.23154428
-5.72986493,1.26087750,0.08701412,0.00000000,0.01008278,0.58645571,0.50349364,0.24107207
-5.72386193,1.30735298,0.09042562,0.00000000,0.01063700,0.60879190,0.52297395,0.25032216
-5.71785893,1.34855233,0.09341334,0.00000000,0.01117465,0.62909520,0.53975872,0.25910659
-5.71185593,1.38361870,0.09591584,0.00000000,0.01168797,0.64695701,0.55356097,0.26725998
-5.70585293,1.41185572,0.09788229,0.00000000,0.01217018,0.66204173,0.56416550,0.27464687
-5.69984992,1.43275514,0.09927434,0.00000000,0.01261580,0.67410068,0.57143856,0.28116804
-5.69384692,1.44601804,0.10006751,0.00000000,0.01302091,0.68298305,0.57533481,0.28676554
-5.68784392,1.45156843,0.10025215,0.00000000,0.01338334,0.68864325,0.57590133,0.29142602
-5.68184092,1.44955857,0.09983382,0.00000000,0.01370278,0.69114432,0.57327827,0.29518245
-5.67583792,1.44036566,0.09883311,0.00000000,0.01398079,0.69065719,0.56769623,0.29811376
-5.66983492,1.42458001,0.09728490,0.00000000,0.01422079,0.68745558,0.55947030,0.30034256
-5.66383192,1.40298501,0.09523710,0.00000000,0.01442791,0.68190698,0.54899102,0.30203099
-5.65782891,1.37652989,0.09274892,0.00000000,0.01460870,0.67445974,0.53671263,0.30337465
-5.65182591,1.34629632,0.08988868,0.00000000,0.01477092,0.66562707,0.52313910,0.30459506
-5.64582291,1.31346028,0.08673143,0.00000000,0.01492309,0.65596840,0.50880847,0.30593078
-5.63981991,1.27925102,0.08335629,0.00000000,0.01507407,0.64606913,0.49427615,0.30762767
-5.63381691,1.24490874,0.07984373,0.00000000,0.01523267,0.63651936,0.48009793,0.30992871
-5.62781391,1.21164293,0.07627295,0.00000000,0.01540709,0.62789294,0.46681330,0.31306372
