energy_ev,total_up,Ge_p_up,Ge_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,1.64495599,0.01741584,0.00000000,0.75714188,0.84046923,0.00163017,1.00773585
-5.99399700,1.68294827,0.01790010,0.00000000,0.77666693,0.86434119,0.00159585,1.03194510
-5.98799400,1.71930893,0.01835097,0.00000000,0.79541942,0.88790006,0.00156082,1.05507210
-5.98199100,1.75371882,0.01876341,0.00000000,0.81326791,0.91092076,0.00152517,1.07691734
-5.97598799,1.78585342,0.01913303,0.00000000,0.83007434,0.93316237,0.00148893,1.09727922
-5.96998499,1.81538994,0.01945626,0.00000000,0.84569606,0.95437282,0.00145210,1.11595828
-5.96398199,1.84201590,0.01973049,0.00000000,0.85998877,0.97429453,0.00141464,1.13276234
-5.95797899,1.86543869,0.01995427,0.00000000,0.87281039,0.99267097,0.00137654,1.14751220
-5.95197599,1.88539591,0.02012736,0.00000000,0.88402555,1.00925392,0.00133773,1.16004793
-5.94597299,1.90166583,0.02025083,0.00000000,0.89351077,1.02381115,0.00129820,1.17023519
-5.93996998,1.91407769,0.02032707,0.00000000,0.90115978,1.03613418,0.00125794,1.17797153
-5.93396698,1.92252097,0.02035975,0.00000000,0.90688897,1.04604592,0.00121699,1.18319207
-5.92796398,1.92695342,0.02035377,0.00000000,0.91064238,1.05340760,0.00117541,1.18587446
-5.92196098,1.92740702,0.02031513,0.00000000,0.91239618,1.05812483,0.00113332,1.18604256
-5.91595798,1.92399150,0.02025073,0.00000000,0.91216207,1.06015238,0.00109086,1.18376869
-5.90995498,1.91689510,0.02016822,0.00000000,0.90998938,1.05949729,0.00104824,1.17917410
-5.90395198,1.90638218,0.02007571,0.00000000,0.90596584,1.05622019,0.00100569,1.17242754
-5.89794897,1.89278752,0.01998154,0.00000000,0.90021644,1.05043463,0.00096349,1.16374175
-5.89194597,1.87650747,0.01989399,0.00000000,0.89290072,1.04230435,0.00092190,1.15336796
-5.88594297,1.85798808,0.01982101,0.00000000,0.88420827,1.03203842,0.00088125,1.14158854
-5.87993997,1.83771045,0.01976996,0.00000000,0.87435257,1.01988461,0.00084184,1.12870778
-5.87393697,1.81617410,0.01974731,0.00000000,0.86356348,1.00612102,0.00080395,1.11504155
-5.86793397,1.79387879,0.01975846,0.00000000,0.85207870,0.99104639,0.00076788,1.10090583
-5.86193097,1.77130569,0.01980747,0.00000000,0.84013447,0.97496956,0.00073386,1.08660490
-5.85592796,1.74889887,0.01989694,0.00000000,0.82795614,0.95819847,0.00070212,1.07241963
-5.84992496,1.72704779,0.02002789,0.00000000,0.81574893,0.94102922,0.00067282,1.05859645
-5.84392196,1.70607192,0.02019965,0.00000000,0.80368958,0.92373578,0.00064608,1.04533763
-5.83791896,1.68620811,0.02040987,0.00000000,0.79191913,0.90656078,0.00062197,1.03279324
-5.83191596,1.66760165,0.02065454,0.00000000,0.78053744,0.88970782,0.00060049,1.02105545
