energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Li_s_up,Li_s_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.03793818,-0.80048302,0.01719942,-0.01762462,0.12884857,-0.16359438,0.15631281,-0.06203988,0.24140090,-0.12329966,0.26438599,-0.13397843,0.00644474,-0.01162028,0.36849382,-0.24167927
-5.99399700,1.05492422,-0.80247878,0.01700053,-0.01797217,0.13222733,-0.16308748,0.15669852,-0.06224614,0.25065983,-0.12389722,0.26677306,-0.13416174,0.00644175,-0.01173002,0.37379648,-0.24397029
-5.98799400,1.08030638,-0.80624013,0.01688416,-0.01830049,0.13691511,-0.16274652,0.15800647,-0.06269514,0.26179032,-0.12480508,0.27152644,-0.13441365,0.00653504,-0.01186912,0.38156135,-0.24710202
-5.98199100,1.11445816,-0.81148340,0.01685852,-0.01860864,0.14292826,-0.16252461,0.16032156,-0.06336220,0.27482740,-0.12597133,0.27873646,-0.13470967,0.00672800,-0.01203360,0.39196324,-0.25097281
-5.97598799,1.15760456,-0.81794548,0.01692997,-0.01889569,0.15024999,-0.16238124,0.16371724,-0.06422495,0.28976438,-0.12734784,0.28844337,-0.13502912,0.00702277,-0.01221941,0.40515033,-0.25548305
-5.96998499,1.20981514,-0.82537687,0.01710304,-0.01916060,0.15882987,-0.16228097,0.16825430,-0.06526235,0.30655074,-0.12888918,0.30063653,-0.13535388,0.00742023,-0.01242238,0.42124099,-0.26053307
-5.96398199,1.27099934,-0.83353551,0.01738040,-0.01940197,0.16858423,-0.16219206,0.17397956,-0.06645384,0.32509096,-0.13055163,0.31525463,-0.13566731,0.00792001,-0.01263818,0.44032023,-0.26602153
-5.95797899,1.34090422,-0.84218184,0.01776302,-0.01961795,0.17939761,-0.16208539,0.18092449,-0.06777859,0.34524445,-0.13229233,0.33218722,-0.13595332,0.00852049,-0.01286238,0.46243587,-0.27184430
-5.95197599,1.41911490,-0.85107601,0.01825023,-0.01980614,0.19112509,-0.16193359,0.18910396,-0.06921503,0.36682668,-0.13406880,0.35127721,-0.13619581,0.00921882,-0.01309043,0.48759474,-0.27789428
-5.94597299,1.50505789,-0.85997753,0.01883989,-0.01996361,0.20359558,-0.16171060,0.19851495,-0.07074064,0.38961156,-0.13583884,0.37232455,-0.13637841,0.01001097,-0.01331778,0.51575889,-0.28406201
-5.93996998,1.59800758,-0.86864756,0.01952857,-0.02008691,0.21661597,-0.16139165,0.20913543,-0.07233213,0.41333512,-0.13756081,0.39509076,-0.13648466,0.01089170,-0.01353996,0.54684221,-0.29023732
-5.93396698,1.69709583,-0.87685381,0.02031166,-0.02017229,0.22997599,-0.16095370,0.22092345,-0.07396583,0.43770051,-0.13919438,0.41930442,-0.13649858,0.01185466,-0.01375275,0.58070768,-0.29631192
-5.92796398,1.80132497,-0.88437775,0.02118361,-0.02021584,0.24345370,-0.16037621,0.23381657,-0.07561847,0.46238411,-0.14070170,0.44466727,-0.13640557,0.01289240,-0.01395231,0.61716545,-0.30218269
-5.92196098,1.90958383,-0.89102353,0.02213800,-0.02021376,0.25682136,-0.15964226,0.24773160,-0.07726814,0.48704283,-0.14204882,0.47086097,-0.13619358,0.01399646,-0.01413535,0.65597212,-0.30775564
-5.91595798,2.02066679,-0.89662799,0.02316774,-0.02016269,0.26985157,-0.15873985,0.26256481,-0.07889544,0.51132218,-0.14320733,0.49755402,-0.13585443,0.01515741,-0.01429932,0.69683127,-0.31295011
-5.90995498,2.13329539,-0.90107087,0.02426511,-0.02006001,0.28232334,-0.15766328,0.27819260,-0.08048475,0.53486498,-0.14415611,0.52440892,-0.13538522,0.01636499,-0.01444248,0.73939553,-0.31770299
-5.90395198,2.24614195,-0.90428433,0.02542187,-0.01990416,0.29402803,-0.15641438,0.29447268,-0.08202546,0.55732046,-0.14488295,0.55108916,-0.13478963,0.01760819,-0.01456410,0.78327016,-0.32197258
-5.89794897,2.35785459,-0.90626091,0.02662928,-0.01969493,0.30477470,-0.15500359,0.31124575,-0.08351311,0.57835325,-0.14538599,0.57726585,-0.13407896,0.01887539,-0.01466442,0.82801820,-0.32574180
-5.89194597,2.46708300,-0.90705919,0.02787807,-0.01943376,0.31439494,-0.15345069,0.32833762,-0.08495032,0.59765215,-0.14567481,0.60262383,-0.13327296,0.02015451,-0.01474474,0.87316710,-0.32902039
-5.88594297,2.57250398,-0.90680629,0.02915848,-0.01912387,0.32274671,-0.15178500,0.34556180,-0.08634747,0.61493808,-0.14577098,0.62686698,-0.13240009,0.02143314,-0.01480732,0.91821674,-0.33184593
-5.87993997,2.67284619,-0.90569707,0.03046013,-0.01877045,0.32971730,-0.15004515,0.36272246,-0.08772296,0.62997116,-0.14570815,0.64972268,-0.13149747,0.02269873,-0.01485530,0.96264844,-0.33428343
-5.87393697,2.76691308,-0.90398946,0.03177201,-0.01838063,0.33522512,-0.14827829,0.37961757,-0.08910313,0.64255642,-0.14553145,0.67094530,-0.13061014,0.02393877,-0.01489249,1.00593493,-0.33642346
-5.86793397,2.85360361,-0.90199615,0.03308238,-0.01796345,0.33922037,-0.14653870,0.39604239,-0.09052174,0.65254817,-0.14529636,0.69031853,-0.12978990,0.02514090,-0.01492319,1.04755077,-0.33837881
-5.86193097,2.93192999,-0.90007290,0.03437872,-0.01752972,0.34168464,-0.14488600,0.41179293,-0.09201894,0.65985259,-0.14506689,0.70765684,-0.12909368,0.02629313,-0.01495190,1.08698298,-0.34027981
-5.85592796,3.00103218,-0.89860396,0.03564770,-0.01709173,0.34262939,-0.14338289,0.42666947,-0.09363997,0.66442885,-0.14491340,0.72280588,-0.12858147,0.02738398,-0.01498301,1.12374151,-0.34226844
-5.84992496,3.06018883,-0.89798531,0.03687518,-0.01666293,0.34209351,-0.14209268,0.44048008,-0.09543338,0.66628848,-0.14490985,0.73564208,-0.12831393,0.02840260,-0.01502057,1.15736927,-0.34449169
-5.84392196,3.10882482,-0.89860667,0.03804626,-0.01625754,0.34014021,-0.14107660,0.45304387,-0.09744913,0.66549332,-0.14513098,0.74607157,-0.12834986,0.02933892,-0.01506792,1.18745136,-0.34709428
-5.83791896,3.14651535,-0.90083329,0.03914542,-0.01589010,0.33685320,-0.14039116,0.46419418,-0.09973637,0.66215214,-0.14564923,0.75402864,-0.12874360,0.03018377,-0.01512751,1.21362337,-0.35021142
-5.83191596,3.17298699,-0.90498846,0.04015665,-0.01557495,0.33233269,-0.14008570,0.47378150,-0.10234125,0.65641627,-0.14653180,0.75947391,-0.12954250,0.03092895,-0.01520060,1.23557847,-0.35396175
-5.82591296,3.18811629,-0.91133790,0.04106374,-0.01532571,0.32669120,-0.14020016,0.48167612,-0.10530479,0.64847446,-0.14783799,0.76239250,-0.13078462,0.03156734,-0.01528719,1.25307322,-0.35844114
-5.81990995,3.19192611,-0.92007673,0.04185057,-0.01515482,0.32004952,-0.14076336,0.48777053,-0.10866084,0.63854736,-0.14961682,0.76279226,-0.13249682,0.03209295,-0.01538589,1.26593210,-0.36371745
-5.81390695,3.18458069,-0.93131999,0.04250152,-0.01507301,0.31253296,-0.14179171,0.49198160,-0.11243440,0.62688200,-0.15190528,0.76070235,-0.13469315,0.03250099,-0.01549396,1.27405065,-0.36982684
-5.80790395,3.16637958,-0.94509714,0.04300182,-0.01508889,0.30426817,-0.14328861,0.49425238,-0.11664023,0.61374643,-0.15472711,0.75617226,-0.13737395,0.03278794,-0.01560735,1.27739734,-0.37677165
-5.80190095,3.13775132,-0.96135078,0.04333807,-0.01520854,0.29538051,-0.14524433,0.49455375,-0.12128196,0.59942493,-0.15809240,0.74927123,-0.14052533,0.03295160,-0.01572092,1.27601424,-0.38452012
-5.79589795,3.09924692,-0.97993997,0.04349866,-0.01543524,0.28599212,-0.14763664,0.49288566,-0.12635161,0.58421399,-0.16199778,0.74008826,-0.14411936,0.03299112,-0.01582863,1.27001660,-0.39300795
-5.78989495,3.05153360,-1.00064758,0.04347424,-0.01576921,0.27622077,-0.15043191,0.48927814,-0.13182975,0.56841911,-0.16642739,0.72873244,-0.14811475,0.03290709,-0.01592390,1.25959139,-0.40214159
-5.78389195,2.99538889,-1.02319160,0.04325813,-0.01620752,0.26617934,-0.15358676,0.48379194,-0.13768601,0.55235254,-0.17135455,0.71533372,-0.15245809,0.03270157,-0.01599989,1.24499498,-0.41180327
-5.77788894,2.93169488,-1.04723957,0.04284670,-0.01674404,0.25597600,-0.15705009,0.47651881,-0.14388020,0.53633193,-0.17674393,0.70004383,-0.15708557,0.03237817,-0.01604994,1.22654997,-0.42185724
-5.77188594,2.86143264,-1.07242559,0.04223963,-0.01736956,0.24571485,-0.16076543,0.46758135,-0.15036378,0.52067981,-0.18255426,0.68303714,-0.16192503,0.03194209,-0.01606791,1.20464123,-0.43215715
-5.76588294,2.78567630,-1.09836870,0.04144011,-0.01807197,0.23549701,-0.16467343,0.45713232,-0.15708174,0.50572359,-0.18874130,0.66451148,-0.16689839,0.03140019,-0.01604855,1.17971124,-0.44255405
-5.75987994,2.70558648,-1.12469211,0.04045495,-0.01883653,0.22542193,-0.16871450,0.44535348,-0.16397472,0.49179602,-0.19526099,0.64468844,-0.17192419,0.03076101,-0.01598782,1.15225459,-0.45290461
-5.75387694,2.62240256,-1.15104193,0.03929454,-0.01964629,0.21558871,-0.17283120,0.43245377,-0.17098132,0.47923566,-0.20207266,0.62381322,-0.17692029,0.03003476,-0.01588320,1.12281179,-0.46307920
-5.74787394,2.53743339,-1.17710473,0.03797271,-0.02048258,0.20609748,-0.17697069,0.41866690,-0.17804043,0.46838722,-0.20914202,0.60215376,-0.18180648,0.02923335,-0.01573387,1.09196222,-0.47296933
-5.74187094,2.45204589,-1.20262310,0.03650646,-0.02132552,0.19705040,-0.18108667,0.40424813,-0.18509358,0.45960131,-0.21644387,0.57999899,-0.18650708,0.02837029,-0.01554084,1.06031627,-0.48249423
-5.73586793,2.36765138,-1.22740840,0.03491561,-0.02215463,0.18855238,-0.18514116,0.38947056,-0.19208715,0.45323339,-0.22396437,0.55765628,-0.19095327,0.02746061,-0.01530703,1.02850662,-0.49160605
-5.72986493,2.28568931,-1.25135034,0.03322239,-0.02294952,0.18071138,-0.18910571,0.37462052,-0.19897424,0.44964175,-0.23170273,0.53544800,-0.19508518,0.02652072,-0.01503720,0.99717869,-0.50029368
