energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.93932116,0.00141545,0.19202772,0.40875004,0.00000000,0.20388461,0.18739861
-5.99399700,0.87767575,0.00124476,0.18052549,0.38122005,0.00000000,0.19326211,0.17461200
-5.98799400,0.81930057,0.00108858,0.16949563,0.35536682,0.00000000,0.18328239,0.16238163
-5.98199100,0.76461405,0.00094666,0.15900143,0.33140007,0.00000000,0.17403459,0.15079156
-5.97598799,0.71393408,0.00081858,0.14908600,0.30948597,0.00000000,0.16558780,0.13990375
-5.96998499,0.66748185,0.00070378,0.13977323,0.28974867,0.00000000,0.15799246,0.12975876
-5.96398199,0.62538952,0.00060161,0.13106975,0.27227341,0.00000000,0.15128247,0.12037732
-5.95797899,0.58771084,0.00051131,0.12296748,0.25711069,0.00000000,0.14547778,0.11176258
-5.95197599,0.55443383,0.00043206,0.11544671,0.24428135,0.00000000,0.14058725,0.10390281
-5.94597299,0.52549450,0.00036302,0.10847935,0.23378181,0.00000000,0.13661151,0.09677452
-5.93996998,0.50079062,0.00030333,0.10203233,0.22558931,0.00000000,0.13354577,0.09034557
-5.93396698,0.48019476,0.00025213,0.09607086,0.21966670,0.00000000,0.13138224,0.08457826
-5.92796398,0.46356598,0.00020860,0.09056145,0.21596651,0.00000000,0.13011214,0.07943221
-5.92196098,0.45075953,0.00017195,0.08547452,0.21443407,0.00000000,0.12972723,0.07486692
-5.91595798,0.44163441,0.00014145,0.08078657,0.21500967,0.00000000,0.13022080,0.07084386
-5.90995498,0.43605853,0.00011645,0.07648191,0.21762967,0.00000000,0.13158818,0.06732821
-5.90395198,0.43391177,0.00009635,0.07255389,0.22222665,0.00000000,0.13382674,0.06429006
-5.89794897,0.43508691,0.00008067,0.06900564,0.22872869,0.00000000,0.13693560,0.06170530
-5.89194597,0.43948905,0.00006901,0.06585047,0.23705810,0.00000000,0.14091510,0.05955600
-5.88594297,0.44703375,0.00006105,0.06311194,0.24712968,0.00000000,0.14576612,0.05783064
-5.87993997,0.45764446,0.00005662,0.06082362,0.25884887,0.00000000,0.15148951,0.05652403
-5.87393697,0.47124974,0.00005561,0.05902876,0.27210995,0.00000000,0.15808557,0.05563704
-5.86793397,0.48778055,0.00005807,0.05777979,0.28679459,0.00000000,0.16555378,0.05517639
-5.86193097,0.50716820,0.00006415,0.05713779,0.30277094,0.00000000,0.17389291,0.05515428
-5.85592796,0.52934300,0.00007411,0.05717190,0.31989336,0.00000000,0.18310131,0.05558810
-5.84992496,0.55423391,0.00008835,0.05795872,0.33800296,0.00000000,0.19317766,0.05650022
-5.84392196,0.58176911,0.00010738,0.05958170,0.35692898,0.00000000,0.20412189,0.05791773
-5.83791896,0.61187756,0.00013186,0.06213039,0.37649101,0.00000000,0.21593636,0.05987230
-5.83191596,0.64449128,0.00016255,0.06569963,0.39650197,0.00000000,0.22862708,0.06239996
-5.82591296,0.67954807,0.00020032,0.07038855,0.41677181,0.00000000,0.24220498,0.06554093
-5.81990995,0.71699453,0.00024616,0.07629927,0.43711171,0.00000000,0.25668687,0.06933923
-5.81390695,0.75678877,0.00030112,0.08353540,0.45733867,0.00000000,0.27209629,0.07384222
