energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,6.71526023,0.04354862,0.63294088,2.94415974,1.69053763,0.07580261,2.87601335,0.95288984,0.45339701
-5.99399700,6.81399882,0.04430044,0.62825791,3.03993263,1.71059535,0.07495178,2.92488024,0.97623716,0.46349029
-5.98799400,6.92172098,0.04505819,0.62439125,3.14621560,1.73153138,0.07425956,2.97818955,1.00286043,0.47344065
-5.98199100,7.03753359,0.04581353,0.62146048,3.26270632,1.75319944,0.07370716,3.03538204,1.03253725,0.48320909
-5.97598799,7.16037759,0.04655651,0.61957635,3.38896437,1.77545031,0.07327450,3.09579529,1.06497734,0.49275041
-5.96998499,7.28903517,0.04727583,0.61883673,3.52440945,1.79813106,0.07294039,3.15867182,1.09982492,0.50201317
-5.96398199,7.42213950,0.04795905,0.61932269,3.66832042,1.82108355,0.07268273,3.22316966,1.13666253,0.51093986
-5.95797899,7.55818651,0.04859302,0.62109491,3.81983469,1.84414232,0.07247871,3.28837502,1.17501634,0.51946721
-5.95197599,7.69554834,0.04916415,0.62419027,3.97794805,1.86713190,0.07230504,3.35331661,1.21436291,0.52752680
-5.94597299,7.83248829,0.04965884,0.62861891,4.14151488,1.88986379,0.07213816,3.41698125,1.25413712,0.53504569
-5.93996998,7.96717714,0.05006383,0.63436166,4.30924933,1.91213329,0.07195458,3.47833044,1.29374144,0.54194728
-5.93396698,8.09771122,0.05036656,0.64136812,4.47972786,1.93371661,0.07173107,3.53631756,1.33255622,0.54815222
-5.92796398,8.22213255,0.05055548,0.64955541,4.65139398,1.95436856,0.07144507,3.58990556,1.36995097,0.55357952
-5.92196098,8.33845158,0.05062041,0.65880768,4.82256616,1.97382129,0.07107502,3.63808498,1.40529648,0.55814783
-5.91595798,8.44467311,0.05055271,0.66897665,4.99144956,1.99178438,0.07060068,3.67989213,1.43797764,0.56177688
-5.90995498,8.53882578,0.05034555,0.67988299,5.15615260,2.00794672,0.07000356,3.71442740,1.46740662,0.56438909
-5.90395198,8.61899551,0.04999403,0.69131895,5.31470876,2.02198032,0.06926731,3.74087355,1.49303640,0.56591148
-5.89794897,8.68336272,0.04949532,0.70305187,5.46510397,2.03354629,0.06837806,3.75851384,1.51437411,0.56627771
-5.89194597,8.73024308,0.04884869,0.71482886,5.60530949,2.04230286,0.06732484,3.76674963,1.53099401,0.56543034
-5.88594297,8.75813085,0.04805553,0.72638229,5.73331974,2.04791533,0.06609984,3.76511729,1.54254968,0.56332319
-5.87993997,8.76574360,0.04711933,0.73743617,5.84719426,2.05006760,0.06469871,3.75330375,1.54878496,0.55992375
-5.87393697,8.75206680,0.04604560,0.74771306,5.94510237,2.04847487,0.06312073,3.73116036,1.54954338,0.55521559
-5.86793397,8.71639621,0.04484176,0.75694136,6.02536898,2.04289679,0.06136894,3.69871430,1.54477541,0.54920056
-5.86193097,8.65837617,0.04351699,0.76486272,6.08651975,2.03315059,0.05945011,3.65617699,1.53454344,0.54190076
-5.85592796,8.57803159,0.04208208,0.77123930,6.12732352,2.01912329,0.05737465,3.60394892,1.51902389,0.53336012
-5.84992496,8.47579158,0.04054921,0.77586059,6.14683023,2.00078243,0.05515641,3.54262030,1.49850638,0.52364546
-5.84392196,8.35250323,0.03893172,0.77854958,6.14440245,1.97818468,0.05281236,3.47296712,1.47338971,0.51284698
-5.83791896,8.20943397,0.03724391,0.77916809,6.11973905,1.95148170,0.05036216,3.39594243,1.44417463,0.50107817
-5.83191596,8.04826184,0.03550073,0.77762102,6.07288990,1.92092292,0.04782767,3.31266270,1.41145342,0.48847493
-5.82591296,7.87105343,0.03371756,0.77385948,6.00426083,1.88685501,0.04523238,3.22438941,1.37589662,0.47519411
-5.81990995,7.68022973,0.03190989,0.76788267,5.91460864,1.84971789,0.04260083,3.13250631,1.33823709,0.46141138
-5.81390695,7.47852100,0.03009312,0.75973850,5.80502642,1.81003744,0.03995794,3.03849281,1.29925187,0.44731859
-5.80790395,7.26891201,0.02828227,0.74952304,5.67691973,1.76841516,0.03732843,2.94389431,1.25974253,0.43312058
-5.80190095,7.05457945,0.02649174,0.73737869,5.53197471,1.72551513,0.03473622,2.85029042,1.22051434,0.41903174
-5.79589795,6.83882399,0.02473511,0.72349143,5.37211941,1.68204890,0.03220389,2.75926195,1.18235527,0.40527226
-5.78989495,6.62499904,0.02302495,0.70808696,5.19947990,1.63875871,0.02975220,2.67235776,1.14601515,0.39206436
-5.78389195,6.41643894,0.02137267,0.69142606,5.01633257,1.59639998,0.02739976,2.59106263,1.11218603,0.37962853
-5.77788894,6.21638875,0.01978843,0.67379924,4.82505455,1.55572338,0.02516268,2.51676695,1.08148410,0.36817995
-5.77188594,6.02793795,0.01828102,0.65552080,4.62807343,1.51745738,0.02305445,2.45073931,1.05443399,0.35792509
-5.76588294,5.85395998,0.01685789,0.63692236,4.42781805,1.48229177,0.02108580,2.39410266,1.03145586,0.34905871
-5.75987994,5.69705903,0.01552510,0.61834614,4.22667137,1.45086259,0.01926471,2.34781470,1.01285576,0.34176120
-5.75387694,5.55952552,0.01428742,0.60013797,4.02692664,1.42373897,0.01759652,2.31265295,0.99881955,0.33619627
-5.74787394,5.44330086,0.01314834,0.58264013,3.83074768,1.40141217,0.01608406,2.28920466,0.98941060,0.33250910
-5.74187094,5.34995189,0.01211024,0.56618432,3.64013401,1.38428695,0.01472788,2.27786179,0.98457139,0.33082484
