energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-2.06203102,1.37955565,0.00120763,0.10367007,0.20137243,0.94920376,0.05713377,0.28207149,0.42036995,0.00007535
-2.05602801,1.44132141,0.00130425,0.10639129,0.21545723,0.98560435,0.06074027,0.30180875,0.43389633,0.00007721
-2.05002501,1.50199520,0.00140365,0.10874340,0.23032766,1.02051361,0.06436272,0.32237763,0.44647873,0.00007879
-2.04402201,1.56161183,0.00150525,0.11072664,0.24604302,1.05400642,0.06797715,0.34377777,0.45817235,0.00008008
-2.03801901,1.62022049,0.00160844,0.11234691,0.26265279,1.08618850,0.07155658,0.36598876,0.46905179,0.00008109
-2.03201601,1.67786590,0.00171252,0.11361461,0.28019126,1.11718302,0.07507093,0.38896492,0.47920451,0.00008183
-2.02601301,1.73456860,0.00181680,0.11454331,0.29867194,1.14711584,0.07848713,0.41263053,0.48872348,0.00008232
-2.02001001,1.79030566,0.00192058,0.11514843,0.31808220,1.17610029,0.08176942,0.43687594,0.49769950,0.00008256
-2.01400700,1.84499314,0.00202320,0.11544594,0.33837842,1.20422232,0.08487977,0.46155476,0.50621372,0.00008258
-2.00800400,1.89847146,0.00212408,0.11545110,0.35948188,1.23152705,0.08777852,0.48648257,0.51433070,0.00008239
-2.00200100,1.95049473,0.00222280,0.11517753,0.38127581,1.25800735,0.09042522,0.51143728,0.52209251,0.00008200
-1.99599800,2.00072503,0.00231910,0.11463643,0.40360373,1.28359531,0.09277959,0.53616135,0.52951423,0.00008143
-1.98999500,2.04873210,0.00241296,0.11383621,0.42626935,1.30815709,0.09480263,0.56036595,0.53658106,0.00008070
-1.98399200,2.09399869,0.00250464,0.11278236,0.44903818,1.33149152,0.09645776,0.58373694,0.54324738,0.00007981
-1.97798899,2.13593171,0.00259473,0.11147770,0.47164090,1.35333256,0.09771206,0.60594262,0.54943759,0.00007876
-1.97198599,2.17387851,0.00268416,0.10992291,0.49377840,1.37335571,0.09853737,0.62664296,0.55504901,0.00007757
-1.96598299,2.20714782,0.00277422,0.10811734,0.51512861,1.39118786,0.09891139,0.64549991,0.55995637,0.00007624
-1.95997999,2.23503426,0.00286661,0.10605996,0.53535459,1.40642026,0.09881858,0.66218849,0.56401780,0.00007476
-1.95397699,2.25684523,0.00296336,0.10375044,0.55411392,1.41862400,0.09825092,0.67640803,0.56708200,0.00007315
-1.94797399,2.27192896,0.00306684,0.10119034,0.57106889,1.42736716,0.09720831,0.68789322,0.56899608,0.00007139
-1.94197099,2.27970235,0.00317967,0.09838412,0.58589708,1.43223285,0.09569887,0.69642433,0.56961372,0.00006950
-1.93596798,2.27967714,0.00330469,0.09534012,0.59830203,1.43283730,0.09373881,0.70183623,0.56880313,0.00006746
-1.92996498,2.27148333,0.00344481,0.09207134,0.60802345,1.42884721,0.09135216,0.70402572,0.56645443,0.00006530
-1.92396198,2.25488873,0.00360293,0.08859592,0.61484652,1.41999549,0.08857011,0.70295682,0.56248606,0.00006300
-1.91795898,2.22981363,0.00378181,0.08493745,0.61860999,1.40609480,0.08543024,0.69866384,0.55684989,0.00006058
-1.91195598,2.19634028,0.00398389,0.08112488,0.61921262,1.38704835,0.08197544,0.69125204,0.54953475,0.00005804
-1.90595298,2.15471657,0.00421120,0.07719222,0.61661771,1.36285756,0.07825280,0.68089587,0.54056831,0.00005541
-1.89994997,2.10535397,0.00446515,0.07317798,0.61085556,1.33362629,0.07431228,0.66783483,0.53001716,0.00005269
-1.89394697,2.04882001,0.00474644,0.06912432,0.60202368,1.29956170,0.07020546,0.65236720,0.51798531,0.00004990
-1.88794397,1.98582567,0.00505493,0.06507610,0.59028478,1.26097167,0.06598424,0.63484196,0.50461097,0.00004706
-1.88194097,1.91720835,0.00538952,0.06107974,0.57586264,1.21825915,0.06169956,0.61564911,0.49006210,0.00004419
-1.87593797,1.84391133,0.00574808,0.05718206,0.55903605,1.17191363,0.05740034,0.59520899,0.47453084,0.00004132
-1.86993497,1.76696051,0.00612744,0.05342908,0.54013100,1.12250031,0.05313245,0.57396087,0.45822718,0.00003846
-1.86393197,1.68743959,0.00652335,0.04986488,0.51951164,1.07064733,0.04893789,0.55235142,0.44137217,0.00003564
-1.85792896,1.60646446,0.00693057,0.04653057,0.49757008,1.01703167,0.04485414,0.53082338,0.42419112,0.00003288
-1.85192596,1.52515794,0.00734293,0.04346336,0.47471584,0.96236419,0.04091372,0.50980488,0.40690692,0.00003020
-1.84592296,1.44462553,0.00775350,0.04069581,0.45136494,0.90737436,0.03714393,0.48969970,0.38973394,0.00002761
-1.83991996,1.36593302,0.00815471,0.03825523,0.42792939,0.85279513,0.03356669,0.47087886,0.37287263,0.00002515
-1.83391696,1.29008640,0.00853860,0.03616335,0.40480717,0.79934832,0.03019871,0.45367358,0.35650511,0.00002281
-1.82791396,1.21801451,0.00889706,0.03443602,0.38237320,0.74773091,0.02705162,0.43836982,0.34079165,0.00002062
-1.82191096,1.15055475,0.00922207,0.03308325,0.36097148,0.69860239,0.02413239,0.42520448,0.32586838,0.00001858
-1.81590795,1.08844175,0.00950597,0.03210926,0.34090847,0.65257348,0.02144367,0.41436305,0.31184595,0.00001671
-1.80990495,1.03229908,0.00974171,0.03151274,0.32244811,0.61019625,0.01898439,0.40597879,0.29880921,0.00001500
-1.80390195,0.98263379,0.00992314,0.03128715,0.30580814,0.57195564,0.01675027,0.40013315,0.28681775,0.00001346
-1.79789895,0.93983342,0.01004517,0.03142120,0.29115804,0.53826261,0.01473442,0.39685731,0.27590719,0.00001210
-1.79189595,0.90416540,0.01010401,0.03189920,0.27861829,0.50944853,0.01292795,0.39613460,0.26609095,0.00001091
-1.78589295,0.87577830,0.01009726,0.03270162,0.26826084,0.48576122,0.01132048,0.39790358,0.25736250,0.00000989
-1.77988994,0.85470467,0.01002405,0.03380554,0.26011081,0.46736222,0.00990081,0.40206152,0.24969767,0.00000904
-1.77388694,0.84086537,0.00988501,0.03518508,0.25414894,0.45432551,0.00865732,0.40846828,0.24305717,0.00000835
-1.76788394,0.83407495,0.00968234,0.03681190,0.25031497,0.44663754,0.00757852,0.41695017,0.23738892,0.00000782
-1.76188094,0.83404809,0.00941962,0.03865559,0.24851151,0.44419868,0.00665340,0.42730396,0.23263030,0.00000744
-1.75587794,0.84040694,0.00910179,0.04068405,0.24860828,0.44682605,0.00587185,0.43930081,0.22871012,0.00000720
-1.74987494,0.85268944,0.00873490,0.04286389,0.25044684,0.45425773,0.00522487,0.45269019,0.22555040,0.00000710
-1.74387194,0.87035857,0.00832593,0.04516078,0.25384528,0.46615844,0.00470485,0.46720380,0.22306791,0.00000713
-1.73786893,0.89281250,0.00788259,0.04753977,0.25860323,0.48212666,0.00430570,0.48255955,0.22117551,0.00000728
-1.73186593,0.91939583,0.00741303,0.04996575,0.26450675,0.50170309,0.00402295,0.49846564,0.21978333,0.00000755
-1.72586293,0.94941179,0.00692559,0.05240372,0.27133329,0.52438047,0.00385376,0.51462490,0.21879993,0.00000793
-1.71985993,0.98213536,0.00642861,0.05481929,0.27885659,0.54961439,0.00379687,0.53073930,0.21813338,0.00000842
-1.71385693,1.01682708,0.00593013,0.05717909,0.28685140,0.57683511,0.00385253,0.54651483,0.21769236,0.00000900
-1.70785393,1.05274747,0.00543775,0.05945124,0.29509812,0.60545990,0.00402227,0.56166653,0.21738739,0.00000968
-1.70185093,1.08917145,0.00495843,0.06160581,0.30338713,0.63490554,0.00430871,0.57592385,0.21713207,0.00001045
-1.69584792,1.12540256,0.00449834,0.06361537,0.31152283,0.66460071,0.00471527,0.58903595,0.21684442,0.00001131
-1.68984492,1.16078636,0.00406280,0.06545541,0.31932725,0.69399760,0.00524578,0.60077697,0.21644825,0.00001226
-1.68384192,1.19472244,0.00365617,0.06710485,0.32664315,0.72258259,0.00590412,0.61095098,0.21587450,0.00001329
-1.67783892,1.22667464,0.00328183,0.06854635,0.33333645,0.74988521,0.00669380,0.61939639,0.21506251,0.00001441
-1.67183592,1.25617887,0.00294223,0.06976670,0.33929793,0.77548549,0.00761746,0.62598951,0.21396117,0.00001560
-1.66583292,1.28284821,0.00263885,0.07075695,0.34444419,0.79901901,0.00867641,0.63064713,0.21252976,0.00001687
