energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,12.73048783,3.06608457,6.67697442,0.07986337,0.76814138,0.05312233,3.54127852,1.55127234,0.82682053
-5.99399700,12.73100127,3.04142974,6.72067989,0.07875329,0.76570455,0.05392931,3.51385891,1.54310458,0.82460357
-5.98799400,12.73600758,3.01942948,6.76895370,0.07759128,0.76368129,0.05479365,3.48577815,1.53372030,0.82220027
-5.98199100,12.74503596,3.00015122,6.82108776,0.07638306,0.76197067,0.05570358,3.45725716,1.52330085,0.81963475
-5.97598799,12.75730762,2.98357448,6.87614848,0.07513481,0.76045676,0.05664599,3.42848158,1.51203585,0.81692089
-5.96998499,12.77177173,2.96960156,6.93299956,0.07385339,0.75901390,0.05760681,3.39960737,1.50012182,0.81406369
-5.96398199,12.78714698,2.95807023,6.99032965,0.07254650,0.75751183,0.05857144,3.37076656,1.48776060,0.81106063
-5.95797899,12.80196753,2.94876760,7.04668454,0.07122273,0.75582024,0.05952512,3.34207275,1.47515756,0.80790298
-5.95197599,12.81463265,2.94144455,7.10050348,0.06989156,0.75381282,0.06045337,3.31362623,1.46251964,0.80457703
-5.94597299,12.82345951,2.93582995,7.15015955,0.06856329,0.75137054,0.06134247,3.28551863,1.45005341,0.80106537
-5.93996998,12.82673895,2.93164435,7.19400374,0.06724896,0.74838425,0.06217983,3.25783736,1.43796328,0.79734816
-5.93396698,12.82279381,2.92861262,7.23041220,0.06596019,0.74475662,0.06295442,3.23066986,1.42645001,0.79340462
-5.92796398,12.81003955,2.92647522,7.25783620,0.06470902,0.74040349,0.06365717,3.20410799,1.41570966,0.78921474
-5.92196098,12.78704638,2.92499817,7.27485384,0.06350779,0.73525468,0.06428130,3.17825276,1.40593321,0.78476120
-5.91595798,12.75260196,2.92398129,7.28022225,0.06236895,0.72925451,0.06482258,3.15321945,1.39730658,0.78003176
-5.90995498,12.70577308,2.92326497,7.27292874,0.06130497,0.72236200,0.06527958,3.12914323,1.39001142,0.77502185
-5.90395198,12.64596439,2.92273531,7.25223916,0.06032822,0.71455100,0.06565379,3.10618515,1.38422628,0.76973742
-5.89794897,12.57297182,2.92232762,7.21774144,0.05945087,0.70581024,0.06594970,3.08453812,1.38012803,0.76419801
-5.89194597,12.48702813,2.92202841,7.16938208,0.05868480,0.69614338,0.06617471,3.06443272,1.37789352,0.75843972
-5.88594297,12.38883769,2.92187578,7.10749377,0.05804153,0.68556904,0.06633903,3.04614216,1.37770084,0.75251804
-5.87993997,12.27959800,2.92195817,7.03281199,0.05753209,0.67412092,0.06645538,3.02998593,1.37973021,0.74651023
-5.87393697,12.16100560,2.92241153,6.94647924,0.05716697,0.66184779,0.06653868,3.01633155,1.38416411,0.74051712
-5.86793397,12.03524453,2.92341491,6.85003576,0.05695589,0.64881343,0.06660555,3.00559398,1.39118625,0.73466408
-5.86193097,11.90495635,2.92518439,6.74539633,0.05690768,0.63509628,0.06667380,2.99823218,1.40097957,0.72910100
-5.85592796,11.77319157,2.92796556,6.63481317,0.05703004,0.62078896,0.06676178,2.99474263,1.41372276,0.72400121
-5.84992496,11.64334322,2.93202456,6.52082603,0.05732935,0.60599730,0.06688777,2.99564975,1.42958567,0.71955919
-5.84392196,11.51906443,2.93763804,6.40620078,0.05781036,0.59083902,0.06706921,3.00149325,1.44872354,0.71598715
-5.83791896,11.40417264,2.94508218,6.29385879,0.05847599,0.57544203,0.06732207,3.01281291,1.47127031,0.71351050
