energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,6.23069976,0.39660973,0.00684655,0.00195939,4.30908141,3.75956569,2.54405210
-5.99399700,6.34052452,0.39031249,0.00682966,0.00195179,4.40450253,3.82865832,2.62936405
-5.98799400,6.44372765,0.38289447,0.00680135,0.00193624,4.49657398,3.89659795,2.71413529
-5.98199100,6.54091151,0.37445620,0.00676251,0.00191278,4.58562705,3.96405846,2.79840552
-5.97598799,6.63286864,0.36511827,0.00671433,0.00188169,4.67210449,4.03179549,2.88223543
-5.96998499,6.72053237,0.35501868,0.00665833,0.00184351,4.75652599,4.10060786,2.96568431
-5.96398199,6.80491755,0.34430949,0.00659626,0.00179900,4.83944744,4.17129266,3.04878558
-5.95797899,6.88705456,0.33315293,0.00653009,0.00174913,4.92141587,4.24459627,3.13152152
-5.95197599,6.96791991,0.32171701,0.00646187,0.00169503,5.00292263,4.32116346,3.21379878
-5.94597299,7.04836716,0.31017096,0.00639370,0.00163798,5.08435719,4.40148730,3.29542618
-5.93996998,7.12906182,0.29868054,0.00632760,0.00157930,5.16596427,4.48586239,3.37609619
-5.93396698,7.21042380,0.28740350,0.00626551,0.00152038,5.24780663,4.57434411,3.45537155
-5.92796398,7.29258051,0.27648540,0.00620913,0.00146259,5.32973573,4.66671611,3.53267800
-5.92196098,7.37533334,0.26605574,0.00615991,0.00140721,5.41137207,4.76246821,3.60730402
-5.91595798,7.45813956,0.25622475,0.00611897,0.00135543,5.49209658,4.86078618,3.67840796
-5.90995498,7.54011067,0.24708082,0.00608710,0.00130831,5.57105377,4.96055462,3.74503281
-5.90395198,7.62002796,0.23868871,0.00606468,0.00126667,5.64716700,5.06037320,3.80612814
-5.89794897,7.69637454,0.23108843,0.00605173,0.00123117,5.71916535,5.15858637,3.86057861
-5.89194597,7.76738300,0.22429500,0.00604785,0.00120221,5.78562133,5.25332555,3.90723802
-5.88594297,7.83109643,0.21829900,0.00605232,0.00117996,5.84499785,5.34256263,3.94496760
-5.87993997,7.88544062,0.21306778,0.00606405,0.00116433,5.89570255,5.42417274,3.97267679
-5.87393697,7.92830404,0.20854744,0.00608169,0.00115500,5.93614745,5.49600406,3.98936491
-5.86793397,7.95762247,0.20466540,0.00610365,0.00115144,5.96481106,5.55595196,3.99416187
-5.86193097,7.97146447,0.20133342,0.00612818,0.00115290,5.98030063,5.60203436,3.98636594
-5.85592796,7.96811409,0.19845119,0.00615341,0.00115849,5.98141170,5.63246563,3.96547708
-5.84992496,7.94614731,0.19591000,0.00617748,0.00116716,5.96718249,5.64572560,3.93122406
-5.84392196,7.90449892,0.19359681,0.00619851,0.00117779,5.93694064,5.64062120,3.88358428
-5.83791896,7.84251697,0.19139814,0.00621478,0.00118920,5.89034052,5.61633790,3.82279525
-5.83191596,7.76000254,0.18920400,0.00622470,0.00120022,5.82738920,5.57247892,3.74935710
-5.82591296,7.65723304,0.18691153,0.00622690,0.00120971,5.74846014,5.50909049,3.66402608
