energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,Y_p_up,Y_d_up
-6.00000000,0.87696497,0.00192827,0.47198212,0.11945719,0.00122333,0.41880627,0.26758631
-5.99399700,0.87227568,0.00169253,0.47387266,0.11832925,0.00116686,0.42059695,0.26775271
-5.98799400,0.86975983,0.00147541,0.47705166,0.11711654,0.00111836,0.42461260,0.26876383
-5.98199100,0.86951238,0.00127731,0.48157665,0.11585129,0.00107835,0.43078426,0.27065283
-5.97598799,0.87166287,0.00109823,0.48753276,0.11457514,0.00104736,0.43902792,0.27346629
-5.96998499,0.87637715,0.00093782,0.49503284,0.11333892,0.00102593,0.44924719,0.27726481
-5.96398199,0.88385669,0.00079543,0.50421603,0.11220203,0.00101464,0.46133611,0.28212273
-5.95797899,0.89433522,0.00067018,0.51524465,0.11123116,0.00101407,0.47518183,0.28812703
-5.95197599,0.90807267,0.00056099,0.52829955,0.11049854,0.00102483,0.49066723,0.29537525
-5.94597299,0.92534632,0.00046666,0.54357368,0.11007965,0.00104751,0.50767302,0.30397251
-5.93996998,0.94643971,0.00038590,0.56126437,0.11005060,0.00108274,0.52607953,0.31402763
-5.93396698,0.97162933,0.00031742,0.58156431,0.11048528,0.00113109,0.54576785,0.32564848
-5.92796398,1.00116998,0.00025991,0.60465161,0.11145230,0.00119309,0.56662047,0.33893682
-5.92196098,1.03527928,0.00021210,0.63067947,0.11301200,0.00126921,0.58852127,0.35398258
-5.91595798,1.07412208,0.00017279,0.65976571,0.11521375,0.00135981,0.61135509,0.37085814
-5.90995498,1.11779579,0.00014089,0.69198291,0.11809339,0.00146514,0.63500687,0.38961269
-5.90395198,1.16631736,0.00011537,0.72734948,0.12167144,0.00158528,0.65936055,0.41026703
-5.89794897,1.21961286,0.00009534,0.76582242,0.12595171,0.00172015,0.68429798,0.43280923
-5.89194597,1.27751050,0.00008002,0.80729218,0.13092091,0.00186946,0.70969799,0.45719127
-5.88594297,1.33973780,0.00006872,0.85158019,0.13654891,0.00203276,0.73543597,0.48332720
-5.87993997,1.40592360,0.00006091,0.89843934,0.14279006,0.00220935,0.76138414,0.51109286
-5.87393697,1.47560520,0.00005613,0.94755788,0.14958538,0.00239836,0.78741276,0.54032753
-5.86793397,1.54824091,0.00005408,0.99856668,0.15686561,0.00259871,0.81339255,0.57083752
-5.86193097,1.62322799,0.00005452,1.05105009,0.16455518,0.00280918,0.83919832,0.60240176
-5.85592796,1.69992540,0.00005734,1.10455992,0.17257676,0.00302842,0.86471395,0.63477939
-5.84992496,1.77768104,0.00006255,1.15863240,0.18085646,0.00325498,0.88983872,0.66771904
-5.84392196,1.85586217,0.00007024,1.21280746,0.18932926,0.00348740,0.91449478,0.70096952
-5.83791896,1.93388821,0.00008060,1.26664950,0.19794460,0.00372421,0.93863542,0.73429166
-5.83191596,2.01126411,0.00009394,1.31976897,0.20667177,0.00396404,0.96225407,0.76747049
-5.82591296,2.08761298,0.00011064,1.37184363,0.21550479,0.00420567,0.98539328,0.80032758
-5.81990995,2.16270622,0.00013122,1.42263840,0.22446666,0.00444808,1.00815329,0.83273245
-5.81390695,2.23648940,0.00015627,1.47202295,0.23361243,0.00469049,1.03069972,0.86461283
-5.80790395,2.30910236,0.00018648,1.51998580,0.24303108,0.00493246,1.05326967,0.89596286
-5.80190095,2.38089218,0.00022264,1.56664421,0.25284591,0.00517392,1.07617573,0.92684871
-5.79589795,2.45241760,0.00026561,1.61224898,0.26321320,0.00541517,1.09980746,0.95741132
-5.78989495,2.52444443,0.00031632,1.65718384,0.27431914,0.00565696,1.12462986,0.98786561
-5.78389195,2.59793120,0.00037577,1.70195892,0.28637494,0.00590043,1.15117864,1.01849621
-5.77788894,2.67400522,0.00044499,1.74719848,0.29961026,0.00614719,1.18005201,1.04964959
-5.77188594,2.75392959,0.00052502,1.79362315,0.31426493,0.00639923,1.21189917,1.08172271
-5.76588294,2.83906196,0.00061689,1.84202711,0.33057947,0.00665889,1.24740554,1.11514860
-5.75987994,2.93080643,0.00072159,1.89325117,0.34878439,0.00692886,1.28727514,1.15037935
-5.75387694,3.03056040,0.00084001,1.94815257,0.36908897,0.00721205,1.33221051,1.18786712
-5.74787394,3.13965835,0.00097295,2.00757286,0.39166971,0.00751158,1.38289094,1.22804409
-5.74187094,3.25931464,0.00112102,2.07230494,0.41665918,0.00783062,1.43994950,1.27130200
-5.73586793,3.39056790,0.00128464,2.14306069,0.44413558,0.00817232,1.50394978,1.31797243
-5.72986493,3.53422904,0.00146401,2.22044036,0.47411363,0.00853973,1.57536315,1.36830846
-5.72386193,3.69083520,0.00165902,2.30490504,0.50653722,0.00893565,1.65454723,1.42246870
-5.71785893,3.86061150,0.00186926,2.39675313,0.54127434,0.00936252,1.74172642,1.48050441
-5.71185593,4.04344226,0.00209399,2.49610170,0.57811444,0.00982233,1.83697514,1.54235023
-5.70585293,4.23885270,0.00233213,2.60287344,0.61676869,0.01031651,1.94020439,1.60781897
-5.69984992,4.44600215,0.00258219,2.71678948,0.65687306,0.01084580,2.05115209,1.67660072
-5.69384692,4.66368870,0.00284235,2.83736830,0.69799435,0.01141023,2.16937753,1.74826626
-5.68784392,4.89036526,0.00311045,2.96393060,0.73963891,0.01200896,2.29426012,1.82227466
-5.68184092,5.12416633,0.00338397,3.09560974,0.78126387,0.01264029,2.42500258,1.89798461
-5.67583792,5.36294425,0.00366014,3.23136730,0.82229041,0.01330161,2.56063839,1.97466909
-5.66983492,5.60431351,0.00393590,3.37001310,0.86211860,0.01398937,2.70004339,2.05153260
-5.66383192,5.84570156,0.00420806,3.51022869,0.90014318,0.01469912,2.84195128,2.12773027
-5.65782891,6.08440395,0.00447327,3.65059373,0.93576977,0.01542550,2.98497249,2.20238810
-5.65182591,6.31764217,0.00472815,3.78961416,0.96843070,0.01616236,3.12761623,2.27462345
-5.64582291,6.54262204,0.00496934,3.92575137,0.99760005,0.01690278,3.26831499,2.34356505
-5.63981991,6.75659097,0.00519358,4.05745159,1.02280710,0.01763921,3.40545118,2.40837189
-5.63381691,6.95689249,0.00539780,4.18317472,1.04364799,0.01836362,3.53738529,2.46825041
-5.62781391,7.14101663,0.00557915,4.30142200,1.05979490,0.01906758,3.66248499,2.52246942
-5.62181091,7.30664515,0.00573513,4.41076200,1.07100278,0.01974249,3.77915475,2.57037269
