energy_ev,total_up,Fe_p_up,Fe_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,7.19243715,0.30894851,0.21572898,4.97737311,2.53963425,0.02463881,1.72331165,0.07047325,2.26341165
-5.99399700,7.01505238,0.30764398,0.21100667,4.86918326,2.45025333,0.02372315,1.68847167,0.06922662,2.21135328
-5.98799400,6.83330125,0.30743676,0.20703774,4.75602495,2.35859692,0.02284842,1.65095809,0.06791582,2.15941697
-5.98199100,6.64843905,0.30833453,0.20378403,4.63885495,2.26534150,0.02201368,1.61101017,0.06654927,2.10794140
-5.97598799,6.46166740,0.31032640,0.20119740,4.51861098,2.17113909,0.02121748,1.56888909,0.06513512,2.05722459
-5.96998499,6.27413616,0.31338297,0.19922257,4.39620181,2.07661667,0.02045814,1.52487948,0.06368128,2.00752439
-5.96398199,6.08694422,0.31745660,0.19779982,4.27249678,1.98237567,0.01973393,1.47928937,0.06219551,1.95905944
-5.95797899,5.90113797,0.32248162,0.19686738,4.14831495,1.88899104,0.01904328,1.43244857,0.06068549,1.91200984
-5.95197599,5.71770662,0.32837456,0.19636330,4.02441383,1.79700955,0.01838493,1.38470537,0.05915885,1.86651756
-5.94597299,5.53757406,0.33503443,0.19622687,3.90147827,1.70694710,0.01775810,1.33642139,0.05762317,1.82268628
-5.93996998,5.36158759,0.34234315,0.19639945,3.78011003,1.61928494,0.01716253,1.28796509,0.05608596,1.78058082
-5.93396698,5.19050425,0.35016615,0.19682491,3.66081886,1.53446516,0.01659856,1.23970415,0.05455458,1.74022623
-5.92796398,5.02497605,0.35835335,0.19744958,3.54401587,1.45288547,0.01606712,1.19199717,0.05303610,1.70160710
-5.92196098,4.86553547,0.36674060,0.19822198,3.43001002,1.37489385,0.01556975,1.14518528,0.05153720,1.66466718
-5.91595798,4.71258309,0.37515171,0.19909234,3.31900834,1.30078355,0.01510847,1.09958423,0.05006397,1.62930999
-5.90995498,4.56637883,0.38340109,0.20001212,3.21112042,1.23078876,0.01468579,1.05547737,0.04862176,1.59540079
-5.90395198,4.42703826,0.39129723,0.20093372,3.10636730,1.16508159,0.01430459,1.01311009,0.04721507,1.56277013
-5.89794897,4.29453528,0.39864676,0.20181033,3.00469474,1.10377068,0.01396801,0.97268611,0.04584744,1.53121940
-5.89194597,4.16871155,0.40525926,0.20259620,2.90599034,1.04690173,0.01367942,0.93436572,0.04452138,1.50052842
-5.88594297,4.04929310,0.41095263,0.20324725,2.81010409,0.99446002,0.01344228,0.89826617,0.04323841,1.47046487
-5.87993997,3.93591364,0.41555878,0.20372215,2.71687101,0.94637511,0.01326012,0.86446421,0.04199910,1.44079547
-5.87393697,3.82814358,0.41892952,0.20398373,2.62613520,0.90252739,0.01313644,0.83300041,0.04080324,1.41129847
