energy_ev,total_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,4.31279745,0.01313018,0.65571383,0.11830463,0.05852455,1.99589693,1.50014871,1.04601700
-5.99399700,4.49591771,0.01362553,0.68993837,0.12259094,0.06063147,2.07314198,1.57583071,1.09021201
-5.98799400,4.68166853,0.01412596,0.72428208,0.12700070,0.06272235,2.15211235,1.65335149,1.13455184
-5.98199100,4.86866573,0.01463023,0.75837790,0.13150851,0.06478323,2.23238713,1.73225165,1.17868127
-5.97598799,5.05548805,0.01513689,0.79187285,0.13608717,0.06680192,2.31350069,1.81202169,1.22224179
-5.96998499,5.24068528,0.01564431,0.82443510,0.14070766,0.06876812,2.39493816,1.89210297,1.26487501
-5.96398199,5.42278917,0.01615065,0.85576040,0.14533939,0.07067365,2.47613350,1.97189072,1.30622647
-5.95797899,5.60032668,0.01665387,0.88557768,0.14995034,0.07251250,2.55647028,2.05073915,1.34594973
-5.95197599,5.77183524,0.01715176,0.91365345,0.15450738,0.07428072,2.63528540,2.12796847,1.38371055
-5.94597299,5.93587902,0.01764189,0.93979480,0.15897655,0.07597630,2.71187546,2.20287373,1.41919105
-5.93996998,6.09106590,0.01812165,0.96385087,0.16332337,0.07759882,2.78550569,2.27473520,1.45209363
-5.93396698,6.23606416,0.01858822,0.98571253,0.16751319,0.07914916,2.85542117,2.34283001,1.48214446
-5.92796398,6.36961871,0.01903861,1.00531065,0.17151148,0.08062893,2.92085991,2.40644467,1.50909662
-5.92196098,6.49056607,0.01946958,1.02261265,0.17528424,0.08204001,2.98106735,2.46488831,1.53273262
-5.91595798,6.59784821,0.01987776,1.03761794,0.17879830,0.08338399,3.03531197,2.51750608,1.55286639
-5.90995498,6.69052493,0.02025953,1.05035233,0.18202169,0.08466161,3.08290141,2.56369268,1.56934485
-5.90395198,6.76778498,0.02061115,1.06086182,0.18492409,0.08587226,3.12319864,2.60290534,1.58204895
-5.89794897,6.82895593,0.02092871,1.06920626,0.18747723,0.08701358,3.15563790,2.63467632,1.59089446
-5.89194597,6.87351321,0.02120822,1.07545325,0.18965540,0.08808111,3.17973970,2.65862439,1.59583252
-5.88594297,6.90108825,0.02144568,1.07967262,0.19143596,0.08906817,3.19512470,2.67446508,1.59685001
