energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.93874401,-0.90760125,0.34622559,-0.35154083,0.10961577,-0.10923862,0.00194812,-0.00146190,0.04652540,-0.04402270,0.25309445,-0.24803725,0.09599393,-0.08578531,0.03700618,-0.03520939,0.49624439,-0.48207878
-5.99399700,0.93190721,-0.89765121,0.33744194,-0.33809100,0.10973875,-0.10994237,0.00171388,-0.00127027,0.04602165,-0.04314515,0.24775715,-0.24078530,0.09671553,-0.08525413,0.03765352,-0.03614639,0.49183691,-0.47591118
-5.98799400,0.92552843,-0.88740402,0.33065425,-0.32594946,0.10965650,-0.11039091,0.00150029,-0.00109846,0.04549228,-0.04219293,0.24266178,-0.23340682,0.09777828,-0.08492328,0.03812310,-0.03693929,0.48791587,-0.46978447
-5.98199100,0.92004337,-0.87718862,0.32616525,-0.31541470,0.10940165,-0.11059450,0.00130800,-0.00094634,0.04496859,-0.04119221,0.23803944,-0.22611512,0.09923902,-0.08483859,0.03840299,-0.03756954,0.48473045,-0.46389490
-5.97598799,0.91592112,-0.86737304,0.32426395,-0.30678062,0.10901504,-0.11057287,0.00113722,-0.00081355,0.04448364,-0.04017098,0.23412359,-0.21913094,0.10115750,-0.08504955,0.03848573,-0.03802192,0.48254419,-0.45845769
-5.96998499,0.91365811,-0.85836686,0.32522148,-0.30033583,0.10854538,-0.11035594,0.00098781,-0.00069949,0.04407162,-0.03915864,0.23114487,-0.21267907,0.10359551,-0.08560960,0.03836880,-0.03828528,0.48163141,-0.45370821
-5.96398199,0.91376911,-0.85062154,0.32928605,-0.29636247,0.10804863,-0.10998421,0.00085933,-0.00060343,0.04376696,-0.03818557,0.22932560,-0.20698469,0.10661554,-0.08657629,0.03805487,-0.03835314,0.48227235,-0.44990195
-5.95797899,0.91677541,-0.84462803,0.33667700,-0.29513401,0.10758692,-0.10950874,0.00075112,-0.00052456,0.04360355,-0.03728269,0.22887416,-0.20226958,0.11027888,-0.08801091,0.03755185,-0.03822420,0.48474656,-0.44731319
-5.95197599,0.92319030,-0.84091140,0.34757815,-0.29691217,0.10722729,-0.10899075,0.00066239,-0.00046205,0.04361375,-0.03648091,0.22997923,-0.19874810,0.11464345,-0.08997767,0.03687277,-0.03790259,0.48932515,-0.44623186
-5.94597299,0.93350249,-0.84002228,0.36213053,-0.30194266,0.10704004,-0.10850075,0.00059225,-0.00041512,0.04382747,-0.03581054,0.23280434,-0.19662303,0.11976107,-0.09254242,0.03603544,-0.03739789,0.49626180,-0.44695884
-5.93996998,0.94815812,-0.84252513,0.38042497,-0.31044972,0.10709700,-0.10811734,0.00053978,-0.00038302,0.04427127,-0.03530071,0.23748261,-0.19608135,0.12567470,-0.09577092,0.03506190,-0.03672501,0.50578314,-0.44979943
-5.93396698,0.96754219,-0.84898366,0.40249481,-0.32262966,0.10746957,-0.10792549,0.00050408,-0.00036514,0.04496740,-0.03497871,0.24411221,-0.19728995,0.13241543,-0.09972660,0.03397781,-0.03590381,0.51807881,-0.45505537
-5.92796398,0.99196057,-0.85994380,0.42830932,-0.33864361,0.10822683,-0.10801465,0.00048432,-0.00036098,0.04593310,-0.03486932,0.25275251,-0.20039150,0.13999971,-0.10446799,0.03281162,-0.03495852,0.53329198,-0.46301544
-5.92196098,1.02162340,-0.87591488,0.45776823,-0.35860954,0.10943370,-0.10847651,0.00047975,-0.00037020,0.04717989,-0.03499419,0.26342122,-0.20550043,0.14842667,-0.11004594,0.03159372,-0.03391709,0.55151061,-0.47394519
-5.91595798,1.05663127,-0.89734997,0.49069796,-0.38259435,0.11114928,-0.10940266,0.00048976,-0.00039259,0.04871311,-0.03537118,0.27609278,-0.21269932,0.15767610,-0.11650064,0.03035553,-0.03281027,0.57276023,-0.48807615
-5.90995498,1.09696486,-0.92462622,0.52684999,-0.41060610,0.11342545,-0.11088212,0.00051385,-0.00042809,0.05053165,-0.03601386,0.29069807,-0.22203577,0.16770692,-0.12385873,0.02912862,-0.03167070,0.59699882,-0.50559515
-5.90395198,1.14247917,-0.95802626,0.56590174,-0.44258718,0.11630579,-0.11299898,0.00055168,-0.00047681,0.05262792,-0.03693094,0.30712556,-0.23351996,0.17845655,-0.13213066,0.02794381,-0.03053191,0.62411405,-0.52663420
-5.89794897,1.19290271,-0.99772185,0.60746031,-0.47840879,0.11982491,-0.11583015,0.00060304,-0.00053893,0.05498799,-0.03812600,0.32522397,-0.24712303,0.18984104,-0.14130836,0.02683039,-0.02942731,0.65392337,-0.55126166
-5.89194597,1.24784217,-1.04376054,0.65106915,-0.51786725,0.12400817,-0.11944335,0.00066784,-0.00061478,0.05759212,-0.03959722,0.34480653,-0.26277651,0.20175639,-0.15136353,0.02581538,-0.02838919,0.68617716,-0.57947521
-5.88594297,1.30679254,-1.09605649,0.69621771,-0.56068276,0.12887175,-0.12389540,0.00074612,-0.00070471,0.06041539,-0.04133730,0.36565645,-0.28037281,0.21408062,-0.16224659,0.02492299,-0.02744783,0.72056481,-0.61119701
-5.87993997,1.36915232,-1.15438591,0.74235380,-0.60650067,0.13442317,-0.12923090,0.00083799,-0.00080914,0.06342857,-0.04333360,0.38753381,-0.29976700,0.22667697,-0.17388649,0.02417408,-0.02663061,0.75672370,-0.64627159
-5.87393697,1.43424332,-1.21838765,0.78889833,-0.65489573,0.14066195,-0.13548127,0.00094363,-0.00092847,0.06659926,-0.04556841,0.41018327,-0.32077977,0.23939782,-0.18619134,0.02358583,-0.02596136,0.79425063,-0.68446668
-5.86793397,1.50133388,-1.28756919,0.83526181,-0.70537931,0.14758063,-0.14266424,0.00106324,-0.00106304,0.06989297,-0.04801945,0.43334245,-0.34320169,0.25208931,-0.19905000,0.02317150,-0.02545971,0.83271522,-0.72547692
-5.86193097,1.56966453,-1.36131780,0.88086194,-0.75740941,0.15516578,-0.15078371,0.00119701,-0.00121312,0.07327442,-0.05066045,0.45675058,-0.36679852,0.26459639,-0.21233456,0.02294030,-0.02514066,0.87167458,-0.76893069
-5.85592796,1.63847449,-1.43891639,0.92514147,-0.81040333,0.16339900,-0.15982994,0.00134508,-0.00137881,0.07670874,-0.05346199,0.48015692,-0.39131745,0.27676810,-0.22590357,0.02289737,-0.02501429,0.91068851,-0.81439944
-5.84992496,1.70702776,-1.51956355,0.96758538,-0.86375242,0.17225783,-0.16978005,0.00150750,-0.00156006,0.08016263,-0.05639232,0.50332858,-0.41649411,0.28846271,-0.23960601,0.02304383,-0.02508559,0.94933433,-0.86140944
-5.84392196,1.77463698,-1.60239649,1.00773663,-0.91683830,0.18171636,-0.18059872,0.00168416,-0.00175656,0.08360533,-0.05941839,0.52605729,-0.44205993,0.29955258,-0.25328567,0.02337688,-0.02535442,0.98722053,-0.90945518
-5.83791896,1.84068408,-1.68651602,1.04520946,-0.96904993,0.19174558,-0.19223901,0.00187479,-0.00196776,0.08700945,-0.06250677,0.54816479,-0.46774953,0.30992826,-0.26678588,0.02388999,-0.02581564,1.02399860,-0.95801383
-5.83191596,1.90463622,-1.77101204,1.07969964,-1.01980061,0.20231332,-0.20464320,0.00207890,-0.00219280,0.09035153,-0.06562463,0.56950647,-0.49330788,0.31950188,-0.27995421,0.02457313,-0.02645933,1.05937210,-1.00656008
-5.82591296,1.96605630,-1.85498844,1.11099109,-1.06854409,0.21338378,-0.21774361,0.00229573,-0.00243050,0.09361232,-0.06874058,0.58997311,-0.51849669,0.32820935,-0.29264703,0.02541299,-0.02727113,1.09310271,-1.05458042
-5.81990995,2.02460755,-1.93758597,1.13895840,-1.11478900,0.22491670,-0.23146330,0.00252425,-0.00267934,0.09677677,-0.07182547,0.60949063,-0.54309990,0.33601149,-0.30473358,0.02639328,-0.02823262,1.12501289,-1.10158646
-5.81390695,2.08005189,-2.01800205,1.16356526,-1.15811085,0.23686619,-0.24571662,0.00276313,-0.00293747,0.09983378,-0.07485296,0.62801788,-0.56692778,0.34289384,-0.31609936,0.02749500,-0.02932187,1.15498495,-1.14712622
-5.80790395,2.13224265,-2.09550657,1.18485881,-1.19816097,0.24917935,-0.26040962,0.00301071,-0.00320269,0.10277568,-0.07779992,0.64554266,-0.58981963,0.34886535,-0.32664877,0.02869682,-0.03051401,1.18295683,-1.19079324
