energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,6.63470061,0.33264448,0.00242391,0.02461283,4.68792202,4.07601637,2.25686302
-5.99399700,6.62835945,0.33760923,0.00248676,0.02520191,4.66967190,4.06836860,2.23397834
-5.98799400,6.62031980,0.34166752,0.00254998,0.02584697,4.65149564,4.05628247,2.21299047
-5.98199100,6.61068118,0.34485750,0.00261333,0.02656248,4.63331178,4.03958340,2.19392634
-5.97598799,6.59943011,0.34723059,0.00267653,0.02736301,4.61492390,4.01810675,2.17672781
-5.96998499,6.58645560,0.34884860,0.00273923,0.02826255,4.59604415,3.99172132,2.16126509
-5.96398199,6.57156948,0.34978051,0.00280101,0.02927380,4.57632134,3.96035277,2.14735300
-5.95797899,6.55453027,0.35009904,0.00286137,0.03040753,4.55537209,3.92400582,2.13476926
-5.95197599,6.53506936,0.34987711,0.00291975,0.03167187,4.53281348,3.88278375,2.12327370
-5.94597299,6.51291815,0.34918448,0.00297552,0.03307169,4.50829542,3.83690427,2.11262747
-5.93996998,6.48783472,0.34808463,0.00302802,0.03460811,4.48153119,3.78671071,2.10261129
-5.93396698,6.45962907,0.34663214,0.00307655,0.03627805,4.45232469,3.73267805,2.09304186
-5.92796398,6.42818566,0.34487058,0.00312042,0.03807393,4.42059314,3.67541319,2.08378577
-5.92196098,6.39348247,0.34283118,0.00315895,0.03998353,4.38638427,3.61564954,2.07477042
-5.91595798,6.35560590,0.34053220,0.00319153,0.04199001,4.34988714,3.55423589,2.06599141
-5.90995498,6.31476112,0.33797909,0.00321761,0.04407204,4.31143638,3.49212027,2.05751639
-5.90395198,6.27127732,0.33516553,0.00323678,0.04620425,4.27150962,3.43032907,2.04948517
-5.89794897,6.22560810,0.33207503,0.00324876,0.04835764,4.23071836,3.36994252,2.04210637
-5.89194597,6.17832667,0.32868328,0.00325341,0.05050034,4.18979258,3.31206731,2.03565065
-5.88594297,6.13011632,0.32496095,0.00325082,0.05259837,4.14956005,3.25780736,2.03044105
-5.87993997,6.08175625,0.32087679,0.00324123,0.05461661,4.11092086,3.20823386,2.02684072
-5.87393697,6.03410321,0.31640093,0.00322511,0.05651978,4.07481846,3.16435552,2.02523864
-5.86793397,5.98806941,0.31150810,0.00320312,0.05827349,4.04220809,3.12708998,2.02603367
-5.86193097,5.94459728,0.30618069,0.00317613,0.05984531,4.01402390,3.09723736,2.02961769
-5.85592796,5.90463175,0.30041137,0.00314515,0.06120581,3.99114585,3.07545666,2.03635813
-5.84992496,5.86909082,0.29420520,0.00311137,0.06232952,3.97436768,3.06224575,2.04658071
-5.84392196,5.83883535,0.28758116,0.00307608,0.06319575,3.96436685,3.05792546,2.06055270
-5.83791896,5.81463901,0.28057291,0.00304064,0.06378937,3.96167788,3.06262818,2.07846746
-5.83191596,5.79715961,0.27322884,0.00300647,0.06410130,3.96666970,3.07629151,2.10043073
