energy_ev,total_up,Hf_p_up,Hf_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,0.20584235,0.07257794,0.12706114,0.00020422,0.13129029,0.00213139,0.01054376
-5.99399700,0.23225338,0.08236651,0.14562126,0.00025240,0.14885736,0.00243692,0.01175547
-5.98799400,0.26262214,0.09364332,0.16660799,0.00030974,0.16894500,0.00278290,0.01317086
-5.98199100,0.29693173,0.10642368,0.19003386,0.00037739,0.19154825,0.00316960,0.01478804
-5.97598799,0.33510961,0.12070411,0.21587254,0.00045657,0.21662451,0.00359682,0.01660274
-5.96998499,0.37702076,0.13645962,0.24405381,0.00054843,0.24408899,0.00406388,0.01860801
-5.96398199,0.42246231,0.15364136,0.27445951,0.00065413,0.27381092,0.00456959,0.02079400
-5.95797899,0.47115994,0.17217486,0.30692071,0.00077468,0.30561113,0.00511216,0.02314778
-5.95197599,0.52276655,0.19195909,0.34121649,0.00091100,0.33926105,0.00568927,0.02565332
-5.94597299,0.57686356,0.21286630,0.37707452,0.00106378,0.37448357,0.00629810,0.02829150
-5.93996998,0.63296517,0.23474310,0.41417369,0.00123350,0.41095580,0.00693539,0.03104030
-5.93396698,0.69052568,0.25741253,0.45214884,0.00142033,0.44831406,0.00759756,0.03387510
-5.92796398,0.74894998,0.28067740,0.49059775,0.00162413,0.48616079,0.00828085,0.03676909
-5.92196098,0.80760699,0.30432475,0.52909010,0.00184437,0.52407367,0.00898148,0.03969390
-5.91595798,0.86584574,0.32813143,0.56717836,0.00208013,0.56161639,0.00969583,0.04262016
-5.90995498,0.92301373,0.35187064,0.60441030,0.00233007,0.59835098,0.01042068,0.04551840
-5.90395198,0.97847666,0.37531911,0.64034246,0.00259244,0.63385114,0.01115340,0.04835978
-5.89794897,1.03163912,0.39826478,0.67455440,0.00286510,0.66771614,0.01189219,0.05111704
-5.89194597,1.08196495,0.42051458,0.70666282,0.00314551,0.69958455,0.01263623,0.05376533
-5.88594297,1.12899661,0.44190197,0.73633513,0.00343087,0.72914733,0.01338589,0.05628306
-5.87993997,1.17237245,0.46229376,0.76330164,0.00371807,0.75615949,0.01414285,0.05865264
-5.87393697,1.21184091,0.48159590,0.78736584,0.00400386,0.78044973,0.01491017,0.06086112
-5.86793397,1.24727079,0.49975790,0.80841214,0.00428493,0.80192744,0.01569229,0.06290065
-5.86193097,1.27865693,0.51677534,0.82641059,0.00455796,0.82058671,0.01649495,0.06476871
-5.85592796,1.30612060,0.53269046,0.84141808,0.00481978,0.83650676,0.01732506,0.06646820
-5.84992496,1.32990435,0.54759040,0.85357607,0.00506743,0.84984873,0.01819044,0.06800723
-5.84392196,1.35036131,0.56160315,0.86310439,0.00529830,0.86084883,0.01909951,0.06939864
-5.83791896,1.36793893,0.57489122,0.87029162,0.00551014,0.86980775,0.02006084,0.07065938
-5.83191596,1.38315787,0.58764305,0.87548207,0.00570120,0.87707698,0.02108272,0.07180955
-5.82591296,1.39658670,0.60006268,0.87905997,0.00587021,0.88304224,0.02217259,0.07287130
-5.81990995,1.40881343,0.61235785,0.88143151,0.00601646,0.88810493,0.02333646,0.07386763
-5.81390695,1.42041510,0.62472721,0.88300548,0.00613970,0.89266227,0.02457838,0.07482101
-5.80790395,1.43192691,0.63734711,0.88417335,0.00624022,0.89708710,0.02589982,0.07575201
-5.80190095,1.44381227,0.65035879,0.88528990,0.00631871,0.90170824,0.02729920,0.07667799
-5.79589795,1.45643539,0.66385652,0.88665509,0.00637621,0.90679255,0.02877145,0.07761184
-5.78989495,1.47003783,0.67787749,0.88849839,0.00641403,0.91252943,0.03030771,0.07856097
-5.78389195,1.48472040,0.69239404,0.89096611,0.00643365,0.91901872,0.03189514,0.07952644
-5.77788894,1.50043139,0.70730873,0.89411271,0.00643659,0.92626277,0.03351691,0.08050255
-5.77188594,1.51696215,0.72245285,0.89789637,0.00642436,0.93416297,0.03515238,0.08147655
-5.76588294,1.53395034,0.73758841,0.90217925,0.00639832,0.94252137,0.03677748,0.08242895
-5.75987994,1.55089105,0.75241393,0.90673260,0.00635962,0.95104716,0.03836521,0.08333403
-5.75387694,1.56715541,0.76657374,0.91124632,0.00630917,0.95936795,0.03988639,0.08416076
-5.74787394,1.58201613,0.77967064,0.91534290,0.00624759,0.96704544,0.04131052,0.08487413
-5.74187094,1.59467873,0.79128131,0.91859474,0.00617518,0.97359471,0.04260679,0.08543662
-5.73586793,1.60431717,0.80097399,0.92054446,0.00609199,0.97850635,0.04374514,0.08581002
-5.72986493,1.61011230,0.80832739,0.92072681,0.00599781,0.98127030,0.04469740,0.08595729
-5.72386193,1.61129117,0.81295033,0.91869148,0.00589226,0.98140044,0.04543839,0.08584450
-5.71785893,1.60716553,0.81450076,0.91402554,0.00577484,0.97845860,0.04594698,0.08544276
-5.71185593,1.59716760,0.81270373,0.90637445,0.00564505,0.97207698,0.04620703,0.08472994
-5.70585293,1.58088151,0.80736703,0.89546068,0.00550244,0.96197792,0.04620818,0.08369225
-5.69984992,1.55806887,0.79839414,0.88109915,0.00534669,0.94799007,0.04594647,0.08232546
-5.69384692,1.52868749,0.78579361,0.86320865,0.00517775,0.93006029,0.04542474,0.08063585
-5.68784392,1.49290238,0.76968471,0.84181896,0.00499581,0.90826092,0.04465277,0.07864070
-5.68184092,1.45108872,0.75029892,0.81707334,0.00480143,0.88279194,0.04364721,0.07636842
-5.67583792,1.40382682,0.72797742,0.78922646,0.00459551,0.85397829,0.04243128,0.07385829
-5.66983492,1.35188942,0.70316462,0.75863787,0.00437934,0.82226240,0.04103422,0.07115972
-5.66383192,1.29622221,0.67639812,0.72576160,0.00415454,0.78819259,0.03949058,0.06833129
-5.65782891,1.23791836,0.64829558,0.69113242,0.00392307,0.75240771,0.03783931,0.06543938
-5.65182591,1.17818853,0.61953911,0.65534946,0.00368715,0.71561902,0.03612278,0.06255658
-5.64582291,1.11832747,0.59085768,0.61905794,0.00344922,0.67858999,0.03438563,0.05975991
-5.63981991,1.05967861,0.56300843,0.58292991,0.00321184,0.64211485,0.03267367,0.05712893
-5.63381691,1.00359805,0.53675730,0.54764473,0.00297762,0.60699682,0.03103268,0.05474376
-5.62781391,0.95141901,0.51285973,0.51387002,0.00274916,0.57402663,0.02950730,0.05268305
-5.62181091,0.90441786,0.49204193,0.48224373,0.00252895,0.54396209,0.02813996,0.05102210
-5.61580790,0.86378261,0.47498312,0.45335778,0.00231927,0.51750920,0.02696986,0.04983093
-5.60980490,0.83058447,0.46229914,0.42774380,0.00212221,0.49530526,0.02603208,0.04917255
-5.60380190,0.80575302,0.45452774,0.40586105,0.00193952,0.47790414,0.02535678,0.04910136
-5.59779890,0.79005523,0.45211571,0.38808678,0.00177265,0.46576412,0.02496858,0.04966167
-5.59179590,0.78407859,0.45540795,0.37470914,0.00162265,0.45923816,0.02488594,0.05088648
-5.58579290,0.78821829,0.46463876,0.36592236,0.00149022,0.45856672,0.02512082,0.05279638
-5.57978989,0.80266856,0.47992521,0.36182437,0.00137566,0.46387308,0.02567836,0.05539880
-5.57378689,0.82741803,0.50126286,0.36241655,0.00127892,0.47516116,0.02655675,0.05868735
-5.56778389,0.86224910,0.52852372,0.36760550,0.00119957,0.49231557,0.02774718,0.06264154
-5.56178089,0.90674116,0.56145665,0.37720667,0.00113687,0.51510404,0.02923402,0.06722670
-5.55577789,0.96027778,0.59969018,0.39094969,0.00108977,0.54318197,0.03099500,0.07239428
-5.54977489,1.02205757,0.64273786,0.40848527,0.00105700,0.57609915,0.03300166,0.07808237
-5.54377189,1.09110874,0.69000603,0.42939339,0.00103703,0.61330846,0.03521982,0.08421660
-5.53776888,1.16630733,0.74080418,0.45319291,0.00102821,0.65417652,0.03761029,0.09071133
-5.53176588,1.24639859,0.79435763,0.47935220,0.00102874,0.69799619,0.04012961,0.09747117
-5.52576288,1.33002166,0.84982248,0.50730070,0.00103678,0.74400066,0.04273098,0.10439275
-5.51975988,1.41573676,0.90630255,0.53644140,0.00105043,0.79137904,0.04536522,0.11136682
-5.51375688,1.50205468,0.96286798,0.56616374,0.00106784,0.83929304,0.04798186,0.11828049
-5.50775388,1.58746784,1.01857513,0.59585702,0.00108720,0.88689458,0.05053027,0.12501962
-5.50175088,1.67048220,1.07248718,0.62492380,0.00110682,0.93334385,0.05296081,0.13147135
-5.49574787,1.74964932,1.12369503,0.65279318,0.00112513,0.97782743,0.05522594,0.13752660
-5.48974487,1.82359767,1.17133776,0.67893357,0.00114073,1.01957600,0.05728134,0.14308246
-5.48374187,1.89106237,1.21462221,0.70286467,0.00115243,1.05788131,0.05908689,0.14804454
-5.47773887,1.95091257,1.25284105,0.72416844,0.00115921,1.09211179,0.06060757,0.15232898
-5.47173587,2.00217566,1.28538867,0.74249861,0.00116030,1.12172650,0.06181424,0.15586426
-5.46573287,2.04405772,1.31177476,0.75758866,0.00115515,1.14628708,0.06268413,0.15859260
-5.45972986,2.07595957,1.33163481,0.76925791,0.00114343,1.16546721,0.06320135,0.16047102
-5.45372686,2.09748816,1.34473752,0.77741573,0.00112504,1.17905957,0.06335696,0.16147200
-5.44772386,2.10846291,1.35098894,0.78206350,0.00110008,1.18697994,0.06314906,0.16158369
-5.44172086,2.10891697,1.35043303,0.78329453,0.00106885,1.18926840,0.06258254,0.16080977
-5.43571786,2.09909349,1.34324903,0.78129162,0.00103179,1.18608762,0.06166875,0.15916888
-5.42971486,2.07943684,1.32974543,0.77632264,0.00098950,1.17771827,0.06042492,0.15669370
-5.42371186,2.05057938,1.31035097,0.76873377,0.00094269,1.16455154,0.05887351,0.15342979
-5.41770885,2.01332383,1.28560283,0.75894085,0.00089215,1.14707909,0.05704148,0.14943410
-5.41170585,1.96862191,1.25613230,0.74741883,0.00083872,1.12588043,0.05495941,0.14477335
-5.40570285,1.91754952,1.22264840,0.73468942,0.00078325,1.10160812,0.05266064,0.13952223
-5.39969985,1.86127924,1.18591966,0.72130728,0.00072659,1.07497093,0.05018037,0.13376153
-5.39369685,1.80105063,1.14675469,0.70784492,0.00066957,1.04671538,0.04755479,0.12757623
-5.38769385,1.73813886,1.10598171,0.69487658,0.00061295,1.01760601,0.04482027,0.12105364
-5.38169085,1.67382262,1.06442779,0.68296147,0.00055742,0.98840475,0.04201258,0.11428156
