energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.05037949,0.00581212,0.28560183,1.22930998,0.71878635,0.03178609,0.48920417,0.14769709,0.20301841
-5.99399700,1.96414107,0.00536715,0.27546323,1.22610513,0.68305236,0.02920053,0.46696989,0.14142995,0.19377892
-5.98799400,1.88398833,0.00492816,0.26612190,1.22395210,0.65015665,0.02668944,0.44637931,0.13545645,0.18516933
-5.98199100,1.80971024,0.00450026,0.25751923,1.22233091,0.62001178,0.02427434,0.42738639,0.12978881,0.17716993
-5.97598799,1.74099449,0.00408792,0.24958052,1.22070028,0.59248714,0.02197317,0.40992458,0.12443801,0.16975043
-5.96998499,1.67745236,0.00369495,0.24221921,1.21852059,0.56741881,0.01980020,0.39391287,0.11941445,0.16287216
-5.96398199,1.61864780,0.00332445,0.23534152,1.21527797,0.54462101,0.01776596,0.37926275,0.11472899,0.15649075
-5.95797899,1.56412900,0.00297882,0.22885159,1.21050872,0.52389850,0.01587738,0.36588570,0.11039416,0.15055906
-5.95197599,1.51346100,0.00265975,0.22265654,1.20382302,0.50505923,0.01413801,0.35370079,0.10642553,0.14503013
-5.94597299,1.46625745,0.00236833,0.21667154,1.19492664,0.48792668,0.01254834,0.34264205,0.10284311,0.13986024
-5.93996998,1.42220989,0.00210505,0.21082432,1.18363982,0.47235120,0.01110620,0.33266508,0.09967269,0.13501160
-5.93396698,1.38111288,0.00186992,0.20505917,1.16991212,0.45821966,0.00980717,0.32375267,0.09694695,0.13045479
-5.92796398,1.34288348,0.00166256,0.19934000,1.15383234,0.44546311,0.00864504,0.31591893,0.09470629,0.12617062
-5.92196098,1.30757397,0.00148223,0.19365249,1.13563294,0.43406167,0.00761224,0.30921166,0.09299924,0.12215152
-5.91595798,1.27537675,0.00132797,0.18800509,1.11568829,0.42404668,0.00670026,0.30371282,0.09188231,0.11840204
-5.90995498,1.24662098,0.00119865,0.18242886,1.09450664,0.41549967,0.00590009,0.29953682,0.09141937,0.11493886
-5.90395198,1.22176088,0.00109304,0.17697612,1.07271578,0.40854829,0.00520249,0.29682674,0.09168022,0.11178985
-5.89794897,1.20135577,0.00100985,0.17171803,1.05104282,0.40335916,0.00459832,0.29574832,0.09273869,0.10899259
-5.89194597,1.18604268,0.00094779,0.16674113,1.03028854,0.40012809,0.00407878,0.29648216,0.09466997,0.10659211
-5.88594297,1.17650253,0.00090557,0.16214301,1.01129742,0.39906786,0.00363553,0.29921412,0.09754749,0.10463817
-5.87993997,1.17342132,0.00088195,0.15802737,0.99492423,0.40039426,0.00326088,0.30412447,0.10143917,0.10318208
-5.87393697,1.17744792,0.00087570,0.15449858,0.98199867,0.40431087,0.00294778,0.31137606,0.10640346,0.10227325
-5.86793397,1.18915041,0.00088563,0.15165610,0.97328924,0.41099338,0.00268990,0.32110223,0.11248508,0.10195562
-5.86193097,1.20897303,0.00091053,0.14958889,0.96946813,0.42057408,0.00248157,0.33339478,0.11971079,0.10226415
-5.85592796,1.23719575,0.00094918,0.14837021,0.97107835,0.43312738,0.00231780,0.34829275,0.12808533,0.10322158
-5.84992496,1.27389843,0.00100034,0.14805288,0.97850463,0.44865700,0.00219415,0.36577249,0.13758780,0.10483555
-5.84392196,1.31893167,0.00106267,0.14866537,0.99194947,0.46708556,0.00210670,0.38573961,0.14816861,0.10709626
-5.83791896,1.37189571,0.00113475,0.15020875,1.01141536,0.48824718,0.00205197,0.40802332,0.15974732,0.10997487
-5.83191596,1.43212898,0.00121508,0.15265481,1.03669418,0.51188350,0.00202685,0.43237354,0.17221147,0.11342264
-5.82591296,1.49870710,0.00130201,0.15594529,1.06736436,0.53764355,0.00202853,0.45846112,0.18541653,0.11737088
-5.81990995,1.57045300,0.00139380,0.15999237,1.10279607,0.56508761,0.00205446,0.48588132,0.19918723,0.12173186
-5.81390695,1.64595800,0.00148859,0.16468038,1.14216467,0.59369507,0.00210231,0.51416068,0.21332007,0.12640048
-5.80790395,1.72361358,0.00158443,0.16986868,1.18447177,0.62287610,0.00216991,0.54276704,0.22758731,0.13125688
-5.80190095,1.80165279,0.00167932,0.17539559,1.22857353,0.65198676,0.00225532,0.57112254,0.24174201,0.13616960
