energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,7.25956408,1.43263230,5.38128477,0.01726333,0.23492562,1.30222482,0.00000000
-5.99399700,7.36813889,1.51869140,5.41015213,0.01770552,0.24323862,1.34623587,0.00000000
-5.98799400,7.48310953,1.60941057,5.44144528,0.01814525,0.25133334,1.39230444,0.00000000
-5.98199100,7.60344179,1.70412425,5.47485954,0.01857833,0.25915979,1.44000195,0.00000000
-5.97598799,7.72804350,1.80205133,5.51011000,0.01900090,0.26666811,1.48886934,0.00000000
-5.96998499,7.85577755,1.90229880,5.54694142,0.01940946,0.27380806,1.53841798,0.00000000
-5.96398199,7.98547665,2.00387094,5.58513517,0.01980076,0.28052882,1.58813281,0.00000000
-5.95797899,8.11595975,2.10568440,5.62451312,0.02017186,0.28677900,1.63747821,0.00000000
-5.95197599,8.24605030,2.20658906,5.66493825,0.02052001,0.29250708,1.68590649,0.00000000
-5.94597299,8.37459579,2.30539423,5.70631207,0.02084277,0.29766222,1.73286901,0.00000000
-5.93996998,8.50048826,2.40089937,5.74856898,0.02113789,0.30219536,1.77782945,0.00000000
-5.93396698,8.62268482,2.49192801,5.79166798,0.02140343,0.30606077,1.82027874,0.00000000
-5.92796398,8.74022736,2.57736350,5.83558196,0.02163778,0.30921767,1.85975085,0.00000000
-5.92196098,8.85226012,2.65618470,5.88028515,0.02183964,0.31163211,1.89583851,0.00000000
-5.91595798,8.95804426,2.72749975,5.92573943,0.02200815,0.31327871,1.92820796,0.00000000
-5.90995498,9.05696821,2.79057605,5.97188000,0.02214287,0.31414239,1.95661165,0.00000000
-5.90395198,9.14855309,2.84486478,6.01860145,0.02224383,0.31421969,1.98089809,0.00000000
-5.89794897,9.23245265,2.89001821,6.06574484,0.02231151,0.31351977,2.00101803,0.00000000
-5.89194597,9.30844771,2.92589894,6.11308693,0.02234687,0.31206483,2.01702636,0.00000000
-5.88594297,9.37643545,2.95258028,6.16033236,0.02235125,0.30989005,2.02907968,0.00000000
-5.87993997,9.43641435,2.97033755,6.20710962,0.02232632,0.30704286,2.03742921,0.00000000
-5.87393697,9.48846605,2.97963090,6.25297163,0.02227401,0.30358169,2.04240966,0.00000000
-5.86793397,9.53273578,2.98108045,6.29740149,0.02219632,0.29957413,2.04442451,0.00000000
-5.86193097,9.56941295,2.97543518,6.33982373,0.02209528,0.29509478,2.04392848,0.00000000
-5.85592796,9.59871381,2.96353750,6.37962108,0.02197274,0.29022272,2.04140838,0.00000000
-5.84992496,9.62086783,2.94628542,6.41615640,0.02183030,0.28503885,2.03736331,0.00000000
-5.84392196,9.63610913,2.92459453,6.44879920,0.02166917,0.27962326,2.03228541,0.00000000
-5.83791896,9.64467382,2.89936206,6.47695554,0.02149011,0.27405282,2.02664229,0.00000000
-5.83191596,9.64680371,2.87143477,6.50010003,0.02129341,0.26839895,2.02086198,0.00000000
-5.82591296,9.64275597,2.84158246,6.51780816,0.02107886,0.26272592,2.01532117,0.00000000
-5.81990995,9.63281801,2.81047821,6.52978721,0.02084584,0.25708962,2.01033725,0.00000000
-5.81390695,9.61732599,2.77868603,6.53590374,0.02059340,0.25153684,2.00616417,0.00000000
-5.80790395,9.59668510,2.74665614,6.53620592,0.02032044,0.24610513,2.00299214,0.00000000
-5.80190095,9.57138949,2.71472740,6.53093889,0.02002587,0.24082314,2.00095073,0.00000000
-5.79589795,9.54203938,2.68313606,6.52055206,0.01970885,0.23571137,2.00011467,0.00000000
-5.78989495,9.50935338,2.65202954,6.50569724,0.01936896,0.23078327,2.00051162,0.00000000
-5.78389195,9.47417391,2.62148372,6.48721742,0.01900648,0.22604656,2.00213110,0.00000000
-5.77788894,9.43746445,2.59152194,6.46612635,0.01862257,0.22150460,2.00493349,0.00000000
-5.77188594,9.40029780,2.56213409,6.44357964,0.01821941,0.21715771,2.00885841,0.00000000
-5.76588294,9.36383510,2.53329412,6.42083878,0.01780036,0.21300437,2.01383174,0.00000000
-5.75987994,9.32929651,2.50497457,6.39922978,0.01737002,0.20904216,2.01977068,0.00000000
-5.75387694,9.29792457,2.47715713,6.38009849,0.01693418,0.20526840,2.02658659,0.00000000
-5.74787394,9.27094230,2.44983867,6.36476490,0.01649978,0.20168043,2.03418561,0.00000000
-5.74187094,9.24950824,2.42303234,6.35447873,0.01607479,0.19827561,2.04246696,0.00000000
-5.73586793,9.23467117,2.39676419,6.35037833,0.01566791,0.19505097,2.05131965,0.00000000
-5.72986493,9.22732700,2.37106577,6.35345496,0.01528838,0.19200265,2.06061781,0.00000000
-5.72386193,9.22818037,2.34596376,6.36452382,0.01494560,0.18912509,2.07021549,0.00000000
-5.71785893,9.23771326,2.32146781,6.38420278,0.01464881,0.18641028,2.07994162,0.00000000
-5.71185593,9.25616218,2.29755779,6.41289937,0.01440669,0.18384692,2.08959578,0.00000000
-5.70585293,9.28350526,2.27417207,6.45080593,0.01422702,0.18141972,2.09894551,0.00000000
-5.69984992,9.31945966,2.25119777,6.49790232,0.01411627,0.17910892,2.10772582,0.00000000
-5.69384692,9.36348935,2.22846446,6.55396525,0.01407937,0.17689008,2.11564106,0.00000000
-5.68784392,9.41482257,2.20574183,6.61858302,0.01411937,0.17473412,2.12236964,0.00000000
-5.68184092,9.47247793,2.18274209,6.69117420,0.01423730,0.17260783,2.12757158,0.00000000
-5.67583792,9.53529752,2.15912721,6.77100888,0.01443203,0.17047459,2.13089857,0.00000000
-5.66983492,9.60198567,2.13452091,6.85723108,0.01470026,0.16829548,2.13200652,0.00000000
-5.66383192,9.67115122,2.10852480,6.94888126,0.01503658,0.16603070,2.13056979,0.00000000
-5.65782891,9.74135183,2.08073798,7.04491820,0.01543364,0.16364110,2.12629670,0.00000000
-5.65182591,9.81113865,2.05077903,7.14423962,0.01588239,0.16108995,2.11894542,0.00000000
-5.64582291,9.87909986,2.01830910,7.24570156,0.01637242,0.15834465,2.10833963,0.00000000
-5.63981991,9.94390215,1.98305487,7.34813663,0.01689234,0.15537851,2.09438289,0.00000000
-5.63381691,10.00432901,1.94483010,7.45037159,0.01743024,0.15217229,2.07707130,0.00000000
-5.62781391,10.05931531,1.90355430,7.55124490,0.01797415,0.14871556,2.05650334,0.00000000
-5.62181091,10.10797768,1.85926762,7.64962462,0.01851259,0.14500778,2.03288659,0.00000000
-5.61580790,10.14964011,1.81214089,7.74442737,0.01903499,0.14105895,2.00654066,0.00000000
-5.60980490,10.18385469,1.76248027,7.83463859,0.01953220,0.13688998,1.97789597,0.00000000
-5.60380190,10.21041693,1.71072591,7.91933390,0.01999685,0.13253254,1.94748837,0.00000000
-5.59779890,10.22937524,1.65744483,7.99770150,0.02042373,0.12802854,1.91594934,0.00000000
-5.59179590,10.24103425,1.60331794,8.06906449,0.02081001,0.12342922,1.88399214,0.00000000
