energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.77312532,0.41858084,0.14734729,0.01510273,0.09907962,0.29205973,0.00000000,0.20335513,0.08724952
-5.99399700,0.83934995,0.45960035,0.15739524,0.01593721,0.10850334,0.32074340,0.00000000,0.22315783,0.09504126
-5.98799400,0.90694331,0.50223632,0.16734021,0.01670520,0.11823564,0.35051183,0.00000000,0.24354278,0.10302792
-5.98199100,0.97513029,0.54609441,0.17703790,0.01739267,0.12817702,0.38107001,0.00000000,0.26433135,0.11111697
-5.97598799,1.04309180,0.59073582,0.18634710,0.01798683,0.13821832,0.41208994,0.00000000,0.28532453,0.11920903
-5.96998499,1.10997886,0.63568321,0.19513256,0.01847651,0.14824249,0.44321532,0.00000000,0.30630604,0.12719958
-5.96398199,1.17492895,0.68042840,0.20326783,0.01885253,0.15812672,0.47406764,0.00000000,0.32704622,0.13498093
-5.95797899,1.23708413,0.72444189,0.21063801,0.01910798,0.16774506,0.50425375,0.00000000,0.34730665,0.14244451
-5.95197599,1.29561068,0.76718401,0.21714219,0.01923848,0.17697134,0.53337459,0.00000000,0.36684546,0.14948345
-5.94597299,1.34971948,0.80811746,0.22269562,0.01924231,0.18568243,0.56103496,0.00000000,0.38542314,0.15599526
-5.93996998,1.39868688,0.84672085,0.22723151,0.01912046,0.19376162,0.58685403,0.00000000,0.40280873,0.16188466
-5.93396698,1.44187498,0.88250282,0.23070239,0.01887664,0.20110211,0.61047626,0.00000000,0.41878619,0.16706642
-5.92796398,1.47875092,0.91501638,0.23308106,0.01851713,0.20761046,0.63158227,0.00000000,0.43316076,0.17146805
-5.92196098,1.50890431,0.94387267,0.23436098,0.01805060,0.21320979,0.64989932,0.00000000,0.44576502,0.17503237
-5.91595798,1.53206216,0.96875393,0.23455630,0.01748785,0.21784265,0.66521090,0.00000000,0.45646455,0.17771967
-5.90995498,1.54810059,0.98942480,0.23370136,0.01684145,0.22147349,0.67736511,0.00000000,0.46516278,0.17950957
-5.90395198,1.55705282,1.00574164,0.23184978,0.01612539,0.22409043,0.68628124,0.00000000,0.47180501,0.18040236
-5.89794897,1.55911294,1.01765929,0.22907315,0.01535466,0.22570638,0.69195444,0.00000000,0.47638126,0.18041974
-5.89194597,1.55463510,1.02523479,0.22545940,0.01454486,0.22635938,0.69445803,0.00000000,0.47892785,0.17960506
-5.88594297,1.54412798,1.02862797,0.22111085,0.01371173,0.22611207,0.69394330,0.00000000,0.47952762,0.17802281
-5.87993997,1.52824441,1.02809847,0.21614198,0.01287078,0.22505027,0.69063672,0.00000000,0.47830861,0.17575757
-5.87393697,1.50776640,1.02399920,0.21067708,0.01203692,0.22328076,0.68483459,0.00000000,0.47544127,0.17291228
-5.86793397,1.48358578,1.01676646,0.20484763,0.01122410,0.22092816,0.67689512,0.00000000,0.47113429,0.16960594
-5.86193097,1.45668094,1.00690669,0.19878970,0.01044502,0.21813116,0.66722831,0.00000000,0.46562894,0.16597082
-5.85592796,1.42809041,0.99498045,0.19264123,0.00971093,0.21503807,0.65628384,0.00000000,0.45919226,0.16214913
-5.84992496,1.39888382,0.98158394,0.18653924,0.00903138,0.21180190,0.64453733,0.00000000,0.45210928,0.15828948
-5.84392196,1.37013139,0.96732883,0.18061722,0.00841416,0.20857519,0.63247558,0.00000000,0.44467441,0.15454298
-5.83791896,1.34287262,0.95282104,0.17500243,0.00786517,0.20550464,0.62058116,0.00000000,0.43718240,0.15105923
-5.83191596,1.31808548,0.93863928,0.16981343,0.00738847,0.20272590,0.60931699,0.00000000,0.42991919,0.14798233
-5.82591296,1.29665694,0.92531418,0.16515772,0.00698622,0.20035860,0.59911145,0.00000000,0.42315285,0.14544694
-5.81990995,1.27935591,0.91330892,0.16112965,0.00665884,0.19850190,0.59034453,0.00000000,0.41712520,0.14357458
-5.81390695,1.26680961,0.90300201,0.15780851,0.00640510,0.19723071,0.58333558,0.00000000,0.41204413,0.14247023
-5.80790395,1.25948410,0.89467319,0.15525700,0.00622228,0.19659273,0.57833316,0.00000000,0.40807720,0.14221931
-5.80190095,1.25766986,0.88849288,0.15352003,0.00610634,0.19660649,0.57550717,0.00000000,0.40534654,0.14288520
-5.79589795,1.26147284,0.88451583,0.15262391,0.00605220,0.19726044,0.57494386,0.00000000,0.40392551,0.14450727
