energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.71003999,0.00283004,0.07693934,0.16832722,0.07440216,0.39965634,0.00000000,0.08646614,0.16256545
-5.99399700,0.67140830,0.00269527,0.07332772,0.16095793,0.06918269,0.37723158,0.00000000,0.08041705,0.15536669
-5.98799400,0.63358585,0.00255357,0.06960888,0.15341370,0.06425019,0.35542654,0.00000000,0.07471104,0.14810076
-5.98199100,0.59693335,0.00240640,0.06581755,0.14579041,0.05964787,0.33445350,0.00000000,0.06937164,0.14085458
-5.97598799,0.56181341,0.00225535,0.06199130,0.13819031,0.05541420,0.31452200,0.00000000,0.06442070,0.13372069
-5.96998499,0.52858463,0.00210207,0.05816974,0.13071962,0.05158275,0.29583577,0.00000000,0.05987850,0.12679512
-5.96398199,0.49759463,0.00194822,0.05439341,0.12348593,0.04818199,0.27858929,0.00000000,0.05576371,0.12017492
-5.95797899,0.46917240,0.00179547,0.05070273,0.11659546,0.04523519,0.26296380,0.00000000,0.05209323,0.11395543
-5.95197599,0.44362004,0.00164544,0.04713681,0.11015034,0.04276029,0.24912321,0.00000000,0.04888186,0.10822735
-5.94597299,0.42120442,0.00149967,0.04373232,0.10424591,0.04076967,0.23720978,0.00000000,0.04614192,0.10307386
-5.93996998,0.40214911,0.00135960,0.04052243,0.09896834,0.03927009,0.22734000,0.00000000,0.04388280,0.09856781
-5.93396698,0.38662692,0.00122654,0.03753589,0.09439250,0.03826247,0.21960080,0.00000000,0.04211049,0.09476918
-5.92796398,0.37475355,0.00110169,0.03479622,0.09058026,0.03774180,0.21404627,0.00000000,0.04082722,0.09172279
-5.92196098,0.36658267,0.00098612,0.03232115,0.08757936,0.03769711,0.21069516,0.00000000,0.04003113,0.08945659
-5.91595798,0.36210276,0.00088075,0.03012223,0.08542274,0.03811153,0.20952933,0.00000000,0.03971611,0.08798036
-5.90995498,0.36123599,0.00078643,0.02820469,0.08412847,0.03896243,0.21049331,0.00000000,0.03987178,0.08728509
-5.90395198,0.36383931,0.00070390,0.02656750,0.08370041,0.04022187,0.21349507,0.00000000,0.04048374,0.08734293
-5.89794897,0.36970785,0.00063384,0.02520366,0.08412921,0.04185705,0.21840811,0.00000000,0.04153393,0.08810782
