energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,3.23123978,0.02071943,0.46291814,1.94634585,0.83938449,1.43577927,0.00000000
-5.99399700,3.17033920,0.02050151,0.45122594,1.86581614,0.81370708,1.42487761,0.00000000
-5.98799400,3.11121789,0.02023846,0.44021130,1.78977401,0.78970306,1.41287928,0.00000000
-5.98199100,3.05304854,0.01992931,0.42975613,1.71807823,0.76718742,1.39935091,0.00000000
-5.97598799,2.99499077,0.01957416,0.41973905,1.65049288,0.74595393,1.38388357,0.00000000
-5.96998499,2.93624321,0.01917434,0.41004241,1.58671624,0.72579112,1.36611335,0.00000000
-5.96398199,2.87609452,0.01873261,0.40055958,1.52641182,0.70649810,1.34574102,0.00000000
-5.95797899,2.81397043,0.01825312,0.39120185,1.46923962,0.68789927,1.32254944,0.00000000
-5.95197599,2.74947413,0.01774151,0.38190466,1.41488594,0.66985722,1.29641779,0.00000000
-5.94597299,2.68241787,0.01720472,0.37263280,1.36308999,0.65228308,1.26733163,0.00000000
-5.93996998,2.61284401,0.01665090,0.36338434,1.31366620,0.63514395,1.23538834,0.00000000
-5.93396698,2.54103483,0.01608917,0.35419306,1.26652132,0.61846722,1.20079745,0.00000000
-5.92796398,2.46751072,0.01552936,0.34512938,1.22166562,0.60234162,1.16387605,0.00000000
-5.92196098,2.39301738,0.01498171,0.33629977,1.17921828,0.58691530,1.12503929,0.00000000
-5.91595798,2.31850329,0.01445655,0.32784477,1.13940707,0.57239124,1.08478685,0.00000000
-5.90995498,2.24508901,0.01396398,0.31993574,1.10256305,0.55902054,1.04368589,0.00000000
-5.90395198,2.17403069,0.01351358,0.31277078,1.06911104,0.54709406,1.00235171,0.00000000
-5.89794897,2.10668002,0.01311414,0.30656990,1.03955691,0.53693334,0.96142711,0.00000000
-5.89194597,2.04444327,0.01277343,0.30156981,1.01447289,0.52888116,0.92156158,0.00000000
-5.88594297,1.98874166,0.01249804,0.29801870,0.99448185,0.52329267,0.88339151,0.00000000
-5.87993997,1.94097544,0.01229331,0.29617113,0.98024177,0.52052735,0.84752239,0.00000000
-5.87393697,1.90249308,0.01216326,0.29628329,0.97243112,0.52094257,0.81451384,0.00000000
-5.86793397,1.87456728,0.01211068,0.29860875,0.97173578,0.52488871,0.78486814,0.00000000
-5.86193097,1.85837813,0.01213724,0.30339481,0.97883807,0.53270622,0.75902264,0.00000000
-5.85592796,1.85500380,0.01224363,0.31087928,0.99440769,0.54472445,0.73734615,0.00000000
-5.84992496,1.86541816,0.01242984,0.32128784,1.01909481,0.56126223,0.72013928,0.00000000
-5.84392196,1.89049463,0.01269539,0.33483155,1.05352461,0.58262965,0.70763829,0.00000000
-5.83791896,1.93101468,0.01303961,0.35170470,1.09829298,0.60913091,0.70002190,0.00000000
-5.83191596,1.98767948,0.01346194,0.37208239,1.15396257,0.64106749,0.69742043,0.00000000
-5.82591296,2.06112293,0.01396221,0.39611808,1.22105856,0.67874128,0.69992628,0.00000000
-5.81990995,2.15192413,0.01454088,0.42394062,1.30006354,0.72245713,0.70760508,0.00000000
-5.81390695,2.26061756,0.01519921,0.45565081,1.39141073,0.77252413,0.72050638,0.00000000
-5.80790395,2.38769954,0.01593944,0.49131745,1.49547531,0.82925551,0.73867332,0.00000000
-5.80190095,2.53362951,0.01676480,0.53097286,1.61256346,0.89296651,0.76215032,0.00000000
-5.79589795,2.69882553,0.01767955,0.57460790,1.74289914,0.96397013,0.79098838,0.00000000
-5.78989495,2.88365326,0.01868880,0.62216687,1.88660876,1.04257061,0.82524745,0.00000000
-5.78389195,3.08840856,0.01979840,0.67354228,2.04370409,1.12905463,0.86499567,0.00000000
-5.77788894,3.31329403,0.02101458,0.72856991,2.21406414,1.22368025,0.91030538,0.00000000
-5.77188594,3.55839020,0.02234366,0.78702445,2.39741648,1.32666397,0.96124613,0.00000000
-5.76588294,3.82362246,0.02379158,0.84861603,2.59331904,1.43816599,1.01787481,0.00000000
-5.75987994,4.10872517,0.02536346,0.91298796,2.80114321,1.55827425,1.08022354,0.00000000
-5.75387694,4.41320440,0.02706305,0.97971596,3.02005904,1.68698759,1.14828582,0.00000000
-5.74787394,4.73630102,0.02889225,1.04830904,3.24902360,1.82419865,1.22200156,0.00000000
-5.74187094,5.07695609,0.03085060,1.11821238,3.48677313,1.96967694,1.30124200,0.00000000
-5.73586793,5.43378024,0.03293475,1.18881204,3.73181969,2.12305292,1.38579514,0.00000000
-5.72986493,5.80502893,0.03513808,1.25944184,3.98245309,2.28380365,1.47535259,0.00000000
-5.72386193,6.18858542,0.03745038,1.32939202,4.23674835,2.45124062,1.56949881,0.00000000
-5.71785893,6.58195297,0.03985757,1.39791982,4.49257912,2.62450082,1.66770334,0.00000000
-5.71185593,6.98225794,0.04234161,1.46426165,4.74763732,2.80254145,1.76931686,0.00000000
-5.70585293,7.38626480,0.04488055,1.52764662,4.99945900,2.98413917,1.87357163,0.00000000
-5.69984992,7.79040429,0.04744870,1.58731114,5.24545631,3.16789465,1.97958672,0.00000000
-5.69384692,8.19081505,0.05001696,1.64251427,5.48295542,3.35224278,2.08637832,0.00000000
-5.68784392,8.58339891,0.05255332,1.69255341,5.70923983,3.53546918,2.19287502,0.00000000
-5.68184092,8.96388953,0.05502353,1.73677991,5.92159861,3.71573317,2.29793807,0.00000000
-5.67583792,9.32793321,0.05739180,1.77461435,6.11737852,3.89109725,2.40038586,0.00000000
-5.66983492,9.67118031,0.05962177,1.80556077,6.29403912,4.05956273,2.49902208,0.00000000
-5.66383192,9.98938497,0.06167740,1.82921981,6.44920937,4.21911113,2.59266652,0.00000000
-5.65782891,10.27851019,0.06352397,1.84529993,6.58074439,4.36775002,2.68018736,0.00000000
-5.65182591,10.53483476,0.06512912,1.85362669,6.68678045,4.50356254,2.76053362,0.00000000
-5.64582291,10.75505816,0.06646378,1.85414943,6.76578638,4.62475851,2.83276621,0.00000000
-5.63981991,10.93639914,0.06750308,1.84694520,6.81660954,4.72972561,2.89608641,0.00000000
-5.63381691,11.07668376,0.06822711,1.83221961,6.83851416,4.81707852,2.94986003,0.00000000
-5.62781391,11.17441865,0.06862155,1.81030439,6.83121042,4.88570374,2.99363634,0.00000000
-5.62181091,11.22884575,0.06867809,1.78165167,6.79487254,4.93479818,3.02716047,0.00000000
-5.61580790,11.23997526,0.06839470,1.74682485,6.73014446,4.96389941,3.05037868,0.00000000
-5.60980490,11.20859462,0.06777566,1.70648638,6.63813246,4.97290590,3.06343611,0.00000000
-5.60380190,11.13625200,0.06683140,1.66138252,6.52038408,4.96208583,3.06666697,0.00000000
-5.59779890,11.02521421,0.06557807,1.61232569,6.37885367,4.93207375,3.06057755,0.00000000
-5.59179590,10.87840002,0.06403708,1.56017461,6.21585539,4.88385458,3.04582285,0.00000000
-5.58579290,10.69929101,0.06223431,1.50581320,6.03400484,4.81873531,3.02317793,0.00000000
-5.57978989,10.49182332,0.06019930,1.45012861,5.83615142,4.73830529,2.99350530,0.00000000
-5.57378689,10.26026451,0.05796435,1.39398917,5.62530372,4.64438640,2.95772009,0.00000000
-5.56778389,10.00908059,0.05556354,1.33822321,5.40455069,4.53897528,2.91675448,0.00000000
-5.56178089,9.74279861,0.05303179,1.28359907,5.17698158,4.42417969,2.87152320,0.00000000
-5.55577789,9.46587056,0.05040391,1.23080745,4.94560762,4.30215193,2.82289171,0.00000000
-5.54977489,9.18254433,0.04771375,1.18044622,4.71328855,4.17502200,2.77164845,0.00000000
-5.54377189,8.89674663,0.04499343,1.13300859,4.48266654,4.04483336,2.71848231,0.00000000
-5.53776888,8.61198288,0.04227272,1.08887473,4.25611012,3.91348405,2.66396621,0.00000000
