energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.72089785,-4.48775586,0.70228044,-0.67706938,1.03877286,-1.39088322,0.02201890,-0.07323993,0.25668242,-0.39486514,1.22446319,-1.05634312,0.53545288,-0.67979592,0.05573638,-0.04819338,1.32058083,-1.52697117
-5.99399700,3.74894710,-4.70111015,0.72106114,-0.71921469,1.04378125,-1.44514306,0.02169758,-0.07817715,0.25720580,-0.42045699,1.25883423,-1.11310410,0.51891864,-0.71563104,0.05862153,-0.05070238,1.33642723,-1.59562434
-5.98799400,3.78801298,-4.91689067,0.73992445,-0.76288584,1.05265936,-1.49976132,0.02156949,-0.08310675,0.25838074,-0.44580342,1.29431048,-1.17214779,0.50509563,-0.75037605,0.06185545,-0.05334016,1.35563230,-1.66584158
-5.98199100,3.83787697,-5.13148037,0.75865208,-0.80738244,1.06554769,-1.55385508,0.02161865,-0.08796151,0.26009370,-0.47052875,1.33037450,-1.23240109,0.49402053,-0.78347019,0.06544455,-0.05609269,1.37811885,-1.73632312
-5.97598799,3.89822368,-5.34138097,0.77705019,-0.85197975,1.08251781,-1.60661087,0.02182788,-0.09267374,0.26222861,-0.49425674,1.36651557,-1.29276767,0.48570791,-0.81438011,0.06938875,-0.05894865,1.40379491,-1.80580910
-5.96998499,3.96864093,-5.54329831,0.79495574,-0.89594446,1.10356602,-1.65730520,0.02217907,-0.09717673,0.26466956,-0.51661977,1.40224344,-1.35215378,0.48015106,-0.84261333,0.07368060,-0.06189979,1.43255413,-1.87311043
-5.96398199,4.04862305,-5.73421878,0.81224234,-0.93855109,1.12860966,-1.70532039,0.02265336,-0.10140619,0.26730323,-0.53726795,1.43710228,-1.40949436,0.47732288,-0.86773045,0.07830441,-0.06494096,1.46427679,-1.93713641
-5.95797899,4.13757679,-5.91147473,0.82882526,-0.97909862,1.15748597,-1.75015538,0.02323137,-0.10530160,0.27002119,-0.55587795,1.47068418,-1.46377874,0.47717708,-0.88935571,0.08323571,-0.06806998,1.49883116,-1.99691875
-5.95197599,4.23482952,-6.07279715,0.84466526,-1.01692678,1.18995367,-1.79143127,0.02389345,-0.10880747,0.27272195,-0.57216116,1.50264134,-1.51407530,0.47964927,-0.90718551,0.08844088,-0.07128717,1.53607516,-2.05163102
-5.94597299,4.33963893,-6.21635459,0.85977103,-1.05143191,1.22569708,-1.82889170,0.02461985,-0.11187444,0.27531279,-0.58587105,1.53269618,-1.55955429,0.48465815,-0.92099464,0.09387710,-0.07459465,1.57585776,-2.10060349
-5.93996998,4.45120363,-6.34077755,0.87419972,-1.08208156,1.26433268,-1.86239852,0.02539103,-0.11446025,0.27771114,-0.59680929,1.56064875,-1.59950816,0.49210657,-0.93064020,0.09949259,-0.07799551,1.61802002,-2.14333282
-5.93396698,4.56867397,-6.44516845,0.88805561,-1.10842782,1.30541783,-1.89192308,0.02618789,-0.11653055,0.27984575,-0.60483053,1.58638069,-1.63336881,0.50188238,-0.93606298,0.10522716,-0.08149265,1.66239533,-2.17948673
-5.92796398,4.69116247,-6.52909749,0.90148656,-1.13011859,1.34846145,-1.91753406,0.02699202,-0.11805940,0.28165736,-0.60984563,1.60985543,-1.66072107,0.51385920,-0.93728645,0.11101319,-0.08508766,1.70880881,-2.20890359
-5.92196098,4.81775336,-6.59258548,0.91467824,-1.14690675,1.39293625,-1.93938262,0.02778600,-0.11902966,0.28309910,-0.61182327,1.63111436,-1.68131197,0.52789685,-0.93441344,0.11677680,-0.08877956,1.75707570,-2.23158733
-5.91595798,4.94751093,-6.63607500,0.92784627,-1.15865666,1.43829215,-1.95768580,0.02855362,-0.11943313,0.28413645,-0.61078986,1.65026897,-1.69505546,0.54384163,-0.92762077,0.12243940,-0.09256363,1.80699868,-2.24769808
-5.90995498,5.07948653,-6.66039178,0.94122638,-1.16534797,1.48397061,-1.97270917,0.02928018,-0.11927050,0.28474685,-0.60682780,1.66748930,-1.70203225,0.56152647,-0.91715202,0.12791953,-0.09643028,1.85836436,-2.25753893
