energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.58206477,0.01465111,0.14206186,0.93535893,0.11257479,0.74123404,0.00000000,1.06327434,0.03875529
-5.99399700,1.56736506,0.01412819,0.14206644,0.93180973,0.10871376,0.73869559,0.00000000,1.07013335,0.03692717
-5.98799400,1.54829875,0.01366130,0.14159981,0.92540883,0.10476117,0.73380940,0.00000000,1.07330924,0.03502154
-5.98199100,1.52474466,0.01323937,0.14063916,0.91603888,0.10072355,0.72649061,0.00000000,1.07251068,0.03306004
-5.97598799,1.49663585,0.01285176,0.13916742,0.90361690,0.09660857,0.71668347,0.00000000,1.06749933,0.03106438
-5.96998499,1.46396569,0.01248870,0.13717408,0.88809913,0.09242514,0.70436508,0.00000000,1.05809945,0.02905583
-5.96398199,1.42679336,0.01214157,0.13465601,0.86948555,0.08818345,0.68954868,0.00000000,1.04420650,0.02705464
-5.95797899,1.38524810,0.01180327,0.13161808,0.84782368,0.08389496,0.67228633,0.00000000,1.02579399,0.02507964
-5.95197599,1.33953211,0.01146834,0.12807362,0.82321139,0.07957248,0.65267078,0.00000000,1.00291824,0.02314792
-5.94597299,1.28992148,0.01113317,0.12404469,0.79579837,0.07523009,0.63083615,0.00000000,0.97572071,0.02127454
-5.93996998,1.23676496,0.01079599,0.11956203,0.76578602,0.07088317,0.60695741,0.00000000,0.94442751,0.01947241
-5.93396698,1.18048023,0.01045687,0.11466471,0.73342556,0.06654827,0.58124846,0.00000000,0.90934600,0.01775221
-5.92796398,1.12154772,0.01011764,0.10939953,0.69901429,0.06224300,0.55395878,0.00000000,0.87085859,0.01612244
-5.92196098,1.06050187,0.00978172,0.10382008,0.66288999,0.05798581,0.52536869,0.00000000,0.82941370,0.01458943
-5.91595798,0.99792015,0.00945390,0.09798553,0.62542371,0.05379573,0.49578336,0.00000000,0.78551439,0.01315757
-5.90995498,0.93441012,0.00914006,0.09195924,0.58701108,0.04969208,0.46552573,0.00000000,0.73970498,0.01182940
-5.90395198,0.87059509,0.00884690,0.08580713,0.54806255,0.04569404,0.43492867,0.00000000,0.69255635,0.01060586
-5.89794897,0.80709888,0.00858155,0.07959606,0.50899303,0.04182028,0.40432663,0.00000000,0.64465039,0.00948645
-5.89194597,0.74453037,0.00835128,0.07339209,0.47021121,0.03808854,0.37404721,0.00000000,0.59656438,0.00846949
-5.88594297,0.68346847,0.00816310,0.06725885,0.43210922,0.03451517,0.34440289,0.00000000,0.54885599,0.00755227
-5.87993997,0.62444815,0.00802343,0.06125601,0.39505298,0.03111478,0.31568343,0.00000000,0.50204933,0.00673123
-5.87393697,0.56794817,0.00793777,0.05543796,0.35937360,0.02789983,0.28814909,0.00000000,0.45662281,0.00600214
-5.86793397,0.51438090,0.00791043,0.04985269,0.32536029,0.02488040,0.26202501,0.00000000,0.41299908,0.00536024
-5.86193097,0.46408461,0.00794426,0.04454097,0.29325489,0.02206394,0.23749689,0.00000000,0.37153741,0.00480035
-5.85592796,0.41731850,0.00804043,0.03953584,0.26324829,0.01945519,0.21470822,0.00000000,0.33252862,0.00431695
-5.84992496,0.37426054,0.00819836,0.03486234,0.23547865,0.01705611,0.19375889,0.00000000,0.29619274,0.00390430
-5.84392196,0.33500801,0.00841558,0.03053757,0.21003156,0.01486600,0.17470536,0.00000000,0.26267905,0.00355652
-5.83791896,0.29958072,0.00868777,0.02657098,0.18694187,0.01288161,0.15756223,0.00000000,0.23206858,0.00326759
