energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.58843307,0.60009701,0.37248303,0.00553629,0.52752909,1.06807789,0.00000000,0.85287484,0.61870803
-5.99399700,2.66721627,0.62239422,0.37971405,0.00561372,0.54800668,1.09874478,0.00000000,0.88643424,0.64185663
-5.98799400,2.74187922,0.64317947,0.38668601,0.00567494,0.56764122,1.12773896,0.00000000,0.91909329,0.66358373
-5.98199100,2.81140809,0.66215204,0.39331978,0.00572023,0.58620605,1.15463863,0.00000000,0.95062130,0.68355131
-5.97598799,2.87489744,0.67902857,0.39953059,0.00575001,0.60352613,1.17903258,0.00000000,0.98083209,0.70147636
-5.96998499,2.93157418,0.69355097,0.40522995,0.00576481,0.61948239,1.20053155,0.00000000,1.00958918,0.71713801
-5.96398199,2.98081805,0.70549381,0.41032788,0.00576524,0.63401449,1.21877914,0.00000000,1.03681014,0.73038290
-5.95797899,3.02217810,0.71467088,0.41473515,0.00575197,0.64712211,1.23346193,0.00000000,1.06246975,0.74112872
-5.95197599,3.05538462,0.72094061,0.41836564,0.00572569,0.65886466,1.24431844,0.00000000,1.08660199,0.74936572
-5.94597299,3.08035625,0.72421018,0.42113873,0.00568713,0.66935942,1.25114661,0.00000000,1.10930073,0.75515616
-5.93996998,3.09720213,0.72443817,0.42298163,0.00563701,0.67877844,1.25380951,0.00000000,1.13071914,0.75863187
-5.93396698,3.10621921,0.72163559,0.42383163,0.00557611,0.68734398,1.25223932,0.00000000,1.15106785,0.75998991
-5.92796398,3.10788499,0.71586540,0.42363828,0.00550519,0.69532292,1.24643935,0.00000000,1.17061189,0.75948648
-5.92196098,3.10284602,0.70724055,0.42236540,0.00542507,0.70302017,1.23648426,0.00000000,1.18966648,0.75742939
-5.91595798,3.09190263,0.69592065,0.41999294,0.00533663,0.71077122,1.22251863,0.00000000,1.20859185,0.75416915
-5.90995498,3.07599053,0.68210751,0.41651858,0.00524086,0.71893408,1.20475388,0.00000000,1.22778704,0.75008918
-5.90395198,3.05615971,0.66603978,0.41195913,0.00513884,0.72788064,1.18346392,0.00000000,1.24768294,0.74559515
